ips_title,predicted_category,technology,human_category
[Lenovo ThinkPad][Avon/PTL/BE211][PCI][25H2] Short Audio Cues does not Play When Using Bluetooth Headset,Connectivity,BT,Connectivity
[DELL][field][AX211][BE200] Intermittent Wi-Fi disconnects with 802.11r enabled on Intel AX211/BE200 in WPA-EAP enterprise environments,Performance,WiFi,Connectivity
[Microsoft][UID 1292890][PTL/FmP/OOB 26581][PAS] LE earbuds disconnects intermittently during the PAS streaming with TCPRx iperf traffic and HID(mouse connected),Connectivity,BT,Connectivity
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Power Consumption,wifi,RF
[DELL][Field]Intel(R) Wi-Fi 7 BE200 is unable to connect WIFI-6E 6GHz networks in Windows 10/11 in Macao,P2P,WiFi,Connectivity
[HP][Wistron][ 26C1_Chiharu_PTL][H12XE][WHP2[Win11 25H2 Build 26200.7462] Intel Dual Bluetooth PCI Enumerator Shows Yellow Bang (Code 10) with Event Error 5002  Netwaw18.sys,YB/Lost,WiFi,YB/Lost
[DELL][Compal]ADL Ant tool not work,OEM Tools,Tools,OEM Tools
"Roaming failed twice, with two failed attempts to reconnect to the 5G hotspot. F/R: 1/1u, 2/50C",Power Consumption,wifi,Connectivity
Request for EU (RED/EMC) and Korea (KC) Regulatory Certificates and Test Reports,P2P,,RF
[Lenovo ideapad ][LCFC][V gen 7 WCL][be213] BIOS WGDS shetting invalid,Connectivity,WiFi,BIOS
[HP][IEC][Bobcats][MTL][Intel Wi-Fi 7 BE200] Wi-Fi signals keep fluctuating on the laptop resulting in slow connection and packet drops,Sensing,WiFi,Sensing
"The result show fail when running Stress-WiFi Ping (S4) test.(F/R:11/40units,13/4000cycles)",Connectivity,wifi,Connectivity
WPA3 Security of AC9260/AC9560,Sensing,WiFi,Connectivity
[Dynabook] ICPS appx (50.26.401.224) installation failed via install.bat,ICPS,Software,ICPS/Killer
Restricted mode long reconnection time after resume from sleep,Connectivity,wifi,Connectivity
Mobile hotspot cannot be opened when selecting 5GHz band,Connectivity,wifi,Connectivity
[xiaomi][huaqin][N56SR/N57SR][PTL-H][AX211] BSOD 0xE6,BSOD,BT,BSOD
[DELL][Field] Wi-Fi issue : Connection failure with 802.11r on,Performance,WiFi,Connectivity
"[ICPS5, CMD] ICPS didnt switch to better network when auto switch enabled - Sometimes",ICPS,Software,ICPS/Killer
"[Haier][Wingtech][G1][ADL-P][Ax210][21H2]With the PC connection to the WiFi for a long-time suspension test, the WLAN driver has a loss problem [3 / 3]",Connectivity,wifi,Connectivity
[xiaomi][huaqin][N56SR/N57SR][PTL-H][AX211] BSOD 0xE6 during FCT test leaves AX211 Bluetooth in unrecoverable yellow bang state on Panther Lake,Connectivity,BT,BSOD
"[HP][Quanta]-[Trekker][LNL/ARL/RPL/PTL][Win11 25H2] ""Declarative Driver Check"" show fail after running Declarative Driver Check test with MSFTAuditHub_PS_1.00_A3",Connectivity,BT,HLK
[VAIO][Quanta][WCL][TRC][BE211] System BSOD 0xD1 when doing idle.(FAILURE_BUCKET_ID: AV_Netwaw18!unknown_function),BSOD,WiFi,BSOD
[Lenovo][ICPS5.0][BDBA] Vulnerabilities on .Net 4.6/6.1 with C23,ICPS,Software,ICPS/Killer
2.4G DRTU Target power difference at the same SKU,Power Consumption,wifi,Performance
[Samsung][GB6-16 PTL][GfP2] PC snatches the connection of Buds4 from Phone,Connectivity,BT,Connectivity
[ASUS_CCBU][BE211][B9406CAA] Teams call will drop when wifi connecting.,Performance,WiFi,Connectivity
3LS - SIP129540 - EB 640 G11(Rex 14) & 630G11/ W11 22H2 / GC / SF / Intel wireless AX211 suffering from heavy packet loss intermittently/PC APJ/,P2P,WiFi,Connectivity
NetworkService fails to start after inf install with new root location,ICPS,Software,ICPS/Killer
System cant found 6Ghz mobile hotspot.,Power Consumption,wifi,Connectivity
