assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_01_of_07,638,tools,WLAN NDT test result has higher noise result,OEM Tools,OEM Tools,,1,no_digits
piece_01_of_07,1175,wifi,-System can not search WiFi 6G when set MCC to US by ANT tool + S0KKT010 BIOS + BE200 wifi Card.,Connectivity,Connectivity,,0,
piece_01_of_07,2723,wifi,System does not sync screen via miracast from PC to PAD.,Connectivity,P2P,,1,no_digits
piece_01_of_07,2174,wifi,Cannot detect User SPD when lean back sitting,Connectivity,Sensing,,1,no_digits
piece_01_of_07,449,wifi,WiFi throughput degrades after upgrading Windows OS,Connectivity,Performance,,1,no_digits
piece_01_of_07,114,wifi,The Bluetooth driver in the MS scenario is highly active.,Connectivity,Not WiFi Issue,,1,no_digits
piece_01_of_07,2185,wifi,5010 Netwaw16 WiFi errors observed during GT(eDP) random mountain test -- 0x2ca5,YB/Lost,YB/Lost,,2,generic:error
piece_01_of_07,2552,wifi,GaP power consumption upon WiFi 7 Tx TPT scenario doesnt follow DTT request power value,Power Consumption,Power Consumption,,0,
piece_01_of_07,3805,tools,DSM Field information are not correct,UEFI,BIOS,,1,no_digits
piece_01_of_07,2740,wifi,WiFi Rx throughput of 11ax(5GHz) becomes much lower with BT mouse connected,Connectivity,Performance,,0,
piece_01_of_07,1400,wifi,WLAN YB appeared upon startup after shutting down and leaving it for 1 hour in the chamber(0 degrees Celsius).(F/R: 1/24 units),YB/Lost,YB/Lost,,0,
piece_01_of_07,578,tools,DRTU MCC setting doesnt work on bt/modulated Tx page.,OEM Tools,OEM Tools,,3,generic:doesnt work;no_digits
piece_01_of_07,2646,wifi,WLAN Yellow bang issue,YB/Lost,YB/Lost,,6,short<=28c;few_words<=5;generic:issue;no_digits
piece_01_of_07,3964,wifi,"YB with FATAL_ERROR: uCode ASSERT (lmacID = 0x1, rtStatus = 0xFA2, log is valid)",YB/Lost,YB/Lost,,2,generic:error
piece_01_of_07,629,wifi,"2.4GHz and 5GHz band switching roaming, 5G reconnect failure. F/R: 1/1u,3/50C",Connectivity,Connectivity Enterprise,,2,generic:failure
piece_01_of_07,1592,wifi,Clevo_X560WNx_ARL-HX_AX201 WiFi connect issues,Connectivity,Connectivity,,3,few_words<=5;generic:issue
piece_01_of_07,2487,tools,ANT get_ppid command cannot work,OEM Tools,OEM Tools,,2,few_words<=5;no_digits
piece_01_of_07,2648,wifi,ANT tool shows error with 9462 on ADL,OEM Tools,OEM Tools,,2,generic:error
piece_01_of_07,825,wifi,The system cannot scan for the 6GHz mobile Hotspot (VLP).,Power Consumption,Connectivity,,0,
piece_01_of_07,746,wifi,USB headset is not recognized in Windows 11 23H2 & 24H2 during Teams meeting with/without YB in device manager,YB/Lost,Not WiFi Issue,,0,
piece_01_of_07,4077,wifi,CITU test Command XVT_CMD_STEP_MARGIN_TEST_CONFIG_V6 failed with status 31_ Umac Error 0x20100502,BSOD,OEM Tools,,2,generic:fail
piece_01_of_07,2472,tools,ANT. tool can not auto detecting 6E SSID for RSSI test.,OEM Tools,OEM Tools,,0,
piece_01_of_07,2679,wifi,Black screen and hang up when running cold boot,System Hang,Platform,,3,generic:hang;no_digits
piece_01_of_07,628,wifi,Install v23.160 WLAN device YB,YB/Lost,YB/Lost,,1,few_words<=5
piece_01_of_07,3801,tools,AX411 QS sample 6e tx power lock at 7.5dB,Power Consumption,OEM Tools,,0,
piece_01_of_07,4068,wifi,"System crashed in CS/AH. The BugCheckCode is ""7E""",BSOD,BSOD,,2,generic:crash
piece_01_of_07,2109,wifi,Auth failed when doing connect and ping stress test,Connectivity,Connectivity,,3,generic:fail;no_digits
piece_01_of_07,264,wifi,"Event log shows 5002/5005/5007/5010 error during MS stress test(Fail rate 9/40units, 125cycles each unit)",YB/Lost,YB/Lost,,2,generic:fail
piece_01_of_07,2078,tools,WRT BIOS tool shows incorrect value in DSM Func3,UEFI,BIOS,,0,
piece_01_of_07,4052,wifi,Warmboot showed BSOD 0x9f point to WiFi when doing miracast,BSOD,BSOD,,0,
