assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_07_of_07,4074,wifi,The system hangs and repeatedly auto-restarts after install driver v23.80.1.3,System Hang,System Hang,,2,generic:hang
piece_07_of_07,568,wifi,SUT can search for 5.0GHz Wi-Fi with channel 165 on Indonesia image (PTL+WhP2),Connectivity,Connectivity,,0,
piece_07_of_07,787,tools,CITU Connection Error,OEM Tools,OEM Tools,,8,short<=28c;few_words<=3;generic:error;no_digits
piece_07_of_07,586,wifi,"After install Wi-Fi driver 24.0.0.1 on PTLEVA3, YB occurs",YB/Lost,YB/Lost,,0,
piece_07_of_07,451,wifi,"PC connected 2.4G/5G AP(802.11AX/AC,20M/40M) do UDP downstream can not meet spec.(F/R:1/1U,6/6C))",Connectivity,Performance,,0,
piece_07_of_07,1230,wifi,[Lenovo/SMB][Wistron][PTL-U] [BE213] [2230] [TB1416_G9_PTL][EVT] [Layout][#1],Connectivity,Need-Triage,,1,few_words<=5
piece_07_of_07,3671,wifi,"WHQL test item ""Wlan Test - Wlan Device Reset Check"" failed",HLK,HLK,,3,generic:fail;no_digits
piece_07_of_07,2577,wifi,BT MCC jump to 3030 due to Wi-Fi,Connectivity,,,0,
piece_07_of_07,3659,wifi,"9462(TA-J88400-007) WLAN YB(100%) on ICL/TGL platform, while no issue with 9462(TA-J88400-006)",YB/Lost,YB/Lost,,2,generic:issue
piece_07_of_07,2482,tools,Samsung PNVM - WRT shows incorrect values,OEM Tools,OEM Tools,,1,no_digits
piece_07_of_07,2442,tools,DRTU Fail - RU Setting,OEM Tools,OEM Tools,,6,short<=28c;few_words<=5;generic:fail;no_digits
piece_07_of_07,855,wifi,25H2 FVT1.01:System occurred BSOD 0x101( No dump file; Stop Code: CLOCK_WATCHDOG_TIMEOUT ) when connect Wi-Fi during desktop,BSOD,BSOD,,0,
piece_07_of_07,2413,tools,Ant tool cant read correct BRDS SAR BIOS setting if value exceed Tx power limit,OEM Tools,OEM Tools,,3,generic:cant;no_digits
piece_07_of_07,191,wifi,VLP is working at Mexico (mexico is not enabled at UATS),UEFI,UEFI,,1,no_digits
piece_07_of_07,3900,wifi,"After DUT S4 for a period of time and wakes up, the performance is abnormal when the WIFi65G frequency band 80MHZ/160MHz bandwidth",Connectivity,Performance,,0,
piece_07_of_07,686,wifi,Due to WiFi 5055 event happens then BE200 BT device lost during S4 stress test,Connectivity,YB/Lost,,0,
piece_07_of_07,2502,tools,"Different Regulatory Power Limits result between ""Modulated Tx"" and ""Regulatory Power Limits Table""",Power Consumption,RF,,1,no_digits
piece_07_of_07,3568,wifi,"WiFi Spectrum Mask, EVM and Power tolerance questions",Power Consumption,RF,,1,no_digits
piece_07_of_07,2428,tools,CITU Basic Test Failure,OEM Tools,OEM Tools,,6,short<=28c;few_words<=5;generic:failure;no_digits
piece_07_of_07,1036,wifi,System cant found 6Ghz mobile hotspot.,Power Consumption,Connectivity,,2,generic:cant
piece_07_of_07,3569,wifi,T-put(STA <-->AP) become low if enable hotspot when connected with AP 160M BW,Power Consumption,Performance,,0,
