assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_01_of_07,3058,software,Credentials are not asked for when connecting to a new network,Killer,,,1,no_digits
piece_01_of_07,1853,bt,BT Device Disappear CS+Wifi AP connected,Connectivity,YB/Lost,,1,no_digits
piece_01_of_07,3485,bt,"Swift Pair connected with Use LE audio when available disabled, after connection host will reconnect LE portion",Connectivity,Connectivity,,1,no_digits
piece_01_of_07,796,software,ICPS cant start automatically when device is powered on from S5,ICPS,ICPS/Killer,,2,generic:cant
piece_01_of_07,1206,bt,The BSOD (0x1e)cured whenBios flashing process,BSOD,BSOD,,0,
piece_01_of_07,1840,bt,Device disappear due to exception_BC_EXC_LP_RUN_ERROR,YB/Lost,YB/Lost,,4,few_words<=5;generic:error;no_digits
piece_01_of_07,3490,bt,"HLK ""Bluetooth - CIS Establishment Test"" fail with ERROR: CIS_establishment ERROR - Received an error failure notification, failing test",HLK,HLK,,3,generic:failure;no_digits
piece_01_of_07,3774,software,Blank interface on Manual Routing page with Corporate machine,Killer,ICPS/Killer,,1,no_digits
piece_01_of_07,3388,bt,GFP and TyP show inbox generic driver in DM (RVP also repro),Connectivity,,,1,no_digits
piece_01_of_07,3790,software,":""Advanced Connection Manager"" tab is missing even WIFI and WWAN both are connected",Killer,,,1,no_digits
piece_01_of_07,3394,bt,Device not started (BTHUSB) error with 0xC00000B5 (STATUS_IO_TIMEOUT),BSOD,YB/Lost,,2,generic:error
piece_01_of_07,1846,bt,System exception on BT fw,Connectivity,YB/Lost,,4,short<=28c;few_words<=5;no_digits
piece_01_of_07,1258,bt,"Bluetooths microphone can not be recognized in Sound -> Recording device, and can not be recognized in Sound Recorder APP. (FR:1/3 units, 100% failed with that failed unit.)",Connectivity,Connectivity,,2,generic:fail
piece_01_of_07,3286,bt,BSOD occurs when connect a mobile hotspot by bluetooth with ACPI SDEV table enabled.,BSOD,BSOD,,1,no_digits
piece_01_of_07,375,bt,HLK BLUETOOTH_MULTIMACHINE_HCIEXTENSIONS_V2 test fail,HLK,HLK,,3,few_words<=5;generic:fail
piece_01_of_07,3089,software,Toasts not working,Killer,,,9,very_short<=18c;few_words<=3;generic:not working;no_digits
piece_01_of_07,3361,bt,BT mouse cannot work after idle or paired successfully.,Connectivity,Connectivity,,1,no_digits
piece_01_of_07,3683,bt,"After resume from MS for long time, BT mouse will lost function and can not scan & pair. (Scan List Empty)",Connectivity,Connectivity,,1,no_digits
piece_01_of_07,361,bt,HLK Bluetooth test failed,HLK,HLK,,6,short<=28c;few_words<=5;generic:fail;no_digits
piece_01_of_07,3095,software,KCC cant restart,Killer,,,9,very_short<=18c;few_words<=3;generic:cant;no_digits
piece_01_of_07,123,bt,Enabling the s-mono function causes noise during playback,YB/Lost,Connectivity,,1,no_digits
piece_01_of_07,3371,bt,Tile app can activate when BIOS is not enable Intile by Feature byte.,UEFI,,,1,no_digits
piece_01_of_07,1586,bt,Auto Connection Issue,Connectivity,Connectivity,,8,short<=28c;few_words<=3;generic:issue;no_digits
piece_01_of_07,1884,software,No indication in the cli when connecting or disconnecting to AP,Killer,,,1,no_digits
piece_01_of_07,2317,software,Coverity - CID 3808441 Infinite recursion without exit,Killer,,,0,
piece_01_of_07,2931,software,ICPS adds a route and causes system crash while on VPN,ICPS,ICPS/Killer,,3,generic:crash;no_digits
piece_01_of_07,1120,bt,PC connect TV failed by ble,Connectivity,Connectivity,,5,short<=28c;generic:fail;no_digits
piece_01_of_07,2061,software,Coverity - CID 4022861 Dereference before null check,Killer,,,0,
piece_01_of_07,3733,software,":The images in the ""Type"" column of Network Health are generically labeled as ""image""",Killer,,,1,no_digits
piece_01_of_07,3229,bt,System Volume bar OSD not changed when pressing hotkey to adjust volume during Teams video call with BT headset,System Hang,Connectivity,,3,generic:hang;no_digits
piece_01_of_07,892,bt,BLE launch failure on PTL Platforms with BE211 Module,Connectivity,Connectivity,,2,generic:failure
piece_01_of_07,2215,software,Coverity - CID 4012501 Copy without assign,Killer,,,0,
piece_01_of_07,3367,bt,"HLK-Bluetooth - HciExtension1 (Bring Up) fails with Reserved flags (0xffffffffffffff80) are set by the radio, they should be zeroed out.",BSOD,HLK,,2,generic:fail
piece_01_of_07,2970,software,BSOD happens when starting a video meeting with DynaConnect App,Killer,,,1,no_digits
piece_01_of_07,3770,software,Request for adding SSID in Killer WLAN/AX211 driver and KCC,Killer,,,0,
piece_01_of_07,1075,software,"ICPS pop up ""2 suggested apps"" window after upgrade from older version to C14 and higher version.",ICPS,,,0,
piece_01_of_07,619,software,ICPS will crash when switch Light/Dark mode after editing BT device name,ICPS,,,3,generic:crash;no_digits
piece_01_of_07,2222,software,Coverity - CID 4119176 Identical code for different branches,Killer,,,0,
piece_01_of_07,976,software,ICPS cant be auto-launched after restart,ICPS,,,3,generic:cant;no_digits
piece_01_of_07,1921,software,"""Reset to default"" keeps acm enabled",Killer,,,1,no_digits
piece_01_of_07,3363,bt,System found the BSOD 0x7F when run the HLK : System - PNP (disable and enable) with IO Before and After (Reliability) test failed due to unexpected reboot.(FR: 2/3),BSOD,BSOD,,2,generic:fail
piece_01_of_07,3725,software,":Event ID 7023 The Intel Connectivity Service service terminated"" happensduring Restart test",Killer,,,0,
