assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_02_of_07,1011,software,Reset all button not work,Killer,ICPS/Killer,,4,short<=28c;few_words<=5;no_digits
piece_02_of_07,1038,software,"The system will pop up msg ""Select an app to open this icpslauncher link"" after uninstall old ICPS driver then install new ICPS Driver package",ICPS,ICPS/Killer,,1,no_digits
piece_02_of_07,1004,software,ICPS Advanced Settings UI auto moves up.,ICPS,ICPS/Killer,,1,no_digits
piece_02_of_07,1447,bt,There are advs but no connection complete evt,Connectivity,Connectivity,,1,no_digits
piece_02_of_07,1728,bt,Remove Duplicate Entires in the ibtpciinf,Connectivity,Connectivity,,1,no_digits
piece_02_of_07,3243,bt,Advertising Duty Cycle complaint test is not meeting the SPEC requirement,Connectivity,Need-Triage,,1,no_digits
piece_02_of_07,50,bt,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Connectivity,Performance,,2,generic:issue
piece_02_of_07,3079,software,Disable unusable arrows for recommendations,Killer,ICPS/Killer,,2,few_words<=5;no_digits
piece_02_of_07,3356,bt,"BT headset 100% fail to mute , still can hear volume after mute",Connectivity,Connectivity,,2,generic:fail
piece_02_of_07,3734,software,Accessibility issue of Killer Intelligence Center.,Killer,ICPS/Killer,,3,generic:issue;no_digits
piece_02_of_07,726,bt,BTS4,Connectivity,Need-triage,,6,very_short<=18c;few_words<=3
piece_02_of_07,4153,software,V1.1021.1111.2 ICPS GUI cant open after preload on C970 and TB 13X,ICPS,ICPS/Killer,,2,generic:cant
piece_02_of_07,348,bt,Bluetooth SAR power BIOS setting issue,RF,BIOS,,3,generic:issue;no_digits
piece_02_of_07,2869,software,When updating driver ICPS stopped to work,ICPS,ICPS/Killer,,1,no_digits
piece_02_of_07,4190,software,removing fully all files and folder of ICPS after self-uninstallation,ICPS,ICPS/Killer,,1,no_digits
piece_02_of_07,801,software,"When Accessibility->Text size is set to 200%, the prompt window that appears when launching ICPS is not fully displayed.",ICPS,ICPS/Killer,,0,
piece_02_of_07,3215,bt,Sniff Mode Parameters not meet the criteria,Connectivity,Connectivity,,1,no_digits
piece_02_of_07,1181,bt,"The manual reboot of the DC is significantly slower, taking approximately 30 to 40 seconds longer than other machines",Performance,Performance,,2,generic:cant
piece_02_of_07,1188,bt,"Connect to BT headset and running HLKs , SMONO HLK will get fail",HLK,HLK,,3,generic:fail;no_digits
piece_02_of_07,1754,bt,[Surface][PTL+FmP2][24.0.1.1][PHY]Failing - RF/TRM/CA/BV-16-C [EDR Synchronization Sequence and Trailer],RF,RF,,2,generic:fail
piece_02_of_07,3786,software,"Intel Connectivity and Performance Suite, doesnt work with Narrator, multiple fields/items are not labeled.",Killer,ICPS/Killer,,3,generic:doesnt work;no_digits
piece_02_of_07,791,bt,"SystemEvent log show error ID_5 after connect the BT MS&KB&Hedset devices, FR: 1/1Unit, 3/3Cycles",Connectivity,YB/Lost,,2,generic:error
piece_02_of_07,1972,software,Application Page - AppDomain name column text is centered,Killer,ICPS/Killer,,1,no_digits
piece_02_of_07,1419,bt,"Stress_FB_BSOD(0X9F) occurred that point to Intel Bluetooth driver (F/R: 1/42units, 1/12400cycles)",BSOD,BSOD,,0,
piece_02_of_07,1713,software,Intel Killer Intelligence Center wont respond,Killer,ICPS/Killer,,1,no_digits
piece_02_of_07,1310,bt,"Bluetooth devices all lost and do not show in the device manager when MIKE II s4 stress test, Bluetooth Device (Personal Area Network) (ID: BTH\MS_BTHPAN\6&257119B4&0&2) missing",Connectivity,YB/Lost,,0,
piece_02_of_07,3745,software,Please use uppercase in filename (IDBWM.exe),Killer,ICPS/Killer,,1,no_digits
piece_02_of_07,1743,software,Slow response and freezes,Killer,system hang,,4,short<=28c;few_words<=5;no_digits
piece_02_of_07,3140,bt,MDUT Reconnection does not meet the spec,Connectivity,Connectivity,,1,no_digits
piece_02_of_07,1608,bt,he sound&play UI became very lag after end the teams call then play local video with BT LE headphone connected.(BE201),Connectivity,Connectivity,,0,
piece_02_of_07,2907,software,High traffic notification does not trigger naturally without a reset,Killer,,,1,no_digits
piece_02_of_07,1887,software,Build configuration for Lenovo and Dell,Killer,,,1,no_digits
piece_02_of_07,3400,bt,"Unplugged AC adapter, found the sound will obviously lag about 2~4s.",Performance,Need-Triage,,0,
piece_02_of_07,119,bt,The sound is terrible after starting a PAS session,Connectivity,Connectivity,,1,no_digits
piece_02_of_07,260,bt,Bluetooth mouse has poor tracking perfo,Connectivity,Performance,,1,no_digits
piece_02_of_07,2037,software,AppxStandaloneUtility.exe is unsigned,Killer,,,4,few_words<=3;no_digits
piece_02_of_07,709,bt,BT shows YB with code 31 due to WiFi Assert 0x2010121e,YB/Lost,YB/Lost,,0,
piece_02_of_07,2872,software,UI Got Freeze,Killer,,,7,very_short<=18c;few_words<=3;no_digits
piece_02_of_07,2951,software,Killer 1675x WLAN card WIFI/BT driver release request,Killer,ICPS/Killer,,0,
piece_02_of_07,369,bt,#NAME?,RF,,,7,very_short<=18c;few_words<=3;no_digits
piece_02_of_07,3337,bt,BT driver show YB a after removing BT paired devices at BT setting UI,YB/Lost,YB/Lost,,1,no_digits
piece_02_of_07,1773,bt,"BT audio playback failed ""Format Not Supported""",YB/Lost,Connectivity,,3,generic:fail;no_digits
