assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_07_of_07,3435,bt,BT enumerators and RFCOMM Protocol TDI disappears after hybridshutdown,YB/Lost,YB/Lost,,1,no_digits
piece_07_of_07,32,bt,Bluetooth headset has No Output Sound After PC Bluetooth Toggle (OFF/ON) 100% fail rate.,Connectivity,Connectivity,,2,generic:fail
piece_07_of_07,2953,software,The Unit still need to enter password during switching saved network on the Network Health page,Killer,,,1,no_digits
piece_07_of_07,3244,bt,HDUT not support Sniff Subrating Mode,Connectivity,Connectivity,,1,no_digits
piece_07_of_07,1770,bt,BLE launch fail,Connectivity,Connectivity,,9,very_short<=18c;few_words<=3;generic:fail;no_digits
piece_07_of_07,1217,bt,BT driver lost,Connectivity,YB/Lost,,7,very_short<=18c;few_words<=3;no_digits
piece_07_of_07,1505,bt,aging S4 TEST_BT Lost issue - NO_SUCH_DEVICE,Connectivity,YB/Lost,,2,generic:issue
piece_07_of_07,3021,software,The Join column can be modified in Smart AP Selection.,Killer,,,1,no_digits
piece_07_of_07,2950,software,: SSID shows &amp; instead of & if connect AP in ICPS,ICPS,,,1,no_digits
piece_07_of_07,4142,software,Killer performance driver suite UWD causes CPU high usage and power consumption.,Killer,,,1,no_digits
piece_07_of_07,281,bt,Event log show WHEA warning BT will be YB after booting OS,YB/Lost,YB/Lost,,1,no_digits
piece_07_of_07,1622,bt,Broadcast sending failed,Connectivity,Connectivity,,8,short<=28c;few_words<=3;generic:fail;no_digits
piece_07_of_07,778,bt,BLE data exchanged times in a connection interval,System Hang,Connectivity,,3,generic:hang;no_digits
piece_07_of_07,3264,bt,Cannot find DUT Tile in TILE Mobile App (TMA) on the phone when DUT enter to S4/D2,Connectivity,Connectivity,,0,
piece_07_of_07,3205,bt,Device Information Service only includes PnPID and Manufacture name,Connectivity,Need-triage,,1,no_digits
piece_07_of_07,1220,software,ICPS has left over Scheduled Task after uninstallation,ICPS,,,1,no_digits
piece_07_of_07,3238,bt,"HDUT cant reject 2nd incoming call from Mobile, with 1st call ongoing in PCDUT",OEM Tools,,,2,generic:cant
piece_07_of_07,4131,software,"Unit would show""Connection failed""after forget the network by OS UI then connect it again in ICPS.",ICPS,,,3,generic:fail;no_digits
piece_07_of_07,3033,software,Can not find the configure files in C:\ProgramData\Intel\ConnectivityService folder after install ICPS.,ICPS,,,1,no_digits
piece_07_of_07,2282,software,Dark/Light mode change lead to BT device name invisible,Killer,,,3,generic:hang;no_digits
piece_07_of_07,1424,bt,Bluetooth is switched on automatically after resuming from Hibernation.,Connectivity,Connectivity,,1,no_digits
piece_07_of_07,3260,bt,[Win10 HLK Bluetooth - 4LeSpecification (Development and Integration) cause BT lost and pop up a USB unknown device.,HLK,HLK,,0,
piece_07_of_07,235,bt,"Stress_Wifi_S4, System event log show red color with Event ID 17(The local Bluetooth adapter has failed in an undetermined manner and will not be used). (F/R:2/25u,2/2500c)",Connectivity,YB/Lost,,2,generic:fail
piece_07_of_07,3689,bt,TX timeout during ROM flow,Connectivity,Need-triage,,4,short<=28c;few_words<=5;no_digits
piece_07_of_07,3032,software,"Grouped SSID, ICPS choose the bad 1 to connect.",ICPS,,,0,
piece_07_of_07,834,bt,DRTUClient fails to connect using command line interface,OEM Tools,OEM Tools,,3,generic:fail;no_digits
piece_07_of_07,977,software,PTL Killer install,Killer,ICPS/Killer,,7,very_short<=18c;few_words<=3;no_digits
piece_07_of_07,3256,bt,"When switch on and off Bluetooth Button repeatedly from the operation center, the BT button sometime is not working. At the same time, there is 0x9f BSOD when reboot the PC.",BSOD,BSOD,,2,generic:not working
piece_07_of_07,126,bt,Bluetooth Yellow Bang (error 43) after reboot; fatal BT controller exception and PLDR failure on Panther Lake (AX211) - CNVI_AUX_A2A_EXCEPTION_IRQ,YB/Lost,YB/Lost,,2,generic:failure
piece_07_of_07,565,bt,BSOD_0x7E(stop code:SYSTEM_THREAD_EXCEPTION_NOT_HANDLED) occurred when run PassMark BurnIn Test.,BSOD,BSOD,,0,
piece_07_of_07,1984,software,Coverity - CID 4017029 Resource leak,Killer,,,0,
piece_07_of_07,1932,software,Coverity - CID 4018736 Untrusted loop bound,Killer,,,0,
piece_07_of_07,3115,bt,BT sar table value not align the ant tool query result,RF,OEM Tools,,1,no_digits
piece_07_of_07,2340,software,4119820 - Resource leak,Killer,,,3,short<=28c;few_words<=5
piece_07_of_07,2844,software,Precheck Failure: Releasenoteschk failure ICPS 4.0,ICPS,,,2,generic:failure
piece_07_of_07,333,bt,Bluetooth headphone only have audio no MIC function,Connectivity,Connectivity,,1,no_digits
piece_07_of_07,1408,bt,Cant search the BLE device(AD20 mouse),OEM Tools,,,2,generic:cant
piece_07_of_07,1868,software,"- ""Connected Network Change"" Event isnt triggered upon actual Wi-Fi link-loss",Killer,,,3,generic:hang;no_digits
piece_07_of_07,2945,software,: Passcode incorrect will be shown when connect Wifi with correct passcode,Killer,,,1,no_digits
piece_07_of_07,1902,software,UI issues Network Health tab,Killer,,,6,short<=28c;few_words<=5;generic:issue;no_digits
piece_07_of_07,1672,software,Coverity - CID 3912007: Dereference before null check,Killer,,,0,
