assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_02_of_07,844,wifi,BE200 YB after S4 resume,YB/Lost,YB/Lost,,3,short<=28c;few_words<=5
piece_02_of_07,3558,wifi,WiFi profile not showing expected 11ax in Protocol after changing wireless modes in properties,System Hang,Connectivity,,2,generic:hang
piece_02_of_07,337,wifi,T-put HL TX issue,RF,Performance,,7,very_short<=18c;few_words<=5;generic:issue;no_digits
piece_02_of_07,2195,wifi,Decision low value will over decision high and system always detect human after SPD,Connectivity,Sensing,,1,no_digits
piece_02_of_07,87,wifi,"System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)",System Hang,System hang,,2,generic:hang
piece_02_of_07,2117,wifi,Theres no corresponding assert log folder generated but system event log show 5002/5005 during stress Cold Boot Test,YB/Lost,YB/Lost,,0,
piece_02_of_07,3903,wifi,BSoD point to vwifibus.sys druing S4 stress test,BSOD,BSOD,,0,
piece_02_of_07,2180,wifi,802.11AX MCS6 and BE MCS11 with LDPC Sensitivity is not met EPS Performance,RF,Performance,,0,
piece_02_of_07,756,wifi,Wi-Fi sinewave function of DRTU tool is not working (BE211 QS),OEM Tools,OEM Tools,,2,generic:not working
piece_02_of_07,2243,wifi,"The WIFI assert _0x3706 and 0x22d2 happening cause to network disconnected during wechat video callevent log show wifi ""5002"". Fail rate: 1/109 units",YB/Lost,Connectivity,,2,generic:fail
piece_02_of_07,2839,wifi,other PC connect hotspot occur auto disconnect after PC connect 5G AP and open hotspot(setting 2.4 bandwidth),Power Consumption,P2P,,0,
piece_02_of_07,3530,wifi,Wi-Fi sensing WOA&WAL distance exceeds Intel KPI,RF,Sensing,,1,no_digits
piece_02_of_07,1226,wifi,PC does not send beacon,Connectivity,SoftAP,,4,short<=28c;few_words<=5;no_digits
piece_02_of_07,3926,wifi,HookeD projection MatePad Pro audio freeze,System Hang,System Hang,,1,no_digits
piece_02_of_07,2828,wifi,DUT end up to black screen and system hang during running modern standby test,System Hang,System Hang,,3,generic:hang;no_digits
piece_02_of_07,4007,wifi,Sink PC show lag or garbage when test PC projecting to PC and play local video,Performance,P2P,,1,no_digits
piece_02_of_07,979,wifi,T14S Laptop (AX211) keeps switching between different Wi-Fi access points (APs) unnecessarily,RF,Connectivity,,0,
piece_02_of_07,556,tools,DRTU show Tx Uncalibrated issue,OEM Tools,OEM Tools,,4,few_words<=5;generic:issue;no_digits
piece_02_of_07,4055,wifi,Intel BE200 Wi-Fi 7 Adapter Driver causing BSOD 0x124 WHEA_UNCORRECTABLE_ERROR,BSOD,BSOD,,2,generic:error
piece_02_of_07,583,wifi,"Batterylife_Battery Leackage_Unit show blue screen(Stop code: DRICER_POWER_START. (F/R: 1/3units,1/3cycles)",BSOD,BSOD,,0,
piece_02_of_07,2567,wifi,"There is no ""PXE boot option"" in the boot menu with UEFI driver 3.2.23.23213",UEFI,UEFI,,0,
piece_02_of_07,3526,wifi,TAS enable some question for AX411 - DCR-1833 should fix,RF,UEFI,,0,
piece_02_of_07,1014,wifi,"Mobile hotspot channel changed, the system reconnect failed",System Hang,P2P,,3,generic:hang;no_digits
piece_02_of_07,3656,wifi,Reset/Recovery instances due to different asserts 0x3030 during Disconnected Standby/Hibernate test,YB/Lost,YB/Lost,,0,
piece_02_of_07,671,wifi,WOA cant work after enter MS,OEM Tools,Sensing,,5,short<=28c;generic:cant;no_digits
piece_02_of_07,2747,wifi,we can not scan the 6E AP channels while applied country code as US.,Connectivity,Connectivity,,0,
piece_02_of_07,3936,wifi,System WHQL- System - PNP (disable and enable) with IO Before and After (Reliability) fail due to BSOD,BSOD,BSOD,,3,generic:fail;no_digits
piece_02_of_07,3796,tools,IWFT enters non-functional state for long run with WiFi Disabled,Connectivity,OEM Tools,,1,no_digits
piece_02_of_07,3933,wifi,AX411 QS sample 6e tx power lock at 7.5dB,Power Consumption,OEM Tools,,0,
piece_02_of_07,1199,wifi,[Honor][Luxshare][RPL-HX][AX201 1216][Nvwa][EVT][Schematic][#1],Connectivity,Need-Triage,,3,few_words<=3
piece_02_of_07,1537,wifi,[Lenovo/Consumer][LCFC][PTL484][BE211][1216][C911][EVT][Schematic][575882review],Connectivity,Need-Triage,,3,few_words<=3
piece_02_of_07,2170,wifi,SPD sometime cannot work even when sitting upright,Connectivity,Sensing,,1,no_digits
piece_02_of_07,2126,wifi,Wake on approach functionality fails to wake the test unit from MS in HB,Connectivity,Sensing,,3,generic:fail;no_digits
piece_02_of_07,1196,wifi,SW/HW drips cant meet the 95% standard when connecting Internet and entering MS.,OEM Tools,Power Consumption,,2,generic:cant
piece_02_of_07,2582,wifi,"not able to run ""Margin Test"" with CITU tool",OEM Tools,OEM Tools,,1,no_digits
piece_02_of_07,1579,wifi,Wi-Fi low tpt on 6Ghz 11be 320MHz bandwidth,Performance,Performance,,0,
piece_02_of_07,528,wifi,WiFi was disconnected as resuming from modem standby.,Connectivity,Power Consumption,,1,no_digits
piece_02_of_07,1065,wifi,verify Teams Video call with volume change,System Hang,Need-Triage,,3,generic:hang;no_digits
piece_02_of_07,2381,tools,"DRTU fail to switch to Packet Type ""2M Bandwidth"" 100%",OEM Tools,OEM Tools,,2,generic:fail
piece_02_of_07,4096,wifi,2.4G DRTU Target power difference at the same SKU,Power Consumption,OEM Tools,,0,
piece_02_of_07,2517,wifi,Reset/Recovery seen during disconnected standby due to ASSERT_21000DAD,YB/Lost,YB/Lost,,0,
piece_02_of_07,698,wifi,TPT degration on end customer site.,Performance,Performance,,1,no_digits
piece_02_of_07,1237,wifi,Debugging the antenna performance parameters of the WIFI Sensor waking up the PC under MS,Connectivity,Sensing,,3,generic:bug;no_digits
piece_02_of_07,1056,wifi,"BSOD(0x9F_4_PCI_Netwtw14_IMAGE_pci.sys) come from MSFT ""Never Crash""",BSOD,BSOD,,2,generic:crash
