assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_03_of_07,1958,software,Coverity - CID 4020596 Dereference after null check,Killer,,,0,
piece_03_of_07,1776,bt,DUT scan airpods device with slow availability.,Performance,,,1,no_digits
piece_03_of_07,2858,software,Palo Alto VPN with split tunnel unable to pass traffic with ICPS installed,ICPS,,,3,generic:unable;no_digits
piece_03_of_07,1364,bt,The BT earphone (Airpods4) sound lag 5s and then no sound output,Connectivity,,,0,
piece_03_of_07,1012,software,Gamefast cant auto enable,Killer,,,6,short<=28c;few_words<=5;generic:cant;no_digits
piece_03_of_07,2255,software,UI Crash when Toast Notifications are on,Killer,,,3,generic:crash;no_digits
piece_03_of_07,380,bt,HLK DirectedFxSystemTest test fail,HLK,,,4,few_words<=5;generic:fail;no_digits
piece_03_of_07,1496,software,Killer control center the QQ Player has belong to the game category.,Killer,,,1,no_digits
piece_03_of_07,1366,software,"KILLER shows ""Service not running""",Killer,,,2,few_words<=5;no_digits
piece_03_of_07,4181,software,6GHz band in WiFi Analyzer only can show up to channel 90 (it should be up to 233 or higher).,Killer,,,0,
piece_03_of_07,895,bt,25H2 HLK test fail - Bluetooth - LEExtendedAdvertising (Development and Integration),HLK,,,2,generic:fail
piece_03_of_07,3779,software,Request SSID: 0x0C10 for AX211 on Tributo_RPL,Killer,,,0,
piece_03_of_07,3002,software,"""Automatically switch to a better Access Point"" Setting cant be reset to default setting in ICPS",ICPS,,,3,generic:cant;no_digits
piece_03_of_07,351,bt,Clevo_LNL_L2xxLU_HLK_CIS Establishment test error,HLK,,,3,few_words<=5;generic:error
piece_03_of_07,735,bt,"After pairing the Bluetooth headset, the sound output takes about 15 seconds to switch to the headset.",Connectivity,,,0,
piece_03_of_07,2992,software,ICPS still list in system tray after exit successfully and restart unit.,ICPS,,,1,no_digits
piece_03_of_07,2854,software,ICPS causing slow startup,ICPS,,,4,short<=28c;few_words<=5;no_digits
piece_03_of_07,1449,software,Intel Connect service is disconnected when input wrong password to connect AP,Killer,,,1,no_digits
piece_03_of_07,1995,software,Hotspot takes ~6 seconds to connect,Killer,,,0,
piece_03_of_07,2868,software,Unison receives events from ICPS when network changes and other networks with credentials exist,ICPS,,,3,generic:hang;no_digits
piece_03_of_07,1894,software,Missing CustomizeUninstallFirstRun.exe in ICPS component driver,ICPS,,,1,no_digits
piece_03_of_07,3687,bt,UEFI BLE Scan hang issue(DELL Boot issue with USB drive connected),System Hang,,,3,generic:issue;no_digits
piece_03_of_07,91,bt,The PC high-frequency scanning 100ms broadcast takes a relatively long time (some time exceeded 20 seconds),Performance,,,0,
piece_03_of_07,17,bt,Bluetooth Mic Test Does Not Reflect Input or Volume Assessment,Connectivity,,,1,no_digits
piece_03_of_07,1689,software,Cannot run ICPS due to invalid configuration error on MTL RVP,ICPS,,,3,generic:error;no_digits
piece_03_of_07,1925,software,Coverity - CID 4017203 Structurally dead code,Killer,,,0,
piece_03_of_07,985,bt,PC scan automotive slowly by 100% duty cycle,Performance,,,0,
piece_03_of_07,3720,software,ICPS network advice is not correct,ICPS,,,1,no_digits
piece_03_of_07,881,bt,"HLK-Bluetooth - HciExtensionsV2 (Development and Integration) test fail, 2/2Unit",HLK,,,2,generic:fail
piece_03_of_07,1241,software,The Auto-Mode will become Light Mode after exit ICPS and reboot the system,ICPS,,,1,no_digits
piece_03_of_07,2358,software,"- Bluetooth tab is presenting ""Connect"" button instead of ""Add a device"" when a device is already connected",Killer,,,1,no_digits
piece_03_of_07,2852,software,SIP124587/840 G10/G11 /win11 23H2 / EY / NA / US PC / Crashing due to an Intel ICPS old and latest driver on website,ICPS,,,2,generic:crash
piece_03_of_07,419,bt,The BT driver shows as YB in DM when the system is idle.,YB/Lost,,,1,no_digits
piece_03_of_07,3278,bt,"The Bluetooth device will be auto change to ""Paired"". (Huawei Freelace)",System Hang,,,3,generic:hang;no_digits
piece_03_of_07,1045,software,"Error ""Get an app to open this icpslauncher link"" pops up after uninstalling ICPS app",ICPS,,,3,generic:error;no_digits
piece_03_of_07,428,software,"[NEC][LCFC][Citron3_VP][25H2][ICPS]ID0(Child process [10672 - IDBWM.exe] finished with 255) and ID7034(Intel Dynamic Bandwidth Management Service) shows up while running FSU long run test.[FR: 4/250,1.6%][1/1 Units]",ICPS,,,0,
piece_03_of_07,4150,software,"The ""key"" icon not appear after input AP password and connected",Killer,,,1,no_digits
piece_03_of_07,471,bt,Timeout does not work as UEFI spec in Intel UEFI BLE Driver,UEFI,,,1,no_digits
piece_03_of_07,3262,bt,DID profile 1.3 version is not available,Connectivity,,,0,
piece_03_of_07,1695,software,AP selection (same SSID) take 3~4 mins to complete AP switch sometimes,Killer,,,0,
piece_03_of_07,3013,software,Tencent meeting is recognized as gaming app.,Killer,,,1,no_digits
piece_03_of_07,1859,software,"Toggling on ""Only show authorized networks"" causes app to crash - rarely",Killer,,,3,generic:crash;no_digits
