assignment,row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
piece_05_of_07,3589,wifi,AX201- IPv6 SLAAC (Stateless Address Auto-configuration) not working reliably after Sleep/Hibernate,Power Consumption,,,2,generic:not working
piece_05_of_07,2644,wifi,auth_req sends inappropriate data rates,Connectivity,,,2,few_words<=5;no_digits
piece_05_of_07,2519,wifi,Reset/Recovery seen during disconnected standby due to Assert_0000DEAD -- 0x132E,YB/Lost,,,0,
piece_05_of_07,1096,wifi,T-put(PC SoftAP ---> Phone) is low.,Performance,,,1,no_digits
piece_05_of_07,3836,wifi,Unable not search for hot spot after WiFi disconnected(F/R:1/1 times),Power Consumption,,,2,generic:unable
piece_05_of_07,2423,tools,22.200 Rx Sensitivity Direct Mode Receive 0 packet Issue,RF,,,2,generic:issue
piece_05_of_07,4079,wifi,AX201/AX211 disconnect from OWE SSID and cannot connect back automatically,Connectivity,,,0,
piece_05_of_07,754,wifi,WLAN YB issueon MP build,YB/Lost,,,6,short<=28c;few_words<=5;generic:issue;no_digits
piece_05_of_07,44,tools,Sar cannot be set.,RF,,,5,very_short<=18c;few_words<=5;no_digits
piece_05_of_07,651,wifi,"Opening ICPS APP, the Network Health page shows no WIFI AP related information, only displaying the message ""Wireless radio disabled or Airplane Mode enabled.""",ICPS,,,1,no_digits
piece_05_of_07,627,wifi,"Downstream flow shed zero (F/R1/1u,1/40C)",Connectivity,,,1,few_words<=5
piece_05_of_07,113,wifi,"Wi-Fi device YB fails to recover after S4 resume, error code 10, reboot restores on AX211/Win11",YB/Lost,,,2,generic:fail
piece_05_of_07,497,tools,BIOS Tool,OEM Tools,,,7,very_short<=18c;few_words<=3;no_digits
piece_05_of_07,2680,wifi,p2p softAP cannot negotiate to 80M bandwidth,Performance,,,0,
piece_05_of_07,913,wifi,WLAN throughput drop when testing 6G BE 320 CH173,Connectivity,,,0,
piece_05_of_07,2456,tools,Zaca DRTU disconnect failed,OEM Tools,,,6,short<=28c;few_words<=5;generic:fail;no_digits
piece_05_of_07,2470,tools,intel ANT tool issue (hardware initialization failed) fail rate 0.5%,OEM Tools,,,2,generic:issue
piece_05_of_07,165,tools,"DRTU show pop-up ""Visual C++ Runtime library assertion failed""",YB/Lost,,,3,generic:fail;no_digits
piece_05_of_07,2727,wifi,Black screen when resume from MSD mode,System Hang,,,1,no_digits
piece_05_of_07,2752,wifi,BSOD 0x7F(Netwtw10.sys).,BSOD,,,5,short<=28c;few_words<=3
piece_05_of_07,2110,wifi,Recoverable assert 0x20003207 occurred during Miracast Test,YB/Lost,,,0,
piece_05_of_07,2471,tools,AX411 QS sample 6e tx power lock at 7.5dB,Power Consumption,,,0,
piece_05_of_07,2827,wifi,AX211 WLAN device show YB,YB/Lost,,,3,short<=28c;few_words<=5
piece_05_of_07,2599,wifi,CITU tool WiFi connection Failure when using G-layout driver,Connectivity,,,3,generic:failure;no_digits
piece_05_of_07,459,wifi,WiFi Sensing is no sensitivity,Connectivity,,,2,few_words<=5;no_digits
piece_05_of_07,2392,tools,#NAME?,OEM Tools,,,7,very_short<=18c;few_words<=3;no_digits
piece_05_of_07,476,tools,How to set the UATS table settings? Are there any tools?,UEFI,,,1,no_digits
piece_05_of_07,2184,wifi,Throughput with 11be is lower than 11ax in 5GHz,Performance,,,0,
piece_05_of_07,868,wifi,about DRS is enable or not with JP VLP setting,UEFI,,,1,no_digits
piece_05_of_07,2811,wifi,Wifi auto disconnects because miss beacon.,Connectivity,,,1,no_digits
piece_05_of_07,2730,wifi,Never Crash Issue: Netwtw10!dclReturnRxBufferApi+0x2e,BSOD,,,3,few_words<=5;generic:crash
piece_05_of_07,3579,wifi,Using 2.2.15 release & observe scan hang(1.2.11.22527 can not repro),System Hang,,,2,generic:hang
piece_05_of_07,1638,wifi,Killer Intelligence Center Smart AP issues,Killer,,,3,generic:issue;no_digits
piece_05_of_07,1054,wifi,Wireless LAN suddenly turned on during Airplane mode,Connectivity,,,1,no_digits
piece_05_of_07,3927,wifi,Low Rx while testing 5G/160M in channel 36/100,RF,,,0,
piece_05_of_07,2211,wifi,"When user walked back as suggested by tool, the indication still showing Recording the data",Connectivity,,,1,no_digits
piece_05_of_07,2731,wifi,Never Crash issue: blocked IRP point to Netwtw10,BSOD,,,2,generic:crash
piece_05_of_07,1050,wifi,[Lenovo_LOQ][Compal][LOQ][RPL][AX203],Connectivity,,,3,few_words<=3
piece_05_of_07,716,wifi,"The SW/HW Drips < 90% (Intel(R) Wi-Fi 7 BE211 320MHz (\_SB.PC00.CNVW)) when running Stress-MS.(F/R:26/40units,142/5000cycles)",Performance,,,0,
piece_05_of_07,2677,wifi,Antd shows -95,OEM Tools,,,6,very_short<=18c;few_words<=3
piece_05_of_07,1060,wifi,"Unit Sharing 2G file transfer rate is very slow.(F/R:3/3units,6/6cycles)",Performance,,,0,
piece_05_of_07,2568,wifi,"""Unexpected disconnect by driver"" Wi-Fi failure seen while device is in sleep",Power Consumption,,,3,generic:failure;no_digits
piece_05_of_07,2547,wifi,Later CRWFW8372_99.0.83.4 and CRWFW8339_99.0.83.3 hit DRTU connection failed,OEM Tools,,,2,generic:fail
piece_05_of_07,821,wifi,WiFi 6 Ghz can not be detected or connected when the channel is at 101/149/213.,Connectivity,,,0,
