ips_title,human_category,source_folder,source_file
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),RF,CFE_input,weekly_labels_20260501_170001.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260501_170001.csv
2.4G DRTU Target power difference at the same SKU,Performance,CFE_input,weekly_labels_20260501_170001.csv
Restricted mode long reconnection time after resume from sleep,Power Consumption,CFE_input,weekly_labels_20260508_230403.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Performance,CFE_input,weekly_labels_20260508_230403.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Performance,CFE_input,weekly_labels_20260515_170001.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260515_170001.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260515_170001.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Performance,CFE_input,weekly_labels_20260515_170001.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260522_183733.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Power Consumption,CFE_input,weekly_labels_20260522_183733.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260522_183733.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260522_183733.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260522_183733.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Performance,CFE_input,weekly_labels_20260522_183733.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_143606.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Power Consumption,CFE_input,weekly_labels_20260523_143606.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_143606.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_143606.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_143606.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Performance,CFE_input,weekly_labels_20260523_143606.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_143640.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Power Consumption,CFE_input,weekly_labels_20260523_143640.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_143640.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_143640.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_143640.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Performance,CFE_input,weekly_labels_20260523_143640.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_145957.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Power Consumption,CFE_input,weekly_labels_20260523_145957.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_145957.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_145957.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_145957.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Performance,CFE_input,weekly_labels_20260523_145957.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_150056.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Power Consumption,CFE_input,weekly_labels_20260523_150056.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_150056.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_150056.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260523_150056.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Performance,CFE_input,weekly_labels_20260523_150056.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260525_100744.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Power Consumption,CFE_input,weekly_labels_20260525_100744.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260525_100744.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260525_100744.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,weekly_labels_20260525_100744.csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Performance,CFE_input,weekly_labels_20260525_100744.csv
PPAG function doesnt work when countrycode is set to CB(China).,BIOS,CFE_input,weekly_labels_20260605_170006.csv
TAS enable some question for AX411 - DCR-1833 should fix,BIOS,CFE_input,weekly_labels_20260605_170006.csv
T14S Laptop (AX211) keeps switching between different Wi-Fi access points (APs) unnecessarily,Roaming,CFE_input,weekly_labels_20260605_170006.csv
PPAG function doesnt work when countrycode is set to CB(China).,BIOS,CFE_input,weekly_labels_20260606_143309.csv
TAS enable some question for AX411 - DCR-1833 should fix,BIOS,CFE_input,weekly_labels_20260606_143309.csv
T14S Laptop (AX211) keeps switching between different Wi-Fi access points (APs) unnecessarily,Roaming,CFE_input,weekly_labels_20260606_143309.csv
PPAG function doesnt work when countrycode is set to CB(China).,BIOS,CFE_input,weekly_labels_20260608_163759.csv
TAS enable some question for AX411 - DCR-1833 should fix,BIOS,CFE_input,weekly_labels_20260608_163759.csv
T14S Laptop (AX211) keeps switching between different Wi-Fi access points (APs) unnecessarily,Roaming,CFE_input,weekly_labels_20260608_163759.csv
PPAG function doesnt work when countrycode is set to CB(China).,Performance,CFE_input,weekly_labels_20260612_170002.csv
TAS enable some question for AX411 - DCR-1833 should fix,YB/Lost,CFE_input,weekly_labels_20260612_170002.csv
[Honor][Huaqin][LvzhouD][WCL][Intel AX211][BT][25H2]The coldboot stress test resulted in a 0x9f BSOD.,BSOD,CFE_input,weekly_labels_20260612_170002.csv
PPAG function doesnt work when countrycode is set to CB(China).,Performance,CFE_input,weekly_labels_20260612_233426.csv
TAS enable some question for AX411 - DCR-1833 should fix,YB/Lost,CFE_input,weekly_labels_20260612_233426.csv
[Honor][Huaqin][LvzhouD][WCL][Intel AX211][BT][25H2]The coldboot stress test resulted in a 0x9f BSOD.,Roaming,CFE_input,weekly_labels_20260612_233426.csv
Restricted mode long reconnection time after resume from sleep,Connectivity,CFE_input,wifi_tools_piece_01_of_07_Timdaway.csv
PPAG function doesnt work when countrycode is set to CB(China).,BIOS,CFE_input,wifi_tools_piece_07_of_07_Brenton.csv
"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Performance,CFE_reviewed_issue,bt_software_piece_02_of_07_Juan.csv
"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Connectivity,CFE_reviewed_issue,bt_software_piece_04_of_07_Wesley.csv
T14S Laptop (AX211) keeps switching between different Wi-Fi access points (APs) unnecessarily,Connectivity,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv
TAS enable some question for AX411 - DCR-1833 should fix,UEFI,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv
2.4G DRTU Target power difference at the same SKU,OEM Tools,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv
TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),RF,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv
