ips_title,human_category,source_folder,source_file
"[Lenovo Thinkbook/Consumer][Wistron][WCL][AX211][IdeaPad Slim 5 13IWC11]The AX211 network card uses Bluetooth to record audio with current and noise.(10/10 unit,50/50 cycle)",Connectivity,CFE_input,weekly_labels_20260425_151911.csv
"[Lenovo][Wistron][PTL-H][BE211][Curie3] BT headphone cant hear ""Lenovo Vantage"" notification sound",Connectivity,CFE_input,weekly_labels_20260425_151911.csv
[Dell][ICPS5.0] ICPS driver files are left in C:\Windows\System32\DriverStore\FileRepository after using installer to uninstall ICPS,ICPS,CFE_input,weekly_labels_20260425_151911.csv
"[Lenovo][Huaqin][PTL-H][BE213][S511_14_16]The Wi-Fi/BT icon disappears for about	one second after clicking the Wi-Fi icon at the bottom right corner of the	switch.(FR:1/3uuts,2/30cycles)",Performance,CFE_input,weekly_labels_20260425_151911.csv
[Dell][Luxshare][Roma][WCL][Win11] [DVT] SUT occur BSOD(0x133) during Warm Boot stress(FR:636 DPPM).(Fail rate:2 out of 14units2 out of 3143 cycles),BSOD,CFE_input,weekly_labels_20260425_151911.csv
[Windows] Smart Connect Incorrect Network List Addressing,Killer,CFE_input,weekly_labels_20260425_151911.csv
[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]HLK USB Inter Device idle Test-Compat item fail,HLK,CFE_input,weekly_labels_20260425_151911.csv
[HP][IEC][Bobcats][MTL][Intel Wi-Fi 7 BE200] Randomly unable to connect to EAP-TLS network with 11r enabled/Wi-Fi signals keep fluctuating on the laptop resulting in slow connection and packet drops,Roaming,CFE_input,weekly_labels_20260425_151911.csv
[PSIRT] [Connectivity Performance Suite] Potential Use After Free may impact availability,ICPS,CFE_input,weekly_labels_20260425_151911.csv
[lenovo/DT BU][In-house][ARL][BE200][P3 tiny  Gen2  ]  ANT Tool ParaguayVietnamTunisiaIndonesia6G,OEM Tools,CFE_input,weekly_labels_20260425_151911.csv
LNL Ultra 7 258V with BE201 WLAN device miss,YB/Lost,CFE_input,weekly_labels_20260425_151911.csv
[Windows] Disable feature in Smart Connect Configurations Doesnt work,Killer,CFE_input,weekly_labels_20260425_151911.csv
