review_priority,pair_count,pair_error_rate_within_true,human_category_current,model_predicted,ips_title,technology,predicted_category_hint,source_folder,source_file,action,review_notes
2666,2,0.6667,System Hang,Connectivity,LMP response timeout during LMP feature exchange on 22.200,,,CFE_reviewed_issue,bt_software_piece_06_of_07_Matt.csv,review_human_category,
2666,2,0.6667,System Hang,Connectivity,verify Teams Video call with volume change,,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,review_human_category,
2200,2,0.2,OEM Tools,YB/Lost,DDD log cant deocode,,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,review_human_category,
2080,2,0.08,Performance,Connectivity,The PC high-frequency scanning 100ms broadcast takes a relatively long time (some time exceeded 20 seconds),,,CFE_reviewed_issue,bt_software_piece_03_of_07_Steven.csv,review_human_category,
2058,2,0.0588,YB/Lost,Connectivity,Win11(25H2)_Hybrid Stress_S4_Device_YB_Intel(R) Dual Bluetooth(R) PCI Enumerator.,,,CFE_reviewed_issue,bt_software_piece_04_of_07_Wesley.csv,review_human_category,
1500,1,0.5,RF,OEM Tools,BT sar table value not align the ant tool query result,,,CFE_reviewed_issue,bt_software_piece_07_of_07_Yuwei (2).csv,review_human_category,
1200,1,0.2,UEFI,BIOS,[Dell][FXN][NVL-S][Citadel CSLP]  When running BIOS tool in WRT Tool fail,,,CFE_input,weekly_labels_20260508_230403.csv,review_human_category,
1100,1,0.1,OEM Tools,BIOS,Samsung PNVM - WRT shows incorrect values,,,CFE_input,wifi_tools_piece_07_of_07_Brenton.csv,review_human_category,
1100,1,0.1,OEM Tools,Killer,Use SKILL instead of XML for applying DRC,,,CFE_reviewed_issue,wifi_tools_piece_04_of_07_KJ (2).csv,review_human_category,
1090,1,0.0909,Killer,Performance,AP selection (same SSID) take 3~4 mins to complete AP switch sometimes,,,CFE_reviewed_issue,bt_software_piece_03_of_07_Steven.csv,review_human_category,
1029,1,0.0294,YB/Lost,BSOD,"0x28af/0x32d occurred when doing ""MS<-->Resume"" stress test",,,CFE_reviewed_issue,wifi_tools_piece_04_of_07_KJ (2).csv,review_human_category,
