review_priority,pair_count,pair_error_rate_within_true,human_category_current,model_predicted,ips_title,technology,predicted_category_hint,source_folder,source_file,model_confidence,loss_score,action,review_notes,new_human_category,secondary_category,is_dual_valid,keep_current_label,reviewer,decision_notes,review_status,_target_label,_current_label
9041,,,OEM Tools,Connectivity,WLAN NDT test result has higher noise result,tools,,CFE_input,wifi_tools_piece_01_of_07_Timdaway.csv,0.0959,0.90411,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,hard_wrong_or_unclear,OEM Tools,OEM Tools
8798,,,ICPS,YB/Lost,Device Information Service - MDUT FW version doesnt match.,bt,,CFE_reviewed_issue,bt_software_piece_05_of_07_Leo.csv,0.1202,0.879841,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,need-triage,,,,,,hard_wrong_or_unclear,Need-Triage,ICPS
8711,,,ICPS,Performance,Slow response and freezes,software,,CFE_reviewed_issue,bt_software_piece_02_of_07_Juan.csv,0.1289,0.871078,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,system hang,,,,,,hard_wrong_or_unclear,system hang,ICPS
8659,,,ICPS,Connectivity,The pdb debug file exists in the package UWD\Win64\Drivers\ICPSComponent\Symbols directory,software,,CFE_reviewed_issue,bt_software_piece_06_of_07_Matt.csv,0.1341,0.865943,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,hard_wrong_or_unclear,ICPS,ICPS
8579,,,ICPS,Connectivity,Fast Lane - Update IPCBridge BoostedAppInfoState on R3QO3 enabled activity detected,Software,,CFE_input,weekly_labels_20260508_230403.csv,0.1421,0.857885,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,hard_wrong_or_unclear,ICPS,ICPS
8370,,,ICPS,ICPS,"The button ""Reset"" all settings to default does not works.",software,,CFE_reviewed_issue,bt_software_piece_04_of_07_Wesley.csv,0.163,0.83698,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,ICPS,ICPS
7963,,,ICPS,Killer,Intel Connect service says disconnected,software,,CFE_reviewed_issue,bt_software_piece_05_of_07_Leo.csv,0.2037,0.796307,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,hard_wrong_or_unclear,ICPS,ICPS
7863,,,ICPS,ICPS,"When Accessibility->Text size is set to 200%, the prompt window that appears when launching ICPS is not fully displayed.",software,,CFE_reviewed_issue,bt_software_piece_02_of_07_Juan.csv,0.2137,0.786269,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,ICPS,ICPS
7722,,,ICPS,ICPS,KCC no Wi-Fi Score on Windows 11_XPS 13 7390.,software,,CFE_reviewed_issue,bt_software_piece_05_of_07_Leo.csv,0.2278,0.77223,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,ICPS,ICPS
7627,,,OEM Tools,OEM Tools,ibterverify version error,tools,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,0.2373,0.762661,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,OEM Tools,OEM Tools
7184,,,OEM Tools,OEM Tools,Biostool.exe does not show the parameters in UEFI data version 4,wifi,,CFE_input,wifi_tools_piece_07_of_07_Brenton.csv,0.2816,0.718404,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,OEM Tools,OEM Tools
7151,,,OEM Tools,OEM Tools,"DRTU commands work fine after OTP commit, but fail before OTP write.",tools,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,0.2849,0.715054,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,OEM Tools,OEM Tools
7135,,,ICPS,ICPS,[KPI][IHS] Long scan time for HS - sometimes - Beta,Software,,CFE_input,weekly_labels_20260508_230403.csv,0.2865,0.713505,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,ICPS,ICPS
7097,,,ICPS,ICPS,Settings --> Change lowercase letters to uppercase for reset buttons strings,software,,CFE_reviewed_issue,bt_software_piece_04_of_07_Wesley.csv,0.2903,0.709721,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,ICPS,ICPS
6915,,,ICPS,ICPS,Bandwidth limitation is not taking effect after prioritization on/off/on cycle in settings,software,,CFE_reviewed_issue,bt_software_piece_04_of_07_Wesley.csv,0.3085,0.691538,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,ICPS,ICPS
6909,,,OEM Tools,OEM Tools,WRT2G WRT_CNV_BIOS_Conf.json cant parsing PPAG Revision3 UEFI variable content,tools,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,0.3091,0.690875,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,OEM Tools,OEM Tools
6895,,,OEM Tools,OEM Tools,IWFT enters non-functional state for long run with WiFi Disabled,tools,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,0.3105,0.689497,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,OEM Tools,OEM Tools
6853,,,ICPS,ICPS,Please use uppercase in filename (IDBWM.exe),software,,CFE_reviewed_issue,bt_software_piece_02_of_07_Juan.csv,0.3147,0.685346,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,ICPS,ICPS
6830,,,ICPS,ICPS,NetworkService fails to start after inf install with new root location,Software,,CFE_input,weekly_labels_20260501_170001.csv,0.317,0.683049,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,ICPS,ICPS
6734,,,OEM Tools,OEM Tools,DRTUClient fails to connect using command line interface,bt,,CFE_reviewed_issue,bt_software_piece_07_of_07_Yuwei (2).csv,0.3266,0.673367,review_human_category,focus_pair=ICPS_vs_OEMTools;track=expanded_boundary,,,,yes,,,resolved_by_relabel,OEM Tools,OEM Tools
