review_priority,pair_count,pair_error_rate_within_true,human_category_current,model_predicted,ips_title,technology,predicted_category_hint,source_folder,source_file,model_confidence,loss_score,action,review_notes,new_human_category,secondary_category,is_dual_valid,keep_current_label,reviewer,decision_notes,review_status
2047,,,Connectivity,Roaming,"[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]When roaming between 2.4G and 5G, roaming occurs around a threshold of -70 dB.",,,CFE_input,weekly_labels_20260529_170002.csv,0.2047,0.204747,review_human_category,focus_pair=Roaming_vs_Connectivity;track=strict_pair_confusion,Roaming,Connectivity,yes,,,,resolved_by_relabel
2047,,,Connectivity,Roaming,"[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]When roaming between 2.4G and 5G, roaming occurs around a threshold of -70 dB.",,,CFE_input,weekly_labels_20260530_145717.csv,0.2047,0.204747,review_human_category,focus_pair=Roaming_vs_Connectivity;track=strict_pair_confusion,Roaming,Connectivity,yes,,,,resolved_by_relabel
9041,,,OEM Tools,Connectivity,WLAN NDT test result has higher noise result,,,CFE_input,wifi_tools_piece_01_of_07_Timdaway.csv,0.0959,0.90411,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,,,,yes,,,hard_wrong_or_unclear
8927,,,Connectivity,Killer,"System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)",,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,0.1073,0.892744,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,System hang,,,,,,hard_wrong_or_unclear
8908,,,Sensing,Connectivity,The system wakes when a person walks 1.2m horizontally behind it,,,CFE_reviewed_issue,wifi_tools_piece_04_of_07_KJ (2).csv,0.1092,0.890753,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,,,,yes,,,hard_wrong_or_unclear
8885,,,Connectivity,Connectivity,TX timeout during ROM flow,,,CFE_reviewed_issue,bt_software_piece_07_of_07_Yuwei (2).csv,0.1115,0.888462,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,Need-triage,,,,,,hard_wrong_or_unclear
8860,,,Connectivity,Connectivity,WPA3 Security of AC9260/AC9560,,,CFE_input,weekly_labels_20260501_170001.csv,0.114,0.886013,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,,,,yes,,,resolved_by_relabel
8809,,,Connectivity,Need-Triage,Please help to check the log of ibtWikoCfaFeatureExt driver.,,,CFE_reviewed_issue,bt_software_piece_06_of_07_Matt.csv,0.1191,0.880922,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,,,,yes,,,hard_wrong_or_unclear
8772,,,Connectivity,Connectivity,Unable to play any videos or music (online/local) after playing YouTube videos overnight,,,CFE_reviewed_issue,bt_software_piece_04_of_07_Wesley.csv,0.1228,0.877192,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,Connectivity,Need-triage,yes,,,,resolved_by_relabel
8731,,,Connectivity,Connectivity,Device Information Service only includes PnPID and Manufacture name,,,CFE_reviewed_issue,bt_software_piece_07_of_07_Yuwei (2).csv,0.1269,0.873114,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,Need-triage,,,,,,hard_wrong_or_unclear
8683,,,Connectivity,Connectivity,"when an AP is connected, DUT wakes up intermittently without human detection",,,CFE_reviewed_issue,wifi_tools_piece_06_of_07_Zhiqiang (2).csv,0.1317,0.868267,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,Sensing,,,,,,hard_wrong_or_unclear
8662,,,Connectivity,Connectivity,BTS4,,,CFE_reviewed_issue,bt_software_piece_02_of_07_Juan.csv,0.1338,0.866248,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,Need-triage,,,,,,hard_wrong_or_unclear
8661,,,Connectivity,Connectivity,Random disconnect seen,,,CFE_reviewed_issue,wifi_tools_piece_06_of_07_Zhiqiang (2).csv,0.1339,0.866056,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,,,,yes,,,resolved_by_relabel
8659,,,ICPS,Connectivity,The pdb debug file exists in the package UWD\Win64\Drivers\ICPSComponent\Symbols directory,,,CFE_reviewed_issue,bt_software_piece_06_of_07_Matt.csv,0.1341,0.865943,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,,,,yes,,,hard_wrong_or_unclear
8640,,,YB/Lost,Connectivity,Win11(25H2)_Hybrid Stress_S4_Device_YB_Intel(R) Dual Bluetooth(R) PCI Enumerator.,,,CFE_reviewed_issue,bt_software_piece_04_of_07_Wesley.csv,0.136,0.864008,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,,,,yes,,,hard_wrong_or_unclear
8631,,,Connectivity,Connectivity,Late LE audio reconnection of second bud (Galaxy Buds2 Pro),,,CFE_reviewed_issue,bt_software_piece_05_of_07_Leo.csv,0.1369,0.863114,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,,,,yes,,,resolved_by_relabel
8626,,,Connectivity,Connectivity,"SUT cant search for 5.0GHz Wi-Fi after setting ""Wi-Fi Channel"" to 165 and then idling for about 2 minutes.",,,CFE_reviewed_issue,wifi_tools_piece_04_of_07_KJ (2).csv,0.1374,0.862623,review_human_category,focus_pair=Roaming_vs_Connectivity;track=expanded_boundary,,,,yes,,,resolved_by_relabel
