review_priority,pair_count,pair_error_rate_within_true,human_category_current,model_predicted,ips_title,technology,predicted_category_hint,source_folder,source_file,action,review_notes,new_human_category,keep_current_label,reviewer,decision_notes
5073,5,0.0735,Connectivity,YB/Lost,BT Device Disappear CS+Wifi AP connected,,,CFE_reviewed_issue,bt_software_piece_01_of_07_Bingyue (2).csv,review_human_category,,YB/Lost,,,
5073,5,0.0735,Connectivity,YB/Lost,"Play music with BT Headset/Speaker no sound, and device show yellow bang.",,,CFE_reviewed_issue,bt_software_piece_05_of_07_Leo.csv,review_human_category,,YB/Lost,,,
5073,5,0.0735,Connectivity,YB/Lost,"SystemEvent log show error ID_5 after connect the BT MS&KB&Hedset devices, FR: 1/1Unit, 3/3Cycles",,,CFE_reviewed_issue,bt_software_piece_02_of_07_Juan.csv,review_human_category,,YB/Lost,,,
5073,5,0.0735,Connectivity,YB/Lost,Wireless WiFi is lost on 23.160,,,CFE_reviewed_issue,wifi_tools_piece_06_of_07_Zhiqiang (2).csv,review_human_category,,YB/Lost,,,
5073,5,0.0735,Connectivity,YB/Lost,"[Lenovo_IdeaPad][LCFC][NVL-H][ Chaplin A1][26H1][EVT][BE211] BT HID device no function during normal use,FR: 1/2Units",,,CFE_input,weekly_labels_20260612_233426.csv,review_human_category,,,YES,,
3187,3,0.1875,ICPS,Connectivity,Alternate Data Stream Detected,,,CFE_reviewed_issue,bt_software_piece_05_of_07_Leo.csv,review_human_category,,Need-Triage,,,
3187,3,0.1875,ICPS,Connectivity,Fast Lane - Update IPCBridge BoostedAppInfoState on R3QO3 enabled activity detected,,,CFE_input,weekly_labels_20260508_230403.csv,review_human_category,,,YES,,
3187,3,0.1875,ICPS,Connectivity,The pdb debug file exists in the package UWD\Win64\Drivers\ICPSComponent\Symbols directory,,,CFE_reviewed_issue,bt_software_piece_06_of_07_Matt.csv,review_human_category,,,YES,,
3125,3,0.125,Performance,Connectivity,"After DUT S4 for a period of time and wakes up, the performance is abnormal when the WIFi65G frequency band 80MHZ/160MHz bandwidth",,,CFE_input,wifi_tools_piece_07_of_07_Brenton.csv,review_human_category,,Performance,,,
3125,3,0.125,Performance,Connectivity,TPT degration on end customer site.,,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,review_human_category,,Performance,,,
3125,3,0.125,Performance,Connectivity,[Microsoft][UID 1295717][PTL/FmP/OOB 26581][PAS] PAS Audio Glitches during WiFi-BT Coex on 2.4ghz 20MHz (2.4ghz 20MHz CND),,,CFE_input,weekly_labels_20260508_230403.csv,review_human_category,,Connectivity,,,
3044,3,0.0441,Connectivity,Miracast,Canot Miracast to project the screen to this device wirelessly,,,CFE_input,wifi_tools_piece_07_of_07_Brenton.csv,review_human_category,,Miracast,,,
3044,3,0.0441,Connectivity,Miracast,System does not sync screen via miracast from PC to PAD.,,,CFE_input,wifi_tools_piece_01_of_07_Timdaway.csv,review_human_category,,Miracast,,,
3044,3,0.0441,Connectivity,Miracast,[Samsung][RPL][AX211] This pairing drops because the system suddenly stops sending RTP packets to the sink device while pairing with this device for Miracast.,,,CFE_input,weekly_labels_20260529_170002.csv,review_human_category,,Connectivity,,,
3044,3,0.0441,Connectivity,Performance,Advertising Duty Cycle complaint test is not meeting the SPEC requirement,,,CFE_reviewed_issue,bt_software_piece_02_of_07_Juan.csv,review_human_category,,Need-Triage,,,
3044,3,0.0441,Connectivity,Performance,Bluetooth headset is 3 meters away and the sound is lag,,,CFE_reviewed_issue,bt_software_piece_05_of_07_Leo.csv,review_human_category,,Performance,,,
3044,3,0.0441,Connectivity,Performance,"[Huawei][Quanta][Euler][CML-U][AX201][WLAN][19H2]Connected with WPA3 AP, and after restart has fail rate that reconnected slowly.",,,CFE_input,weekly_labels_20260529_170002.csv,review_human_category,,,YES,,
2250,2,0.25,Roaming,Performance,[HUAWEI][HUAQIN][Morgan][NB3757][TGL][AX201][WIFI]The network quality signal is poor when Roam the other AP.,,,CFE_input,weekly_labels_20260612_233426.csv,review_human_category,,Roaming,,,
2250,2,0.25,Roaming,Performance,[HUAWEI][HUAQIN][Morgan][NB3757][TGL][AX201][WIFI]The network quality signal is poor when Roam the other AP.,,,CFE_input,weekly_labels_20260612_170002.csv,review_human_category,,Roaming,,,
2181,2,0.1818,Miracast,Performance,[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H2]TV image occur lag during PC projecting  XiaoMi TV and play local video,,,CFE_input,weekly_labels_20260612_233426.csv,review_human_category,,Miracast,,,
2181,2,0.1818,Miracast,Performance,[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H2]TV image occur lag during PC projecting  XiaoMi TV and play local video,,,CFE_input,weekly_labels_20260612_170002.csv,review_human_category,,Miracast,,,
2111,2,0.1111,BSOD,YB/Lost,BUGCODE_NDIS_DRIVER_LIVE_DUMP (15e) during PST testing,,,CFE_reviewed_issue,wifi_tools_piece_06_of_07_Zhiqiang (2).csv,review_human_category,,,YES,,
2111,2,0.1111,BSOD,YB/Lost,SIP126226 - 1040 G11/Win11 24H2/NA/PC US/Intel WLAN driver causes 0xa bug check,,,CFE_reviewed_issue,wifi_tools_piece_04_of_07_KJ (2).csv,review_human_category,,,YES,,
2060,2,0.0606,YB/Lost,Connectivity,BT enumerators and RFCOMM Protocol TDI disappears after hybridshutdown,,,CFE_reviewed_issue,bt_software_piece_07_of_07_Yuwei (2).csv,review_human_category,,,YES,,
2060,2,0.0606,YB/Lost,Connectivity,"Frequent assert 0x4446 when host is sharing the 5G hotspot, 3/3Units, 3/3cycles in noisy environment",,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,review_human_category,,,YES,,
1500,1,0.5,RF,BIOS,ChainB power is different from BIOS SAR setting,,,CFE_reviewed_issue,wifi_tools_piece_06_of_07_Zhiqiang (2).csv,review_human_category,,,YES,,
1500,1,0.5,RF,Performance,Conducted TX spectrum Mask fail IEEE specification,,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,review_human_category,,,YES,,
1333,1,0.3333,System Hang,OEM Tools,BT exception causeDUT stuck at bootup screen for a long time) - Repeated Boot up events DSBR command,,,CFE_reviewed_issue,bt_software_piece_06_of_07_Matt.csv,review_human_category,,,YES,,
1333,1,0.3333,System Hang,Performance,SIP126564 - 840 G10 / Win 11 22H2 / Nestle / NA / PC US / 211 WLAN stuck in code,,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,review_human_category,,,YES,,
1125,1,0.125,Roaming,BSOD,[Honor][Huaqin][LvzhouD][WCL][Intel AX211][BT][25H2]The coldboot stress test resulted in a 0x9f BSOD.,,,CFE_input,weekly_labels_20260612_170002.csv,review_human_category,,BSOD,,,
