review_priority,pair_count,pair_error_rate_within_true,human_category_current,model_predicted,ips_title,technology,predicted_category_hint,source_folder,source_file,action,review_notes
4210,4,0.2105,BSOD,YB/Lost,"0x28af/0x10028af and AP disconnect when ""MS<--->Resume"" stress test",,,CFE_reviewed_issue,wifi_tools_piece_04_of_07_KJ (2).csv,review_human_category,
4210,4,0.2105,BSOD,YB/Lost,WHEA error in event log after reboot (F/R:100%),,,CFE_reviewed_issue,wifi_tools_piece_04_of_07_KJ (2).csv,review_human_category,
2181,2,0.1818,Miracast,P2P,[Jaguar3][Gfp2] Machine cannot connect to Wireless Display (FR:10/10 trials),,,CFE_input,weekly_labels_20260529_170002.csv,review_human_category,
2181,2,0.1818,Miracast,P2P,[Jaguar3][Gfp2] Machine cannot connect to Wireless Display (FR:10/10 trials),,,CFE_input,weekly_labels_20260530_145717.csv,review_human_category,
2080,2,0.08,Performance,OEM Tools,T-put HL TX issue,,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,review_human_category,
2030,2,0.0303,Connectivity,Performance,DUT OPP received picture will show abnormal if transferring files with BT headset music playing,,,CFE_reviewed_issue,bt_software_piece_06_of_07_Matt.csv,review_human_category,
2030,2,0.0303,Connectivity,Performance,The sound has caton murmur when DUT play music with a bluetooth speaker,,,CFE_reviewed_issue,bt_software_piece_06_of_07_Matt.csv,review_human_category,
2030,2,0.0303,Connectivity,Roaming,"[Honor][LUX][NvwaC][ARL-HX][AX211][WiFi]When roaming between 2.4G and 5G, roaming occurs around a threshold of -70 dB.",,,CFE_input,weekly_labels_20260530_145717.csv,review_human_category,
2030,2,0.0303,Connectivity,Roaming,[Lenovo][wistron][GEN4_AX201][ADL]Intel AX201 WiFi Roaming Issue with Windows Cu,,,CFE_input,weekly_labels_20260530_145717.csv,review_human_category,
2030,2,0.0303,Connectivity,YB/Lost,Random disconnect seen,,,CFE_reviewed_issue,wifi_tools_piece_06_of_07_Zhiqiang (2).csv,review_human_category,
1111,1,0.1111,HLK,YB/Lost,"[HP][Quanta]-[Trekker][LNL/ARL/RPL/PTL][Win11 25H2] ""Declarative Driver Check"" show fail after running Declarative Driver Check test with MSFTAuditHub_PS_1.00_A3",,,CFE_input,weekly_labels_20260501_170001.csv,review_human_category,
1100,1,0.1,OEM Tools,Connectivity,IWFT enters non-functional state for long run with WiFi Disabled,,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,review_human_category,
1100,1,0.1,OEM Tools,RF,"Ant tool request to add ""Group 4 to 8"" reading value Get Tx Power Delta Limits",,,CFE_input,wifi_tools_piece_07_of_07_Brenton.csv,review_human_category,
1100,1,0.1,OEM Tools,YB/Lost,WRT prevents removal of BT device on device error,,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,review_human_category,
1090,1,0.0909,Miracast,BSOD,[Honor][LUX][NvwaB][RPL][AX211][BT]The BSOD 0x9f releated to BT when Resume from S4,,,CFE_input,weekly_labels_20260612_170002.csv,review_human_category,
1090,1,0.0909,P2P,Performance,NP50RW NB playing MV lag during Wi-Fi WIDI,,,CFE_reviewed_issue,wifi_tools_piece_06_of_07_Zhiqiang (2).csv,review_human_category,
1090,1,0.0909,WowLAN,Connectivity,[WCL][Roma] DUT still need to be connected under MS,,,CFE_input,weekly_labels_20260508_230403.csv,review_human_category,
1062,1,0.0625,ICPS,Killer,Intel Connect service says disconnected,,,CFE_reviewed_issue,bt_software_piece_05_of_07_Leo.csv,review_human_category,
1062,1,0.0625,ICPS,OEM Tools,Device Information Service - MDUT FW version doesnt match.,,,CFE_reviewed_issue,bt_software_piece_05_of_07_Leo.csv,review_human_category,
1062,1,0.0625,ICPS,Performance,Slow response and freezes,,,CFE_reviewed_issue,bt_software_piece_02_of_07_Juan.csv,review_human_category,
1040,1,0.04,Performance,RF,"WiFi Spectrum Mask, EVM and Power tolerance questions",,,CFE_input,wifi_tools_piece_07_of_07_Brenton.csv,review_human_category,
1040,1,0.04,Performance,Sensing,Wi-Fi low tpt on 6Ghz 11be 320MHz bandwidth,,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,review_human_category,
1029,1,0.0294,YB/Lost,OEM Tools,DRTU 2.4GHz testing 100% on 4/11 DUT not work with 23.165 assert 0x2010121E,,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,review_human_category,
1029,1,0.0294,YB/Lost,System Hang,wifi icon lost and the system hang when ESD test,,,CFE_reviewed_issue,wifi_tools_piece_06_of_07_Zhiqiang (2).csv,review_human_category,
1015,1,0.0152,Connectivity,P2P,P2P pairing - GO finding failure.,,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,review_human_category,
1015,1,0.0152,Connectivity,System Hang,"System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)",,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,review_human_category,
