review_priority,pair_count,pair_error_rate_within_true,human_category_current,model_predicted,ips_title,technology,predicted_category_hint,source_folder,source_file,model_confidence,loss_score,action,review_notes,new_human_category,keep_current_label,reviewer,decision_notes
5019,2,0.0183,P2P,BSOD,[Honor][LUX][NvwaB][RPL][AX211][BT]The BSOD 0x9f releated to BT when Resume from S4,,,CFE_input,weekly_labels_20260612_170002.csv,0.4928,0.501876,review_human_category,,,,,
5019,2,0.0183,P2P,BSOD,[Honor][LUX][NvwaB][RPL][AX211][BT]The BSOD 0x9f releated to BT when Resume from S4,,,CFE_input,weekly_labels_20260612_233426.csv,0.4928,0.501876,review_human_category,,,,,
4793,1,0.0909,RF,OEM Tools,BT sar table value not align the ant tool query result,,,CFE_reviewed_issue,bt_software_piece_07_of_07_Yuwei (2).csv,0.4394,0.479348,review_human_category,,,,,
4709,1,0.0625,Sensing,UEFI,Wi-Fi Sensing UEFI variable does not work,,,CFE_reviewed_issue,wifi_tools_piece_06_of_07_Zhiqiang (2).csv,0.4432,0.470877,review_human_category,,,,,
4538,1,0.0059,YB/Lost,System Hang,wifi icon lost and the system hang when ESD test,,,CFE_reviewed_issue,wifi_tools_piece_06_of_07_Zhiqiang (2).csv,0.4512,0.453833,review_human_category,,,,,
4075,2,0.0118,YB/Lost,OEM Tools,DRTU 2.4GHz testing 100% on 4/11 DUT not work with 23.165 assert 0x2010121E,,,CFE_reviewed_issue,wifi_tools_piece_03_of_07_FrankLee.csv,0.4027,0.407461,review_human_category,,,,,
3668,1,0.0083,Performance,RF,"WiFi Spectrum Mask, EVM and Power tolerance questions",,,CFE_input,wifi_tools_piece_07_of_07_Brenton.csv,0.3638,0.366792,review_human_category,,,,,
3587,1,0.0106,BSOD,YB/Lost,WHEA error in event log after reboot (F/R:100%),,,CFE_reviewed_issue,wifi_tools_piece_04_of_07_KJ (2).csv,0.3549,0.358664,review_human_category,,,,,
3463,1,0.0625,Sensing,WowLAN,Wake on approach functionality fails to wake the test unit from MS in HB,,,CFE_reviewed_issue,wifi_tools_piece_02_of_07_Frankyang (2).csv,0.3259,0.346278,review_human_category,,,,,
3448,1,0.0625,Power Consumption,Connectivity,"[NEC][LCFC][PTL[Yukimura-IP][25H2][SIT][BE211]Under S0 with a Bluetooth headset connected and running 1080P, the PHM log shows that C10 does not reach 50%.FR: 9/10Cycles",,,CFE_input,weekly_labels_20260508_230403.csv,0.3246,0.344835,review_human_category,,,,,
3162,2,1.0000,MSFT,YB/Lost,[ASUS-Gaming][GA503/GX551][AMD Cezanne][][AX200 22.0.0.6] Microsoft WiFi Direct driver YB issue on AMD Cezanne platform during aging test Frequent (20% - 90%),,,CFE_input,weekly_labels_20260529_170002.csv,0.1581,0.316242,review_human_category,,,,,
