issue_year,jira_id,jira_is_sw_change,ips_title,technology,platform,jira_platform,ips_platform,ips_created_date,ips_closed_date,ips_priority,deduced_issue_category,category_confidence,jira_exposure
2021,,,[HUAWEI][HUAQIN][Intel CML][Intel 9560][19H2][BT]BT broadcast is going on still send when disable BT module and then restart system,BT,Comet Lake,,Comet Lake,2021-01-03 17:36:00,,,Connectivity,0.1677,(missing)
2021,,,[Lenovo-IdeaPad][Compal][E41-55][AMD Picasso][9260][20H2][100%]Bluetooth show yellow bang in Device manager,BT,(missing),,,2021-01-03 21:47:00,2021-01-31 00:00:00,,YB/Lost,0.1635,(missing)
2021,,,[Lenovo-ThinkPad][LCFC][E14][AMD Cezanne][Intel ax200][20H2] ax160Mhz Tx conductive throughput fail,WiFi,(missing),,,2021-01-03 23:14:00,2021-02-28 00:00:00,,Performance,0.175,(missing)
2021,,,[Samsung][Mars-13][TyP2] DRTU Error Issue,WiFi,(missing),,,2021-01-04 21:41:00,2021-01-19 00:00:00,,P2P,0.1074,(missing)
2021,WIFI-96491,true,[Lenovo ThinkPad JP][LCFC][Drift3/Ironhide3][TGL][TyP2][20H2]BSOD 0x50 during HLK System - Sleep with IO Before and After (Reliability SysFund) test.(FR:1/10),WiFi,Tiger Lake,Tiger Lake,,2021-01-04 05:12:00,2021-03-07 00:00:00,,BSOD,0.1561,2-High
2021,WIFI-94356,false,[Huawei][Quanta][WrightD][TGL-U][AX201][20H2][WiFi][804689231]Wifi auto disconnected after ping internet for a while.,WiFi,Tiger Lake,Tiger Lake,,2021-01-05 23:10:00,2021-02-16 00:00:00,,Performance,0.114,2-High
2021,,,[Lenovo-ThinkPad][LCFC][Mercury2 Mars2 AMD]Intel WLAN disconnected when play online video without 'Connect automatically' checked.,WiFi,(missing),,,2021-01-05 22:32:00,2021-02-08 00:00:00,,P2P,0.1092,(missing)
2021,,,[Dell/Wistron/Cyborg_TGL-H] BSOD (DRIVER_POWER_STATE_FAILURE (0x9F_3_IMAGE_UsbHub3.sys)) when restart with 4K 60Hz HDMI monitor connected,BT,Tiger Lake,,Tiger Lake,2021-01-05 02:32:00,2021-02-03 00:00:00,,BSOD,0.2504,(missing)
2021,,,[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H2]TV image occur lag during PC projecting  XiaoMi TV and play local video,WiFi,Tiger Lake,,Tiger Lake,2021-01-05 19:22:00,2021-01-31 00:00:00,,P2P,0.2739,(missing)
2021,,,[Dell/compal] GDP53 RSE test a and ax 5700 conductive fail,WiFi,(missing),,,2021-01-05 20:06:00,2021-02-01 00:00:00,,BIOS,0.1066,(missing)
