issue_year,jira_id,jira_is_sw_change,ips_title,technology,platform,jira_platform,ips_platform,ips_priority,deduced_issue_category,category_confidence,jira_exposure
2021,,,[Lenovo-ThinkPad][LCFC][E14][AMD Cezanne][Intel ax200][20H2] ax160Mhz Tx conductive throughput fail,WiFi,(missing),,,,Performance,0.175,(missing)
2021,,,[Lenovo-IdeaPad][Compal][E41-55][AMD Picasso][9260][20H2][100%]Bluetooth show yellow bang in Device manager,BT,(missing),,,,YB/Lost,0.1635,(missing)
2021,WIFI-93864,true,"[Lenovo ThinkPad JP][LCFC][Tiger/Serval][TGL][TyP2][20H2]BSOD 0x7e occur during running CrystalDiskmark .(F/R: 1/2 units, 1/12 cycles).",WiFi,Tiger Lake,Tiger Lake,,,BSOD,0.2489,2-High
2021,BT-24676,false,[Lenovo_ThinkPad/LCFC][Knockout2/Ratchet2/Drift2/CML/HrP2][19H1] USB device(Non AOU port) drop out when use BT/WLAN device sometimes.,BT,Comet Lake,Comet Lake,,,YB/Lost,0.1473,2-High
2021,WIFI-96491,true,[Lenovo ThinkPad JP][LCFC][Drift3/Ironhide3][TGL][TyP2][20H2]BSOD 0x50 during HLK System - Sleep with IO Before and After (Reliability SysFund) test.(FR:1/10),WiFi,Tiger Lake,Tiger Lake,,,BSOD,0.1561,2-High
2021,WIFI-94201,true,[Lenovo-IdeaPad][LCFC][NEC-ITL][20H2]black screen hang with 0xD1 BSOD with S5 stress test.,WiFi,Tiger Lake,Tiger Lake,,,BSOD,0.1472,2-High
2021,WIFI-94200,false,"[Lenovo_IdeaPad][Compal][S560 Pro-14ITL][20H2] Unit show BSoD: 0xd1 when run CrystalDiskMark.(F/R:1/2,1/4)",WiFi,Tiger Lake,Tiger Lake,,,BSOD,0.2595,2-High
2021,,,[Lenovo-ThinkPad][LCFC][Mercury2 Mars2 AMD]Intel WLAN disconnected when play online video without 'Connect automatically' checked.,WiFi,(missing),,,,P2P,0.1092,(missing)
2021,WIFI-94206,false,[Lenovo ThinkPad JP][LCFC][Raptor2Blackbird2][TGL-H][TyP2 2230][20H2]BSOD BUGCODE_NDIS_DRIVER_LIVE_DUMP (15e) (FR:2/200 units),WiFi,Tiger Lake,Tiger Lake,,,BSOD,0.1816,2-High
2021,,,[Lenovo-ThinkPad JP][LCFC][X1-Lark][i5][AX200 1216 22.0.0.6][Win10][100%],Other,(missing),,,,Connectivity,0.121,(missing)
2021,BT-25285,true,[ThinkPad JP LCFC_Lark][WW02][CCP BT22.20.1.1] System foundthe BT KBD and Mouse disconnected then cant find any device.,BT,Lakefield,Lakefield,,,Connectivity,0.1749,1-Critical
2021,,,[Lenovo IdeaPad][Inhouse][S750-14Pro][TGL-U/AX201/20H2] BT headset sound level change after CB,BT,Tiger Lake,,Tiger Lake,,Connectivity,0.2015,(missing)
2021,WIFI-97124,false,[Lenovo ThinkPad JP][LCFC][Raptor2Blackbird2][TGL-H][TyP2 2230][20H2]AX210 WiFi YB (Code 43) happen when Restart long run stress test of Mike2 tool.(FR:24/37 clcyles),WiFi,Tiger Lake,Tiger Lake,,,YB/Lost,0.1363,1-Critical
2021,WIFI-95069,false,ThinkPad JP][LCFC][Drift3/Ironhide3/Tiger/Serval][AX210 Ax200 ][UEFI 1.2.2.20485] Display wrong encryption method and the password item not display under Wi-Fi Network Configuration in BIOS Always (100%),WiFi,Tiger Lake,Tiger Lake,,,UEFI,0.1884,2-High
2021,WIFI-95494,true,[Lenovo_DT][LCFC][Tiny8][ADL-S+ 600PCH][AX201][AX211][windows10_20H2][100%]CNVI Wireless Card Yellow Mark,WiFi,Alder Lake,Alder Lake,,,P2P,0.1161,1-Critical
2021,,,"[ThinkPad JP LCFC_Lark][WW03][CCP BT EB 19.0.21035.22900] System found the BT KBD and Mouse disconnected,and then can't find any BT device after Sleep(s3).[Customer Complaint]",Other,(missing),,,,Connectivity,0.1709,(missing)
2021,,,[Lenovo ThinkPad JP][LCFC][Tiger/Serval][TGL][TyP2][20H2]Video 24hr stress test  in 40C run out BSOD 0x139.(F/R: 1/47 cycles).,WiFi,Tiger Lake,,Tiger Lake,,BSOD,0.1984,(missing)
2021,WIFI-95400,false,"[Lenovo IdeaPad][Inhouse][S750-14Pro][TGL-U/AX201/20H2] Stress S4 BOSD , point to WIFI",WiFi,Tiger Lake,Tiger Lake,,,BSOD,0.1087,2-High
2021,,,[Lenovo-DT][AVC][M90a Gen2][RKL-S] Intel DRTU cannot run with AX210NGW,Other,(missing),,,,OEM Tools,0.1148,(missing)
2021,,,[Lenovo-DT][AX210QS][RKL][DRTU] Intel DRTU tool wifi TX error with AX210NGW,Other,(missing),,,,OEM Tools,0.1681,(missing)
2021,WIFI-96488,true,"[Lenovo Thinkpad China][LCFC][L14/L15 Gen2 AMD][AMD-Cezanne][CcP][20H2] Around 3 secs the Wifi will auto disconnect when connect to a mobile hotspot shared by AX200/AX201 WLAN machine.(FR:4/4 units, 12 / 12 cycles)",WiFi,AMD Cezanne,AMD Cezanne,,,P2P,0.1766,2-High
2021,,,[Lenovo_DT][LCFC][Tiny8][ADL-S+ 600PCH][AX201][windows10_20H2][100%] BT Device Lost,BT,Alder Lake,,Alder Lake,,YB/Lost,0.2293,(missing)
2021,,,[ThinkPad JP][Broadwell][Intel 7265 (D-Step) v19.51.30.1]Return Code 350 occurs frequently on customer side after WLAN driver installation via TVSU system,WiFi,(missing),,,,UEFI,0.0995,(missing)
2021,,,"[lenovo-Thinkbook][Bitland-SZ][Thinkbook 14P][AMD Ryzen 5/7/9 PRO][AX200][Win10 20H2 19042.685][17/35 units,253/3500 cycles]Wifi stress_reboot ping test fail",WiFi,(missing),,,,Connectivity,0.1059,(missing)
2021,,,"[Lenovo-ThinkPad][Wistron][X13 Yoga Gen 2][TGL][AX201][20H2][20%]For Lynx SIT machine, SUT shows Bluetooth error during restart/AOAC longrun by ATS tool in DC mode.",Other,Tiger Lake,,Tiger Lake,,Connectivity,0.116,(missing)
2021,,,[Lenovo-ideaPad][Compal][L360][TGL][AX201][20H2]Sound output from unit speaker after turn off BT headset 10s then power on.,BT,Tiger Lake,,Tiger Lake,,Connectivity,0.1948,(missing)
2021,,,[Lenovo-ideaPad][Compal][L360][TGL][AX201][20H2]Sound output from unit speaker about 2s then change to BT headset after turn off BT headset 10s then power on.,BT,Tiger Lake,,Tiger Lake,,Connectivity,0.1956,(missing)
2021,,,[lenovo AIO]Compal]][V30a-22_24IIL][AC9560][20H2][50%] Sometimes units cannot open Mobile Hotspot when set network band as 5G after connect to internet via 2.4G WiFi or Ethernet.,WiFi,(missing),,,,Connectivity,0.1296,(missing)
2021,,,[Lenovo-ideaPad][Compal][L360][TGL][AX201][20H2]Hands-Free mode will disappear after remove Bluetooth headset during play music.,BT,Tiger Lake,,Tiger Lake,,Connectivity,0.172,(missing)
2021,,,[Lenovo-Thinkpad][LCFC][L14/L15 Gen2 Intel][TGL][CCP][20H2]BSOD 0x50 during HLK System - Sleep with IO Before and After (Reliability SysFund) test.(FR:1/5),WiFi,Tiger Lake,,Tiger Lake,,BSOD,0.168,(missing)
2021,,,"[Lenovo ThinkPad JP][LCFC][Raptor2Blackbird2][TGL-H][TyP2 2230][20H2]Many different Netwtw10 Event ID ""source Netwtw10 cannot be found"" in EventViewer of System.",WiFi,Tiger Lake,,Tiger Lake,,Connectivity,0.108,(missing)
2021,,,"[Lenovo-IdeaPad][Compal][C640-13[AMDLucienne][AX200][20H2] Modern Standby Cycles stress,Device Manager 'Intel(R) Wireless Bluetooth(R)' show yellow mark .(F/R:1/30)",BT,(missing),,,,Connectivity,0.1676,(missing)
2021,,,[Lenovo-ThinkPad][LCFC][E14][AMD Cezanne][Intel ax200][20H2] 11b conductive throughput fail with ac66u AP,WiFi,(missing),,,,Performance,0.1791,(missing)
2021,,,"[Lenovo-Ideapad][Compal][V350][TGL-U][20H1]- Hands-Free will disappear, when remove and reconnect Bluetooth headset during play music. ( F/R: 1/1unit)",BT,Tiger Lake,,Tiger Lake,,Connectivity,0.1665,(missing)
2021,WIFI-99257,false,"[Lenovo-ideaPad][Compal][L360][TGL][AX200][AX201][20H2]DUT1 Open mobile hotspot  with different network band,DUT2 will not be able to connect the hotspot.",WiFi,AMD Cezanne,AMD Cezanne,,,Connectivity,0.1535,2-High
2021,WIFI-104646,false,[Lenovo-ideaPad][LCFC][Y550][intel CML-H][Intel ax201][20H1] 11N 20MHz conductive throughput 95db attenuation fail,WiFi,Comet Lake,Comet Lake,,,Performance,0.1803,2-High
2021,,,[Lenovo ThinkPad JP][LCFC][Drift3/Ironhide3][TGL][TyP2-1216][20H2]WLAN fail - Error due to lack of resources/WlanDisconnect/WirelessPlugin/TestPingGateway during HLK System - Sleep with IO Before and After (Reliability SysFund) test.(FR:1/3),WiFi,Tiger Lake,,Tiger Lake,,HLK,0.1369,(missing)
2021,,,[Lenovo ThinkPad JP][LCFC][Raptor2Blackbird2][TGL-H][TyP2 2230][20H2]After set Wireless Auto disconnection as enable in BIOS that Network & Internet settings will flicker once LAN cable plug-in.(FR:10/10 trials),WiFi,Tiger Lake,,Tiger Lake,,Connectivity,0.1169,(missing)
2021,,,"[Lenovo-Thinkpad][LCFC][L14/L15 Gen2 Intel][TGL][CCP][20H2]After flash country code to ""DE"" that External Monitor can?t be connected successfully via miracast. (FR:2/2units 2/2trials)",WiFi,Tiger Lake,,Tiger Lake,,Connectivity,0.1438,(missing)
2021,BT-27729,false,[Lenovo-IdeaPad/LCFC][Y550-ARH/AMD-Renior/CcP2][WU][20H1] BT WU requirement always fail show in MSFT server.,BT,AMD Renoir,AMD Renoir,,,Connectivity,0.1885,1-Critical
2021,,,[Lenovo ThinkPad JP][LCFC][Raptor2Blackbird2][TGL-H][TyP2 2230][20H2]AX210 WiFi YB (Code 10) happen when Restart long run stress test of Mike2 tool.(FR:24/37 clcyles),WiFi,Tiger Lake,,Tiger Lake,,YB/Lost,0.1262,(missing)
2021,,,"[Lenovo-IdeaPad][HUAQIN][ThinkBook Plus G2][TGL][WiFi] MS Exit latency to long more than 3s , spec request 0.75s (fail rate:100%)",WiFi,Tiger Lake,,Tiger Lake,,Performance,0.111,(missing)
2021,,,"[Lenovo-IdeaPad][LCFC][Yoga C760-14ACZ][20H2]Shared folder copy unstably with interruption after resume from MS. (F/R: 2/2units, 2/20cycles)",WiFi,(missing),,,,Sensing,0.1102,(missing)
2021,,,"[ThinkPad JP][Wistron][ThinkPad X1 Extreme Gen 4][TGL-H][AX210][20H2][100%]For Cheetah-1 FVT machines, SUT will auto disconnect after 2mins when connect two PC by bluetooth",Other,Tiger Lake,,Tiger Lake,,P2P,0.1429,(missing)
2021,,,[Zeus-1] Bluetooth mouse hang issue,Other,(missing),,,,Performance,0.1698,(missing)
2021,WIFI-102949,false,"[Lenovo-ideaPad][Compal][L360][TGL][AX201][20H2]Unit resume from MS,system not connect to Access point 2 already,and will connect after about 1s.",WiFi,Tiger Lake,Tiger Lake,,,P2P,0.1146,2-High
2021,,,"[Lenovo Thinkpad China][LCFC][L14/L15 Gen2 AMD SIT][AMD-Cezanne][CcP][20H2]HLK test - Wlan Test - Wlan Device Reset Check test fail.(FR:2/2 units, 3 / 3 cycles)",WiFi,(missing),,,,HLK,0.3213,(missing)
2021,,,[Lenovo-ThinkPad][Wistron][X12 Detachable Gen1][TGL-U][AX201][20H2][70%]BT Mouse response lag issue after idle some time.,BT,Tiger Lake,,Tiger Lake,,Performance,0.1616,(missing)
2021,,,[Lenovo ThinkPad JP][LCFC][Tiger/Serval][TGL][CCP][20H2]Can't search other BT device or just one. (FR: 1 /10 units),Other,Tiger Lake,,Tiger Lake,,Connectivity,0.157,(missing)
2021,,,[Lenovo-IdeaPad][Huaqin][Lenovo S560-16ITL][Tiger Lake]BT mouse has a delay about one second after idle BT mouse about 3s(F/R:6/6),BT,Tiger Lake,,Tiger Lake,,Performance,0.2046,(missing)
2021,WIFI-102802,false,[Lenovo ThinkPad JP][LCFC][X390T490 P73][CML WHL][9560 AX201AX200]It will occur BSOD during change the Wireless Mode on TP-Link XDR3020 with 22.30.0.11,WiFi,Whiskey Lake,Whiskey Lake,,,BSOD,0.1372,2-High
2021,WIFI-101634,true,[Lenovo ThinkPad JP][LCFC][X390T490 P73][CML WHL][9560 AX201AX200][BSOD 0x50][hqosHandleActiveBeaconChanged]It will occur BSOD during change the Wireless Mode on TP-Link XDR3020 with 22.30.0.11,WiFi,Whiskey Lake,Whiskey Lake,,,BSOD,0.2058,2-High
2021,WIFI-101605,true,[Lenovo ThinkPad JP][LCFC][X1 Carbon 6th][KBL][8265]<Customer Complaint>WLAN speed unstable under Huawei AirEngine6760-X1 Wi-Fi 6 AP,WiFi,Kaby Lake Refresh,Kaby Lake Refresh,,,Sensing,0.1239,2-High
2021,BT-30088,false,[Lenovo ThinkPad JP][LCFC][Drift3/Ironhide3][SVT][TGL][TYP2][20H2] BSOD 0x5c after restart by manual(FR:2/600 units),BT,Tiger Lake,Tiger Lake,,,BSOD,0.1656,2-High
2021,WIFI-102936,true,[Lenovo_IdeaPad][Compal][S560 Pro-14ITL][20H2] Unit show BSoD: 0xd1 when run CB stress (1/10),WiFi,Tiger Lake,Tiger Lake,,,BSOD,0.2168,2-High
2021,,,"[Lenovo-ideaPad][Compal][L360][TGL][AX201][20H2]Stress_S4_35'C, Unit can't resume from S4 and power LED show flicker and then idle in DC show black screen and have minidump and memory dump(0x9f).",WiFi,Tiger Lake,,Tiger Lake,,Connectivity,0.1147,(missing)
2021,,,"[Huaqin][Lenovo][Tiger lake UP4][ThinkBook Plus Gen2][SIT] Hands-free mode lost after reconnecting BT headset/speaker. (F/R: 2/2 uuts, 8/10 cycles)",BT,Tiger Lake,,Tiger Lake,,Connectivity,0.2061,(missing)
2021,,,"[Lenovo Thinkpad China][LCFC][L14/L15 Gen2 AMD][AMD-Cezanne][CcP][20H2]BT lost and YB during Restart stress test with Mike2 Tool.(error code 38)(FR:4/15 units, 2 / 300 cycles)",BT,(missing),,,,YB/Lost,0.2302,(missing)
2021,WIFI-104519,false,[Lenovo-ideaPad][Compal][L360][TGL][AX200][AX201][20H2][L360-15ACH_P0P1 FVT] The other unit(Unit B) can't find mobile hotspot when unit A connect 2.4GHz AP and 'Network band' choose 5GHz in mobile hotspot.,WiFi,Tiger Lake,Tiger Lake,,,Connectivity,0.1512,2-High
