issue_year,jira_id,ips_title,technology,platform,jira_platform,ips_platform,ips_priority,deduced_issue_category,category_confidence,jira_exposure
2022,BT-55071,[Accessories_Certification][Lenovo Go][Role Switch] Lenovo Go doesnt meet dynamic Role Switch feature,BT,Alder Lake,Alder Lake,,,Connectivity,0.1535,2-High
2022,CIE-1535,"[ICPS] Wifi auto-connection not work after restart until check ""connect-automatically"" in Windows Wifi menu",Other,Alder Lake,Alder Lake,,,ICPS,0.2195,2-High
2022,WIFI-186904,[Lenovo LCFC][Phoenix][ADL][GfP2][Win11][BSOD 0x9F]The EUT occurred BSOD (DRIVER_POWER_STATE_FAILURE (9f)) during plug dock/unplug dock test when connect to MS dock by DP port.,WiFi,Alder Lake,Alder Lake,,,BSOD,0.3641,2-High
2022,BT-56390,[Lenovo-Thinkpad JP][jaguar_2/panther_2/ADLP RVP/GfP2][Win11][Tile Ring] SLP_S0 not asserted caused by BT driver while doing Modern Standby with BT Off.,BT,Alder Lake,Alder Lake,,,Connectivity,0.1842,1-Critical
2022,CIE-1584,[Lenovo][ICPS]The header of Network Health takes 5-20s to align,Other,Alder Lake,Alder Lake,,,ICPS,0.191,4-Low
2022,WIFI-188545,[Lenovo Thinkpad JP][Alderlake][Jaguar2/Panther2][GarfieldPeak2][Win10/Win11] 11ac-5Ghz Wifi performance is lower in DC mode compared to AC mode when using Netgear R9000 AP model,WiFi,Alder Lake,Alder Lake,,,Performance,0.1663,2-High
2022,BT-59398,"[Lenovo-Thinkpad JP][jaguar_2/panther_2/ADLP RVP/GfP2][Win11][Tile] DUT stop ADV after using ""shutdown /s /f /t 0"" command",BT,Alder Lake,Alder Lake,,,Connectivity,0.1689,2-High
2022,CIE-1864,[Lenovo-ThinkPad] [Inhouse][Jaguar/Panther-2][ADL][AX211][21H2][100%][Secuity]Alternate Data Stream Detected,Other,Alder Lake,Alder Lake,,,Connectivity,0.1296,3-Medium
2022,WIFI-196588,[Lenovo-ThinkPad][LCFC][Triones-Intel][SVT][Win11]Sink PC show lag or garbage when test PC projecting to PC and play local video,WiFi,Alder Lake,Alder Lake,,,P2P,0.3276,2-High
2022,WIFI-196593,[Lenovo AIO][ThinkCentre neo Gen 3][ADL-P][Win10 19044.1415][9560]WLAN Assert 0x90 while T-put test with Jperf-2.0.2,WiFi,Alder Lake,Alder Lake,,,Performance,0.1457,2-High
