issue_year,jira_id,jira_is_sw_change,ips_title,technology,platform,jira_platform,ips_platform,ips_created_date,ips_closed_date,ips_priority,deduced_issue_category,category_confidence,jira_exposure
2023,,,"[Lenovo ThinkPad JP][LCFC][ Griffin,Roc intel][AX211] The Bluetooth speaker has no sound after Plug(Unplug)  AC adapter",BT,(missing),,,2023-01-02 22:12:00,2023-03-27 00:00:00,,Connectivity,0.2133,(missing)
2023,,,"[Lenovo-IdeaPad][RPL][SV2][Yogabook9][win11][SIT][GFP]BT searched one or two devices in ""add a device "" page after unit connect other BT",BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-01-07 18:27:00,2023-03-07 00:00:00,,Connectivity,0.1582,(missing)
2023,,,[Lenovo-Thinkpad][lynx][YMT][AX201][TP X13 Yoga Gen2]:Wi-Fi connectivity issue,WiFi,(missing),,,2023-01-15 23:57:00,2023-03-13 00:00:00,,Performance,0.1567,(missing)
2023,,,[Lenovo ThinkPad JP][LCFC][Mercury3Mars3Intel][AX201]Wifi connection frequently disconnected / unstable on ThinkPad E14 Gen4(Intel model) with Intel AX201 card,WiFi,(missing),,,2023-01-27 22:38:00,2023-03-13 00:00:00,,Performance,0.1258,(missing)
2023,,,[Lenovo-IdeaPad][RPL][SV2][Yogabook9][win11][SIT][GFP]Cannot transfer file when exchange file(BT transfer) with unpaired PC.(F/R:1/3units;2/6cycles),BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-01-29 18:55:00,2023-03-07 00:00:00,,Connectivity,0.1612,(missing)
2023,,,[Lenovo ThinkPad JP][LCFC][Tiger Serval intel][AX201] Issue happened when customer was moving machines (Maybe related with roaming),WiFi,(missing),,,2023-01-30 01:35:00,2023-03-13 00:00:00,,Performance,0.1345,(missing)
2023,,,[Thinkpad][Fenrir2][RPL][AX201]Screen glitch / lag when project smartphone to PC,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-01-31 19:28:00,2023-02-09 00:00:00,,P2P,0.2664,(missing)
2023,,,"[Lenovo-Ideapad][Compal][S580-14&16 IRL H45 SIT] AX211:Unit show ""No WI-FI network found"" in action center.(F/R:1/2)",WiFi,(missing),,,2023-02-01 00:57:00,2023-05-08 00:00:00,,Connectivity,0.1152,(missing)
2023,,,"[Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][FVT]  Connect keyboard , show connected and quickly change to paired",BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-02-01 00:23:00,2023-03-21 00:00:00,,Connectivity,0.1954,(missing)
2023,,false,[Lenovo-IdeaPad][MTL][SV2][S580-16pro][win11][GFP] AX211 YB after resume from S4 (Connected with AP then go to S4),WiFi,Meteor Lake,,Meteor Lake,2023-02-05 22:10:00,2023-03-21 00:00:00,Medium,YB/Lost,0.1377,3-Medium
2023,,false,[Jaguar-3][GarfieldPeak2][Raptorlake] Yellow Bang encountered on WLAN device,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-02-05 20:34:00,2023-03-09 00:00:00,Critical,YB/Lost,0.1948,1-Critical
2023,,,[Lenovo-IdeaPad][RPL][SV2][Yogabook9][win11][SIT][GFP]sometimes show bluetooth YB,BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-02-07 16:59:00,2023-03-21 00:00:00,,Connectivity,0.1794,(missing)
2023,,,[Lenovo-ideaPad][LCFC][S580][intel MTL][Intel ax211] conductive throughput fail,WiFi,Meteor Lake,,Meteor Lake,2023-02-12 23:32:00,2023-03-21 00:00:00,,Performance,0.127,(missing)
2023,,,[Thinkpad L13-G3][DOA][AX201]wifi disconnected randomly in customer environment,WiFi,(missing),,,2023-02-13 01:12:00,2023-03-21 00:00:00,,Performance,0.1279,(missing)
2023,,false,[Lenovo_Valkyrie][SVT][BT]Headset Mic(Jabra Evolve 75) Mute mutes speakers as w,BT,Alder Lake,,Alder Lake,2023-02-14 03:15:00,2023-05-08 00:00:00,High,Connectivity,0.2303,2-High
2023,,false,[Lenovo ThinkPad JP][LCFC][Sideswipe intel][AX200] Wifi Intel driver issue causing the Wifi to disappear,WiFi,Whiskey Lake,,Whiskey Lake,2023-02-19 23:58:00,2023-05-28 00:00:00,Critical,Sensing,0.1175,1-Critical
2023,WIFI-287880,false,[Lenovo][TB 13s G4 IAP][ADL-P][AX201]WiFi YB when plug in a  mouse dangle,WiFi,Alder Lake,Alder Lake,,2023-02-20 18:44:00,2023-04-11 00:00:00,,YB/Lost,0.1447,2-High
2023,WOT-27909,false,[Lenovo ThinkPad JP][ThamesMersey1][MTL]CITU tool not working on MTL platform (PHWFW07299_22.200.0.6Tools),Other,Meteor Lake,Meteor Lake,,2023-02-21 20:22:00,2023-05-22 00:00:00,,Connectivity,0.1148,3-Medium
2023,,false,[Lenovo-ThinkPad][Zeus-3][RPL]  System shows internet connection error during OOB,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-02-21 23:41:00,2023-05-28 00:00:00,High,System Hang,0.1052,2-High
2023,WIFI-290075,false,[LCFC_IdeaPad][S380IRU][RPL][AX203][SV2][SIT]The EUT occur BSOD 0xC2 during Fast Startup stress test FR<5%,WiFi,Raptor Lake Client Platforms,Raptor Lake Client Platforms,,2023-02-28 03:03:00,2023-04-04 00:00:00,,BSOD,0.2219,2-High
2023,,false,[Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][FVT]  swift pair BT mouse connect fail,BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-03-02 00:04:00,2023-04-25 00:00:00,Medium,Connectivity,0.1934,3-Medium
2023,WIFI-292530,true,[Thames/Mersey-1][Meteorlake][Windows11][GarfieldPeak2] YB during S4 tests,WiFi,Meteor Lake,Meteor Lake,,2023-03-09 18:39:00,2023-05-22 00:00:00,,YB/Lost,0.2801,2-High
2023,,false,[Thames/Mersey-1][Meteorlake][Windows11][GalePeak2] BSOD0x9f on GaP2 card,WiFi,Meteor Lake,,Meteor Lake,2023-03-10 02:42:31,2023-07-04 09:08:05,High,P2P,0.1112,2-High
2023,,false,[LCFC_IdeaPad][KS682 MTL][EVT]Windows 11:system cant enter MS which HW trips is 0% blocked by CNVi,WiFi,Meteor Lake,,Meteor Lake,2023-03-13 03:11:00,2023-04-18 00:00:00,High,Power Consumption,0.1196,2-High
2023,,false,[Lenovo_ThinkPad_JP][ThamesMersey1][MTL] Bluetooth device YB during S4 Run-in Test,BT,Meteor Lake,,Meteor Lake,2023-03-13 23:30:00,2023-05-16 00:00:00,Medium,YB/Lost,0.2656,3-Medium
2023,,false,[Lenovo ThinkPad JP][LCFC][Tiger serval][AX210]] WIFI AX210 auto disconnect and then cannot detect access point from HK,WiFi,Tiger Lake,,Tiger Lake,2023-03-15 01:06:00,2023-06-12 00:00:00,Critical,BIOS,0.1111,1-Critical
2023,,false,[Lenovo ThinkPad JP][LCFC][Mercury3Mars3Intel][AX201]E15 Gen 4:Intel AX201 connectivity issue at Neyagawa Sanatorium,WiFi,Alder Lake,,Alder Lake,2023-03-16 02:16:00,2023-05-28 00:00:00,Critical,Performance,0.1403,1-Critical
2023,,false,"[Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][SIT]  BT always PLDR , cant work",BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-03-16 00:28:00,2023-04-11 00:00:00,Critical,Connectivity,0.1804,1-Critical
2023,,false,[Lenovo-IdeaPad][ThinkBook Twist KB240][IRP][SIT][LCFC-HF]Intel AX211 cant connect to this network,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-03-17 02:53:00,2023-05-02 00:00:00,High,Connectivity,0.1212,2-High
2023,,false,"[Lenovo-IdeaPad][RPL][SV2][Yogabook9][win11][SIT][GFP]DM show YB(Intel Wireless Bluetooth) after sleep overnight by close lid.(FR:1/6units,1/12times).",BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-03-20 19:47:00,2023-04-25 00:00:00,High,Connectivity,0.1849,2-High
2023,,false,"[Lenovo IdeaPad][Inhouse][Y980][RPL][Win11][SIT]  cant connect with MTK PC , reboot recover",BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-04-02 19:03:00,2023-05-23 00:00:00,Critical,Connectivity,0.1593,1-Critical
2023,,false,[Lenovo LCFC][Missouri\Rhone]It happens power management error for network then BSOD 0x133,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-04-10 04:02:00,2023-05-28 00:00:00,Critical,BSOD,0.179,1-Critical
2023,,false,[RPL/TGL/MTL] No MAC address shown when using BIOS with 3.2.20 UEFI FW,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-04-10 23:09:00,2023-05-08 00:00:00,High,UEFI,0.1783,2-High
2023,,false,[Lenovo ThinkPad CN][LCFC][E14E15Gen2Intel][Intel AX201]Intel WLAN AX201 Intermittent slow WLAN connection speeds,WiFi,Tiger Lake,,Tiger Lake,2023-04-11 08:52:54,2023-04-24 03:00:54,High,Performance,0.1159,2-High
2023,,false,[wistron][lenovo][TB_1416_G6_IRL_FVT_Win11]:SUT encounter BSOD(Stop code: HYPERV,BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-04-12 19:51:00,2023-07-02 00:00:00,High,BSOD,0.2695,2-High
2023,,false,[Thames/Mersey-1][Meteorlake][Windows11][GarfieldPeak2] YB after cold boot,WiFi,Meteor Lake,,Meteor Lake,2023-04-13 21:04:00,2023-06-27 00:00:00,High,YB/Lost,0.2141,2-High
2023,WIFI-302222,true,[Lenovo_IdeaPad_CSLP][QuZhou 6D][LCFC][FVT[S590-MTL][Windows11]Intel CNVi WLAN AX211/AX203 show Yellow Bang during Warm Boot/S4 stress test,WiFi,Meteor Lake,Meteor Lake,,2023-04-17 02:57:00,2023-07-08 00:00:00,,YB/Lost,0.1553,1-Critical
2023,,false,[Lenovo_IdeaPad_CSLP][QuZhou 6D][LCFC][FVT[S590-MTL][Windows11]Intel Bluetooth of AX211/AX203 show Yellow Bang during Warm Boot/S4 stress test,BT,Meteor Lake,,Meteor Lake,2023-04-17 08:26:00,2023-05-23 00:00:00,High,YB/Lost,0.1499,2-High
2023,,false,[Thinkpad][Cheetah3][HLK]Bluetooth - LEExtendedAdvertising fail,BT,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-04-20 00:18:00,2023-04-25 00:00:00,High,HLK,0.5123,2-High
2023,,false,TEST,WiFi,Raptor Lake Client Platforms,,Raptor Lake Client Platforms,2023-04-20 13:38:04,2023-04-20 13:47:41,Low,Sensing,0.1215,4-Low
2023,,false,Y760S AMD Unit cause electrical noise when listen to music by BT headset,BT,AMD Ryzen,,AMD Ryzen,2023-04-21 04:05:00,2023-07-17 00:00:00,High,Connectivity,0.1963,2-High
2023,,false,"[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel BE200] Wifi7 driver have no readyFR:1/5units,1/5cycles)",WiFi,Meteor Lake,,Meteor Lake,2023-04-23 02:09:00,2023-06-10 00:00:00,High,Connectivity,0.1253,2-High
2023,,false,"[Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211] show yellow bang in Device Manager after connect internet.(FR:1/2 units,1/8 times)",WiFi,Meteor Lake,,Meteor Lake,2023-04-23 01:13:00,2023-07-17 00:00:00,High,Connectivity,0.1497,2-High
2023,,false,"(Copy Of 00798924) [Lenovo Thinkbook][Lenovo][TB 13X G4][Intel AX211][Bluetooth] BT show yellow bang in Device Manager when play online video (FR:1/2 units,1/6 times)",WiFi,Meteor Lake,,Meteor Lake,2023-04-24 23:12:00,2023-07-17 00:00:00,High,Connectivity,0.1476,2-High
2023,WIFI-306180,false,"[Lenovo ThinkPad CN][LCFC][Mercury3Mars3Intel][ADL][AX211,AX201,9560][E14 Gen 4] 0x9F_3_SETPOWER_IMAGE_Netwtw12.sys",WiFi,Alder Lake,Alder Lake,,2023-04-25 23:59:00,2023-06-10 00:00:00,,P2P,0.1349,2-High
2023,,false,[Lenovo ThinkPad JP][LCFC][Tiger serval][AX201]]The EUT occur BSOD(bugcheck:0x000001ca) during AC R longrun test with LongRunATS_AOAC_v5 Tool .(FR:1/6 units; 1/752 total trials),WiFi,Tiger Lake,,Tiger Lake,2023-04-26 19:12:00,2023-05-28 00:00:00,Critical,BSOD,0.1525,1-Critical
