Issue key,project,year,category,Summary,Custom field (Root Cause)
WIFI-891080,WIFI,2026,Connectivity,[ASUS][Luxshare][A7406CMA][AX211]WiFi function lost when run S4 test(FR:8/8 units),"There was a function called tryWaitForSingleWlanext which waited for a single instance of wlanext.exe, and it just froze RouterDLL initialization until there is a single instance which eventually crashed wlanext.exe."
WIFI-887252,WIFI,2026,BSOD,[MSFT][PST][Pullenvale][PTL][FmP][25H2] WiFi/BT is going missing after resume from adaptive hibernate -- 0x20000088,"Suspect that in some cases we can do speculating pre-fetch of instruction from an invalid address as this instruction will not execute, from CPU perspective no harm was done but from MBUS protection this address
is not allowed so it will do an NMI.
To overcome this issue we're allow access to the whole smem space.
Please note the bug item (WIFI-875663) and security evaluation (WIFI-880440)"
WIFI-885536,WIFI,2026,Connectivity,[Lenovo_AIO][Compal][IdeaCentre AIO 27IWC11][WCL][BE213] 6GHz hidden SSID rename and fails to connect until WiFi radio off/on,"after connecting to a stealth MLD AP and disconnecting
the stale MLD entry retained the old SSID"
WIFI-877482,WIFI,2026,Connectivity,[Samsung][PTL][BE211][P260422-06258] PC P2P Client didn't start to connect after PD request/response.,detainer was not closed when disaremd from SX wasn't called from OS
WIFI-870206,WIFI,2026,YB/Lost,"[ASUS][9406CAA][PTL/BE211/25H2] Bluetooth shows Yellow Bang after S4 resume during aging test on Panther Lake/BE211, recovery fails","ROM asserts are not recoverable and should be treated as fatal.
Product reset will be triggered immediately
"
WIFI-863547,WIFI,2026,BSOD,[HSD22022275671][PTL][BE201] BSOD 0x139 after disabling Wi-Fi and rebooting with driver 24.40.0.3 post-Procyon install (Wi-Fi),"[BUGFIX] Fix surface sar table size and bound flat array copy

Description: Update surface sar initialization and table conversion paths in
platform sar modules and add a sar bios test for radio off boot
per antenna config set flow on uhb platforms

These changes set table size from bios metadata and bound flat
array writes to prevent stack buffer overwrite when fw is not
operational and per antenna config set runs after radio off boot

The issue: Surface sar per antenna config set on uhb could
write beyond destination buffer and corrupt stack state when
source table size remained zero after radio off boot

The buggy flow: During radio off initialization fw command
failure left source table size unset then per antenna config set
converted data with four chain writes into a two chain surface
buffer

The fix: Persist surface table size from bios during init and
pass dest array size to bounded conversion so cdb chain writes
run only when buffer capacity allows

This commit message was generated using AI.

DeliveryType: BugFix - JIRA bug fix

BugOrigin: Code Change – Req Imp (SAS or FCM)

BugFoundBy: Microsoft

FcmPrevented: No

Issues: WIFI-863547

ExCr: Full PerCI

UnitTest: Added

CommitFormatterSha: 805340ecc792f0fc7f1622ac32e8ba5c

Change-Id: Ibc06731916244f955761af5ba804211aba2900c8
"
WIFI-863457,WIFI,2026,BSOD,"[Asus][Huaqin][B3B5P5-CAA][Intel PTL][Intel BE211][WiFi][25H2] Rare BSOD 0x9F during reboot test due to Wi-Fi driver hang on Panther Lake (Netwaw18.sys, 24.20.0.4)","Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time."
WIFI-860241,WIFI,2026,BSOD,[Dell_Compal][SLT14][PTL][WHP2]Stress_CB_BSOD: DRIVER_POWER_STATE_FAILURE(0x9F) with dump.,"Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time."
WIFI-856261,WIFI,2026,BSOD,"[ASUS][B3B5P5][PTL] Under UEFI, WiFi disconnection during downloading recovery image","1 driver issue fixed and 1 BIOS TCP level configuration change:

1. driver fix:
IWL_TX_DMA_MASK was set to 0xFFFFFFFFF (36-bit), a leftover from gen1
code. GEN2 and future devices support full 64-bit DMA addressing and
TFD addresses.

The PciIo->Map() function can legitimately return addresses above
36-bit, but TransTxqBuildTfd() rejected these valid addresses,
silently dropping TFD entries while advancing the TXQ write pointer.
This leads to firmware assertions and TXQ watchdog timeouts.
The fix removes the obsolete 36‑bit DMA mask and the associated validation check, allowing proper handling of 64‑bit DMA addresses.

2. See WIFI-645065 regarding HTTP buffer size
"
WIFI-851835,WIFI,2026,BSOD,[Lenovo][PTL][WhP][25H2][Peach] BSOD 0x9F (Netwaw18_IMAGE_pci.sys) during warm boot stress test with Wi-Fi driver 24.20.2.1,"Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time.
"
WIFI-849226,WIFI,2026,Connectivity,[HP][IEC][Merino][Win11 25H2][PTL][WhP2/GfP2][SIO2455614] Device sometimes cannot connect to WPA3-Enterprise EAP-TLS Unifi AP,"AP behavior:
After STA G3, the AP retains the old session state and has an SA Query in progress. As a result, it correctly rejects the STA Association Request with status 30 (comeback). The STA waits for the comeback interval and then retries the association. At this point, since the interval has elapsed, the AP should accept the request. Instead, the AP sends a Deauthentication frame with reason code 6 (CLASS2_FRAME_FROM_NONAUTH_STA), which is non-compliant behavior.

Why the reconnect fails:
The driver correctly treats reason code 6 as recoverable and initiates a fresh connection attempt. However, a race condition in the driver can cause this retry to fail, leading to “No suitable network found” / “No enabled networks,” and don't try to do actual connection.
In addition, when we retrigger a connection, we are not preserving the connect token, so even if we'll be able to connect the driver will eventually fail. Fix both issues."
WIFI-846914,WIFI,2026,Connectivity,[Surface][JDM1][1252912][PTL][FmP2][NDT] Assertion in NDT Tool,dup rc
WIFI-845280,WIFI,2026,Performance,[HP][26C2 Salute LNL][AX211] 6GHz RX throughput reaches only about 1545 Mbps and fails to meet HP’s 1700 Mbps specification,not properly configure smPowerSave field in HE Extended Capabilities IE
WIFI-843819,WIFI,2026,BSOD,"[Lenovo ThinkPad China][LCFC][WCL][AX211]EUT occur BSOD 0x7E(Netwtw16!IntelWiFiPcwCloseMacIdx0LinkQuality) during longrun AC-FB stress test(FR: 1/ 18units, 1/3497 cycles)",missing nullity check to the content of the pointer
