Issue key,Technology,Model Category,Category Confidence,Root Cause,Root Cause Theme
WIFI-891080,WIFI,Connectivity,0.120366574694514,"There was a function called tryWaitForSingleWlanext which waited for a single instance of wlanext.exe, and it just froze RouterDLL initialization until there is a single instance which eventually crashed wlanext.exe.",Driver-OS Interface / API / OID
WIFI-887252,WIFI,Connectivity,0.1718149512155701,"Suspect that in some cases we can do speculating pre-fetch of instruction from an invalid address as this instruction will not execute, from CPU perspective no harm was done but from MBUS protection this address
is not allowed so it will do an NMI.
To overcome this issue we're allow access to the whole smem space.
Please note the bug item (WIFI-875663) and security evaluation (WIFI-880440)",Security / Signature / Validation
WIFI-885536,WIFI,Connectivity,0.99,"after connecting to a stealth MLD AP and disconnecting
the stale MLD entry retained the old SSID",RF / Coexistence / Channel Behavior
WIFI-877482,WIFI,Connectivity,0.43793064175896357,detainer was not closed when disaremd from SX wasn't called from OS,Insufficient Root-Cause Detail
WIFI-870206,WIFI,YB/Lost,0.99,"ROM asserts are not recoverable and should be treated as fatal.
Product reset will be triggered immediately
",Power State / Reset / PLDR
WIFI-863547,WIFI,BSOD,0.11988035423360857,"[BUGFIX] Fix surface sar table size and bound flat array copy

Description: Update surface sar initialization and table conversion paths in
platform sar modules and add a sar bios test for radio off boot
per antenna config set flow on uhb platforms

These changes set table size from bios metadata and bound flat
array writes to prevent stack buffer overwrite when fw is not
operational and per antenna config set runs after radio off boot

The issue: Surface sar per antenna config set on uhb could
write beyond destination buffer and corrupt stack state when
source table size remained zero after radio off boot

The buggy flow: During radio off initialization fw command
failure left source table size unset then per antenna config set
converted data with four chain writes into a two chain surface
buffer

The fix: Persist surface table size from bios during init and
pass dest array size to bounded conversion so cdb chain writes
run only when buffer capacity allows

This commit message was generated using AI.

DeliveryType: BugFix - JIRA bug fix

BugOrigin: Code Change – Req Imp (SAS or FCM)

BugFoundBy: Microsoft

FcmPrevented: No

Issues: WIFI-863547

ExCr: Full PerCI

UnitTest: Added

CommitFormatterSha: 805340ecc792f0fc7f1622ac32e8ba5c

Change-Id: Ibc06731916244f955761af5ba804211aba2900c8
",State Machine / Flow Handling
WIFI-863457,WIFI,BSOD,0.4114136724938305,"Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time.",State Machine / Flow Handling
WIFI-860241,WIFI,BSOD,0.24348605853404207,"Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time.",State Machine / Flow Handling
WIFI-856261,WIFI,YB/Lost,0.99,"1 driver issue fixed and 1 BIOS TCP level configuration change:

1. driver fix:
IWL_TX_DMA_MASK was set to 0xFFFFFFFFF (36-bit), a leftover from gen1
code. GEN2 and future devices support full 64-bit DMA addressing and
TFD addresses.

The PciIo->Map() function can legitimately return addresses above
36-bit, but TransTxqBuildTfd() rejected these valid addresses,
silently dropping TFD entries while advancing the TXQ write pointer.
This leads to firmware assertions and TXQ watchdog timeouts.
The fix removes the obsolete 36‑bit DMA mask and the associated validation check, allowing proper handling of 64‑bit DMA addresses.

2. See WIFI-645065 regarding HTTP buffer size
",Firmware Config / Parameter / Tuning
WIFI-851835,WIFI,BSOD,0.4750485633057961,"Missing states FW_INIT_FW_CONFIG_STATE and FW_INIT_WAIT_SETUP_COMPLETE_STATE
for FW_INIT_FW_ERROR_DURING_INIT event.

Without these states FW INIT SM gets stuck we saw that the prvFwInitCompleteFlowTimerWd didn't execute for an unknown reason.
In such case OS would trigger a 0x9F BSOD because driver init flow didn't
complete in time.
",State Machine / Flow Handling
