Year,Category,Root Cause Type 1,Root Cause Type 2,Root Cause Type 3,Root Cause Type 4,Root Cause Type 5,Root Cause Type 6,Issue Count
2021,Connectivity,Insufficient Root-Cause Detail,Firmware Config / Parameter / Tuning,RF / Coexistence / Channel Behavior,Memory / Pointer / Resource Handling,Driver-OS Interface / API / OID,Race / Timing / Interrupt Ordering,18
2021,YB/Lost,State Machine / Flow Handling,Race / Timing / Interrupt Ordering,Power State / Reset / PLDR,Memory / Pointer / Resource Handling,Firmware Config / Parameter / Tuning,,5
2021,BSOD,Firmware Config / Parameter / Tuning,Driver-OS Interface / API / OID,Race / Timing / Interrupt Ordering,Insufficient Root-Cause Detail,Power State / Reset / PLDR,,4
2021,HLK,Security / Signature / Validation,,,,,,1
2022,Connectivity,Insufficient Root-Cause Detail,Firmware Config / Parameter / Tuning,Race / Timing / Interrupt Ordering,Power State / Reset / PLDR,RF / Coexistence / Channel Behavior,Driver-OS Interface / API / OID,39
2022,YB/Lost,,,,,,,0
2022,BSOD,RF / Coexistence / Channel Behavior,Insufficient Root-Cause Detail,,,,,2
2022,HLK,State Machine / Flow Handling,Memory / Pointer / Resource Handling,Power State / Reset / PLDR,Security / Signature / Validation,,,2
2023,Connectivity,Firmware Config / Parameter / Tuning,Power State / Reset / PLDR,Race / Timing / Interrupt Ordering,Security / Signature / Validation,Insufficient Root-Cause Detail,Driver-OS Interface / API / OID,35
2023,YB/Lost,Power State / Reset / PLDR,Security / Signature / Validation,Insufficient Root-Cause Detail,Tool / Test / Process Gap,State Machine / Flow Handling,,5
2023,BSOD,Race / Timing / Interrupt Ordering,Power State / Reset / PLDR,Driver-OS Interface / API / OID,,,,1
2023,HLK,Insufficient Root-Cause Detail,Power State / Reset / PLDR,Firmware Config / Parameter / Tuning,Security / Signature / Validation,,,2
2024,Connectivity,Power State / Reset / PLDR,Race / Timing / Interrupt Ordering,State Machine / Flow Handling,Firmware Config / Parameter / Tuning,Memory / Pointer / Resource Handling,Insufficient Root-Cause Detail,74
2024,YB/Lost,Power State / Reset / PLDR,Race / Timing / Interrupt Ordering,Firmware Config / Parameter / Tuning,State Machine / Flow Handling,Insufficient Root-Cause Detail,Security / Signature / Validation,21
2024,BSOD,Power State / Reset / PLDR,Driver-OS Interface / API / OID,Memory / Pointer / Resource Handling,State Machine / Flow Handling,Insufficient Root-Cause Detail,Firmware Config / Parameter / Tuning,12
2024,HLK,,,,,,,0
2025,Connectivity,Race / Timing / Interrupt Ordering,Power State / Reset / PLDR,Insufficient Root-Cause Detail,Firmware Config / Parameter / Tuning,State Machine / Flow Handling,Memory / Pointer / Resource Handling,55
2025,YB/Lost,Power State / Reset / PLDR,Firmware Config / Parameter / Tuning,Race / Timing / Interrupt Ordering,Memory / Pointer / Resource Handling,State Machine / Flow Handling,Security / Signature / Validation,15
2025,BSOD,Firmware Config / Parameter / Tuning,Power State / Reset / PLDR,State Machine / Flow Handling,Race / Timing / Interrupt Ordering,Memory / Pointer / Resource Handling,Driver-OS Interface / API / OID,6
2025,HLK,Race / Timing / Interrupt Ordering,Power State / Reset / PLDR,Firmware Config / Parameter / Tuning,Driver-OS Interface / API / OID,Security / Signature / Validation,,2
2026,Connectivity,State Machine / Flow Handling,Power State / Reset / PLDR,Race / Timing / Interrupt Ordering,Insufficient Root-Cause Detail,Firmware Config / Parameter / Tuning,Security / Signature / Validation,9
2026,YB/Lost,Race / Timing / Interrupt Ordering,Power State / Reset / PLDR,Security / Signature / Validation,State Machine / Flow Handling,Memory / Pointer / Resource Handling,,3
2026,BSOD,State Machine / Flow Handling,Memory / Pointer / Resource Handling,Driver-OS Interface / API / OID,Power State / Reset / PLDR,Firmware Config / Parameter / Tuning,,2
2026,HLK,,,,,,,0
