"ips_title","predicted_category","technology","human_category","source_folder","source_file","title_key"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","RF","CFE_input","weekly_labels_20260501_170001.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Connectivity","wifi","Connectivity","CFE_input","weekly_labels_20260501_170001.csv","restricted mode long reconnection time after resume from sleep"
"2.4G DRTU Target power difference at the same SKU","Power Consumption","wifi","Performance","CFE_input","weekly_labels_20260501_170001.csv","2.4g drtu target power difference at the same sku"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Power Consumption","CFE_input","weekly_labels_20260508_230403.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Performance","CFE_input","weekly_labels_20260508_230403.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Performance","CFE_input","weekly_labels_20260515_170001.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260515_170001.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260515_170001.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Performance","CFE_input","weekly_labels_20260515_170001.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260522_183733.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Power Consumption","CFE_input","weekly_labels_20260522_183733.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260522_183733.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260522_183733.csv","restricted mode long reconnection time after resume from sleep"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260522_183733.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Performance","CFE_input","weekly_labels_20260522_183733.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_143606.csv","restricted mode long reconnection time after resume from sleep"
"TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16)","Power Consumption","wifi","Power Consumption","CFE_input","weekly_labels_20260523_143606.csv","typ2 6ghz output power 2-5dbm drop on conductive test (3/19 and 4/16)"
"Restricted mode long reconnection time after resume from sleep","Power Consumption","wifi","Connectivity","CFE_input","weekly_labels_20260523_143606.csv","restricted mode long reconnection time after resume from sleep"
