issue_key,ips_case_number,jira_title,created_date,bug_project,bug_category_custom,technology,technology_key,ips_title,predicted_category,confidence,reasoning,raw_response
998247,998247,,2026-01-30,BT,,Bluetooth,bt,BSOD when doing Burn in test for 8 hours.,BSOD,1.0,Rule-based match via cues (score 1),rule
998234,998234,,2026-01-30,BT,,Bluetooth,bt,HLK test fail - HciExtensions v2 on WhP2,HLK,1.0,Rule-based match via cues (score 1),rule
998227,998227,,2026-01-30,BT,,Bluetooth,bt,BT connect slow,Connectivity,1.0,Rule-based match via cues (score 1),rule
998102,998102,,2026-01-29,BT,,Bluetooth,bt,BE200 BT YB or BT lost during auto coldboot/S4 test.,YB/Lost,1.0,Rule-based match via cues (score 1),rule
998044,998044,,2026-01-29,BT,,Bluetooth,bt,Bluetooth - HciExtensionsV2 Test fail with Intel WLAN module.,Connectivity,1.0,Rule-based match via cues (score 2),rule
WOT-68870,997767,GNNR validation intermittently fails with Wi-Fi driver 24.10.0.4 on Arrow Lake-H (Fillmore Peak 2 Blazar),2026-01-28,WOT,,Tools,tools,GNNR validation intermittently fails with Wi-Fi driver 24.10.0.4 on Arrow Lake-H (Fillmore Peak 2 Blazar),OEM Tools,1.0,Hard override matched phrase 'gnnr',rule
BT-433571,997745,Bluetooth SMONO fails to enable on ARL-S with BE200 and Windows 11 for LE audio headsets,2026-01-28,BT,,Bluetooth,bt,Bluetooth SMONO fails to enable on ARL-S with BE200 and Windows 11 for LE audio headsets,Connectivity,1.0,Rule-based match via cues (score 1),rule
997745,997745,,2026-01-28,BT,,Bluetooth,bt,BT SMONO on ARL S did not enable successfully.,Connectivity,1.0,Rule-based match via cues (score 1),rule
CIE-10399,997714,Gaming mode is missing in the prioritization tab of ICPS 50.25.1224.201,2026-01-28,CIE,,ICPS/Killer,software,Gaming mode is missing in the prioritization tab of ICPS 50.25.1224.201,ICPS,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
997692,997692,,2026-01-28,BT,,Bluetooth,bt,BT unstable issue,Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-826512,997687,"Wifi yellow bang, FW assert 0x20100505",2026-01-28,WIFI,,WiFi,wifi,"Wifi yellow bang, FW assert 0x20100505",YB/Lost,1.0,Hard override matched phrase 'assert',rule
997671,997671,,2026-01-28,BT,,Bluetooth,bt,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Connectivity,1.0,Rule-based match via cues (score 2),rule
997609,997609,,2026-01-27,BT,,Bluetooth,bt,HLK fail after adding the BT lost solution,HLK,1.0,Rule-based match via cues (score 1),rule
997560,997560,,2026-01-27,BT,,Bluetooth,bt,The BT device YB when Turn off BT,YB/Lost,1.0,Rule-based match via cues (score 1),rule
997526,997526,,2026-01-27,BT,,Bluetooth,bt,Sometimes Media Player cant play media and no audio from connected Galaxy Buds,OEM Tools,1.0,Rule-based match via cues (score 1),rule
997513,997513,,2026-01-27,WIFI,,WiFi,wifi,The Wi-Fi list is empty,Connectivity,0.8,"Title contains 'Wi-Fi' and 'empty', which are common cues for connectivity issues.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'Wi-Fi' and 'empty', which are common cues for connectivity issues.""
}"
997488,997488,,2026-01-27,WIFI,,WiFi,wifi,CITU BER NG on total_delay_offset (-)11,OEM Tools,1.0,Rule-based match via cues (score 1),rule
997478,997478,,2026-01-27,BT,,Bluetooth,bt,Bluetooth Mic Test Does Not Reflect Input or Volume Assessment,Connectivity,1.0,Rule-based match via cues (score 1),rule
997439,997439,,2026-01-26,BT,,Bluetooth,bt,HLK fail:Bluetooth - Initiate platform-level device reset,HLK,1.0,Rule-based match via cues (score 1),rule
997427,997427,,2026-01-26,WIFI,,WiFi,wifi,WiFi conductive T-put test,Connectivity,1.0,Rule-based match via cues (score 1),rule
997376,997376,,2026-01-26,BT,,Bluetooth,bt,BT device lost then recovered when play music,Connectivity,1.0,Rule-based match via cues (score 1),rule
997372,997372,,2026-01-26,BT,,Bluetooth,bt,Noise sound heard after switch from speaker to earbuds,Connectivity,0.8,"Title contains 'earbuds' and 'speaker', indicating a connectivity issue related to Bluetooth device switching.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'earbuds' and 'speaker', indicating a connectivity issue related to Bluetooth device switching.""
}"
997362,997362,,2026-01-26,BT,,Bluetooth,bt,The sound doesnt come out from the connected BT earphone after hibernate,Connectivity,1.0,Rule-based match via cues (score 1),rule
997321,997321,,2026-01-26,WIFI,,WiFi,wifi,wifi download speed degree 50% while tranferring bluetooth files,Connectivity,1.0,Rule-based match via cues (score 2),rule
997240,997240,,2026-01-23,BT,,Bluetooth,bt,"DM show ""Intel(R) Wireless Bluetooth(R)"" YB during stress",YB/Lost,1.0,Rule-based match via cues (score 1),rule
997238,997238,,2026-01-23,BT,,Bluetooth,bt,BT driver lost(24.10 driver),Connectivity,1.0,Rule-based match via cues (score 1),rule
997228,997228,,2026-01-23,BT,,Bluetooth,bt,BT FW crash(24.10 driver),Connectivity,1.0,Rule-based match via cues (score 1),rule
CIE-10395,997226,WWAN type is not visible when Intel Connectivity Performance Suite is dark mode.,2026-01-23,CIE,,ICPS/Killer,software,WWAN type is not visible when Intel Connectivity Performance Suite is dark mode.,Killer,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
CIE-10397,997214,No WWAN interface display in Network Health,2026-01-23,CIE,,ICPS/Killer,software,No WWAN interface display in Network Health,Killer,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
997209,997209,,2026-01-23,BT,,Bluetooth,bt,BT driver lost and crash(24.10 driver),Connectivity,1.0,Rule-based match via cues (score 1),rule
997202,997202,,2026-01-23,BT,,Bluetooth,bt,BSOD when uninstall Bluetooth driver v24.20.0.3,BSOD,1.0,Rule-based match via cues (score 1),rule
997200,997200,,2026-01-23,WIFI,,WiFi,wifi,The wifi disconnect and cant research the wifi,Connectivity,1.0,Rule-based match via cues (score 2),rule
BT-432723,997195,Bluetooth headset has No Output Sound After PC Bluetooth Toggle (OFF/ON) 100% fail rate.,2026-01-23,BT,,Bluetooth,bt,Bluetooth headset has No Output Sound After PC Bluetooth Toggle (OFF/ON) 100% fail rate.,Connectivity,1.0,Rule-based match via cues (score 1),rule
BT-432443,997187,Wi-Fi Throughput Degradation During BT File Transfer,2026-01-23,BT,,Bluetooth,bt,Wi-Fi Throughput Degradation During BT File Transfer,Connectivity,1.0,Rule-based match via cues (score 1),rule
997186,997186,,2026-01-23,BT,,Bluetooth,bt,BE200 BT show YB in device manager after run S3,YB/Lost,1.0,Rule-based match via cues (score 1),rule
997180,997180,,2026-01-23,BT,,Bluetooth,bt,BE200 BT show YB in device manager after run S3,YB/Lost,1.0,Rule-based match via cues (score 1),rule
BT-432721,997175,"Bluetooth headset is No Output Sound After S4/resume, 100% fail rate.",2026-01-23,BT,,Bluetooth,bt,"Bluetooth headset is No Output Sound After S4/resume, 100% fail rate.",Connectivity,1.0,Rule-based match via cues (score 1),rule
CIE-10337,997163,Killer 1775i WIFI/BT driver request,2026-01-23,CIE,,ICPS/Killer,software,Killer 1775i WIFI/BT driver request,Killer,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
997142,997142,,2026-01-23,BT,,Bluetooth,bt,Audio will switch to speaker after connect with BT headset.,Connectivity,1.0,Rule-based match via cues (score 1),rule
997134,997134,,2026-01-23,WIFI,,WiFi,wifi,"Stress_Idle S4_The unit open Camera Idle S4 4H occur BSOD 0x9F W/o dumple file during Stress-Idle Test(F/R:1/40 units,1/40 cycles)",BSOD,1.0,Rule-based match via cues (score 2),rule
997128,997128,,2026-01-23,BT,,Bluetooth,bt,BT Headset Loud Noise When Switching Playback to Recording  Driver 24.20.0.3  (FR:100%),YB/Lost,1.0,Rule-based match via cues (score 1),rule
997068,997068,,2026-01-22,BT,,Bluetooth,bt,Bluetooth device show yellow bar after flash BIOS,Connectivity,1.0,Rule-based match via cues (score 1),rule
997025,997025,,2026-01-22,WIFI,,WiFi,wifi,The wifi disconnect and cant research the wifi,Connectivity,1.0,Rule-based match via cues (score 2),rule
996912,996912,,2026-01-22,WIFI,,WiFi,wifi,Wireless Display fail to connect after resume from sleep,Power Consumption,1.0,Rule-based match via cues (score 1),rule
996722,996722,,2026-01-21,WOT,,Tools,tools,Sar cannot be set.,RF,1.0,Rule-based match via cues (score 1),rule
996702,996702,,2026-01-21,WIFI,,WiFi,wifi,Data streaming between PC and MTK phone and zero drop during data streaming,Connectivity,1.0,Rule-based match via cues (score 1),rule
996699,996699,,2026-01-21,BT,,Bluetooth,bt,No Sound from Samsung Galaxy Buds2 Pro After Re-pairing the Device,Connectivity,1.0,Rule-based match via cues (score 2),rule
996591,996591,,2026-01-20,BT,,Bluetooth,bt,"After the LE Audio device is disconnected once and then reconnected, the music does not play.",Connectivity,1.0,Rule-based match via cues (score 1),rule
996567,996567,,2026-01-20,WIFI,,WiFi,wifi,-Wireless connecivity solutions,Connectivity,0.8,Title contains 'connectivity' and 'solutions',"{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'connectivity' and 'solutions'""
}"
996529,996529,,2026-01-20,BT,,Bluetooth,bt,How to install BT FW on Ubuntu?,Connectivity,1.0,Rule-based match via cues (score 1),rule
996312,996312,,2026-01-19,BT,,Bluetooth,bt,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Connectivity,1.0,Rule-based match via cues (score 2),rule
996273,996273,,2026-01-19,BT,,Bluetooth,bt,LOQ-Tower-26ADRIntelAX201APNearby Sharing,Connectivity,0.8,Title contains 'Nearby Sharing' which is related to connectivity,"{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'Nearby Sharing' which is related to connectivity""
}"
CIE-10269,996267,"GameFast status keep disable when enable ""Auto-enable when a game is detected"" in Intel Killer Performance Suite app then play a game",2026-01-19,CIE,,ICPS/Killer,software,"GameFast status keep disable when enable ""Auto-enable when a game is detected"" in Intel Killer Performance Suite app then play a game",Killer,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
996266,996266,,2026-01-19,CIE,,ICPS/Killer,software,Game(Dota2) type cant show wifi icon when manually set game priority mapping as wifi in Intel Killer Performance Suite app,Killer,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
996265,996265,,2026-01-19,CIE,,ICPS/Killer,software,"Killer APP UI show abnormal """" on Chinese OS.",Killer,1.0,Technology is ICPS/Killer; auto-mapped to ICPS/Killer based on title cue.,auto
996199,996199,,2026-01-19,WIFI,,WiFi,wifi,WLAN Device shows YB.,YB/Lost,1.0,Rule-based match via cues (score 1),rule
996172,996172,,2026-01-17,BT,,Bluetooth,bt,Intel BE201 BT device lost  and USB YB(code 43) in device manager,YB/Lost,1.0,Rule-based match via cues (score 1),rule
996153,996153,,2026-01-16,BT,,Bluetooth,bt,The BT devices will disconnected (log show BT reset error) after  a while,Connectivity,1.0,Rule-based match via cues (score 2),rule
996145,996145,,2026-01-16,WIFI,,WiFi,wifi,WiFi throughput is slow when runnning on battery power with WiFi Sensing Enabled,Power Consumption,1.0,Rule-based match via cues (score 2),rule
996136,996136,,2026-01-16,BT,,Bluetooth,bt,BT LE audio no sound,Connectivity,1.0,Rule-based match via cues (score 1),rule
WIFI-822842,996116,The wifi disconnect and cant research the wifi,2026-01-16,WIFI,,WiFi,wifi,The wifi disconnect and cant research the wifi,Connectivity,1.0,Rule-based match via cues (score 2),rule
996112,996112,,2026-01-16,WIFI,,WiFi,wifi,The wifi disconnect and cant research the wifi,Connectivity,1.0,Rule-based match via cues (score 2),rule
996060,996060,,2026-01-16,WIFI,,WiFi,wifi,ANT req on the PTL platform,OEM Tools,1.0,Rule-based match via cues (score 1),rule
996025,996025,,2026-01-15,WIFI,,WiFi,wifi,Intel BE201 WIFI and BT device lost,Connectivity,1.0,Rule-based match via cues (score 2),rule
WIFI-822445,996019,The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD,2026-01-15,WIFI,,WiFi,wifi,The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD,BSOD,1.0,Rule-based match via cues (score 2),rule
BT-429651,996001,"0x133 DPC_WATCHDOG_VIOLATION BSoD during idle, ibtpci.sys on Panther Lake AX211 Bluetooth",2026-01-15,BT,,Bluetooth,bt,"0x133 DPC_WATCHDOG_VIOLATION BSoD during idle, ibtpci.sys on Panther Lake AX211 Bluetooth",BSOD,1.0,Rule-based match via cues (score 2),rule
BT-432459,995988,"Intel Bluetooth application service device cant enum in device manager, 100% fail rate",2026-01-15,BT,,Bluetooth,bt,"Intel Bluetooth application service device cant enum in device manager, 100% fail rate",Connectivity,1.0,Rule-based match via cues (score 1),rule
995956,995956,,2026-01-15,WIFI,,WiFi,wifi,The EUT can not send >20MB file from PC1 to PC2 by nearby sharing.,Connectivity,0.8,"Title contains 'cannot send' and 'sharing', which are common cues for connectivity issues.","{
  ""category"": ""Connectivity"",
  ""confidence"": 0.8,
  ""reasoning"": ""Title contains 'cannot send' and 'sharing', which are common cues for connectivity issues.""
}"
