row_id,technology,ips_title,predicted_category,human_category,label_notes,risk_score,risk_reason
913,wifi,WLAN throughput drop when testing 6G BE 320 CH173,Connectivity,,,0,
2177,wifi,SPD not working < 30cm from edge of laptop but isolation is good,Connectivity,,,2,generic:not working
1235,wifi,The 6GHz frequency band can be searched when use Intel WLAN card without any setting.,Connectivity,,,0,
2168,wifi,"After bootup Notebook , moving from 24F to 30F intel office , very hard to WAL",Connectivity,,,0,
3456,bt,LE anchor point and CIS 2nd and 3rd subevent overlaps,Connectivity,,,0,
2211,wifi,"When user walked back as suggested by tool, the indication still showing Recording the data",Connectivity,,,1,no_digits
1592,wifi,Clevo_X560WNx_ARL-HX_AX201 WiFi connect issues,Connectivity,,,3,few_words<=5;generic:issue
3796,tools,IWFT enters non-functional state for long run with WiFi Disabled,Connectivity,,,1,no_digits
3299,bt,"Connect BT headset to system, and then it will only show connected voice and the sound out put from PC speaker.",Connectivity,,,1,no_digits
3262,bt,DID profile 1.3 version is not available,Connectivity,,,0,
1552,bt,"Using Bluetooth earphones to watch videos, the earphone sound is intermittent and there is a current sound",Connectivity,,,3,generic:intermittent;no_digits
2195,wifi,Decision low value will over decision high and system always detect human after SPD,Connectivity,,,1,no_digits
3446,bt,Late LE audio reconnection of second bud (Galaxy Buds2 Pro),Connectivity,,,0,
3683,bt,"After resume from MS for long time, BT mouse will lost function and can not scan & pair. (Scan List Empty)",Connectivity,,,1,no_digits
2665,wifi,AX101 WiFi throughput drop when BT is enabled but not connected to BT device,Connectivity,,,0,
1175,wifi,-System can not search WiFi 6G when set MCC to US by ANT tool + S0KKT010 BIOS + BE200 wifi Card.,Connectivity,,,0,
3215,bt,Sniff Mode Parameters not meet the criteria,Connectivity,,,1,no_digits
640,wifi,"When connecting to a 6GHz AP, UHB is being used for SPD.",Connectivity,,,0,
1774,bt,Teams call L and R earcup render not synced,Connectivity,,,1,no_digits
3244,bt,HDUT not support Sniff Subrating Mode,Connectivity,,,1,no_digits
2811,wifi,Wifi auto disconnects because miss beacon.,Connectivity,,,1,no_digits
316,wifi,P2P Pairing Failure,Connectivity,,,7,short<=28c;few_words<=3;generic:failure
2577,wifi,BT MCC jump to 3030 due to Wi-Fi,Connectivity,,,0,
1363,wifi,"When set router 2.4G/5G wifi authentication type: WPA-PSA and RF mode:802.11b/g/n/ax,after the machine connect it and display 802.11n instead of 802.11ax(F/R:3/3 6/6cycles)",Connectivity,,,0,
3388,bt,GFP and TyP show inbox generic driver in DM (RVP also repro),Connectivity,,,1,no_digits
3804,tools,Corporate customer is getting error when applying custom bluetooth JSON,Connectivity,,,3,generic:error;no_digits
1608,bt,he sound&play UI became very lag after end the teams call then play local video with BT LE headphone connected.(BE201),Connectivity,,,0,
812,bt,System 25H2 Modern standby fail,Connectivity,,,3,few_words<=5;generic:fail
2247,wifi,multiple roamings in stationary environment,Connectivity,,,2,few_words<=5;no_digits
152,bt,The BT switch show gray and BT function disappear,Connectivity,,,1,no_digits
1505,bt,aging S4 TEST_BT Lost issue - NO_SUCH_DEVICE,Connectivity,,,2,generic:issue
2838,wifi,AX201 wifi driver 802.11g throughputissue,Connectivity,,,3,few_words<=5;generic:issue
3355,bt,DUT OPP received picture will show abnormal if transferring files with BT headset music playing,Connectivity,,,1,no_digits
814,wifi,"WLAN sometimes do not show 2 MLO links but only 1 link with the command ""netsh wlan show i"" after MLO AP is connected (F/R: 3/10)",Connectivity,,,0,
169,wifi,P2P pairing - GO finding failure.,Connectivity,,,2,generic:failure
3140,bt,MDUT Reconnection does not meet the spec,Connectivity,,,1,no_digits
260,bt,Bluetooth mouse has poor tracking perfo,Connectivity,,,1,no_digits
1414,wifi,HP 3LS SIP126149 - EB 1040 G11(Ernesto MTL)/TSMC/GC/Intel AX211 Cannot find WiFi 6G issue/PCAPJ/TW,Connectivity,,,2,generic:issue
382,wifi,"SIO2437586:The ""UefiCnvWlanWTAS"" is not listed under the UEFI setting list.",Connectivity,,,0,
