technology_key,ips_title,predicted_category,jira_title
bt,BSOD when doing Burn in test for 8 hours.,BSOD,
bt,HLK test fail - HciExtensions v2 on WhP2,HLK,
bt,BT connect slow,Connectivity,
bt,BE200 BT YB or BT lost during auto coldboot/S4 test.,YB/Lost,
bt,Bluetooth - HciExtensionsV2 Test fail with Intel WLAN module.,Connectivity,
tools,GNNR validation intermittently fails with Wi-Fi driver 24.10.0.4 on Arrow Lake-H (Fillmore Peak 2 Blazar),OEM Tools,GNNR validation intermittently fails with Wi-Fi driver 24.10.0.4 on Arrow Lake-H (Fillmore Peak 2 Blazar)
bt,Bluetooth SMONO fails to enable on ARL-S with BE200 and Windows 11 for LE audio headsets,Connectivity,Bluetooth SMONO fails to enable on ARL-S with BE200 and Windows 11 for LE audio headsets
bt,BT SMONO on ARL S did not enable successfully.,Connectivity,
software,Gaming mode is missing in the prioritization tab of ICPS 50.25.1224.201,ICPS,Gaming mode is missing in the prioritization tab of ICPS 50.25.1224.201
bt,BT unstable issue,Connectivity,
wifi,"Wifi yellow bang, FW assert 0x20100505",YB/Lost,"Wifi yellow bang, FW assert 0x20100505"
bt,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Connectivity,
bt,HLK fail after adding the BT lost solution,HLK,
bt,The BT device YB when Turn off BT,YB/Lost,
bt,Sometimes Media Player cant play media and no audio from connected Galaxy Buds,OEM Tools,
wifi,The Wi-Fi list is empty,Connectivity,
wifi,CITU BER NG on total_delay_offset (-)11,OEM Tools,
bt,Bluetooth Mic Test Does Not Reflect Input or Volume Assessment,Connectivity,
bt,HLK fail:Bluetooth - Initiate platform-level device reset,HLK,
wifi,WiFi conductive T-put test,Connectivity,
bt,BT device lost then recovered when play music,Connectivity,
bt,Noise sound heard after switch from speaker to earbuds,Connectivity,
bt,The sound doesnt come out from the connected BT earphone after hibernate,Connectivity,
wifi,wifi download speed degree 50% while tranferring bluetooth files,Connectivity,
bt,"DM show ""Intel(R) Wireless Bluetooth(R)"" YB during stress",YB/Lost,
bt,BT driver lost(24.10 driver),Connectivity,
bt,BT FW crash(24.10 driver),Connectivity,
software,WWAN type is not visible when Intel Connectivity Performance Suite is dark mode.,Killer,WWAN type is not visible when Intel Connectivity Performance Suite is dark mode.
software,No WWAN interface display in Network Health,Killer,No WWAN interface display in Network Health
bt,BT driver lost and crash(24.10 driver),Connectivity,
bt,BSOD when uninstall Bluetooth driver v24.20.0.3,BSOD,
wifi,The wifi disconnect and cant research the wifi,Connectivity,
bt,Bluetooth headset has No Output Sound After PC Bluetooth Toggle (OFF/ON) 100% fail rate.,Connectivity,Bluetooth headset has No Output Sound After PC Bluetooth Toggle (OFF/ON) 100% fail rate.
bt,Wi-Fi Throughput Degradation During BT File Transfer,Connectivity,Wi-Fi Throughput Degradation During BT File Transfer
bt,BE200 BT show YB in device manager after run S3,YB/Lost,
bt,BE200 BT show YB in device manager after run S3,YB/Lost,
bt,"Bluetooth headset is No Output Sound After S4/resume, 100% fail rate.",Connectivity,"Bluetooth headset is No Output Sound After S4/resume, 100% fail rate."
software,Killer 1775i WIFI/BT driver request,Killer,Killer 1775i WIFI/BT driver request
bt,Audio will switch to speaker after connect with BT headset.,Connectivity,
wifi,"Stress_Idle S4_The unit open Camera Idle S4 4H occur BSOD 0x9F W/o dumple file during Stress-Idle Test(F/R:1/40 units,1/40 cycles)",BSOD,
bt,BT Headset Loud Noise When Switching Playback to Recording  Driver 24.20.0.3  (FR:100%),YB/Lost,
bt,Bluetooth device show yellow bar after flash BIOS,Connectivity,
wifi,The wifi disconnect and cant research the wifi,Connectivity,
wifi,Wireless Display fail to connect after resume from sleep,Power Consumption,
tools,Sar cannot be set.,RF,
wifi,Data streaming between PC and MTK phone and zero drop during data streaming,Connectivity,
bt,No Sound from Samsung Galaxy Buds2 Pro After Re-pairing the Device,Connectivity,
bt,"After the LE Audio device is disconnected once and then reconnected, the music does not play.",Connectivity,
wifi,#NAME?,Connectivity,
bt,How to install BT FW on Ubuntu?,Connectivity,
bt,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.",Connectivity,
bt,LOQ-Tower-26ADRIntelAX201APNearby Sharing,Connectivity,
software,"GameFast status keep disable when enable ""Auto-enable when a game is detected"" in Intel Killer Performance Suite app then play a game",Killer,"GameFast status keep disable when enable ""Auto-enable when a game is detected"" in Intel Killer Performance Suite app then play a game"
software,Game(Dota2) type cant show wifi icon when manually set game priority mapping as wifi in Intel Killer Performance Suite app,Killer,
software,"Killer APP UI show abnormal """" on Chinese OS.",Killer,
wifi,WLAN Device shows YB.,YB/Lost,
bt,Intel BE201 BT device lost  and USB YB(code 43) in device manager,YB/Lost,
bt,The BT devices will disconnected (log show BT reset error) after  a while,Connectivity,
wifi,WiFi throughput is slow when runnning on battery power with WiFi Sensing Enabled,Power Consumption,
bt,BT LE audio no sound,Connectivity,
wifi,The wifi disconnect and cant research the wifi,Connectivity,The wifi disconnect and cant research the wifi
wifi,The wifi disconnect and cant research the wifi,Connectivity,
wifi,ANT req on the PTL platform,OEM Tools,
wifi,Intel BE201 WIFI and BT device lost,Connectivity,
wifi,The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD,BSOD,The BSOD(0x7E) occur  point to netwtw.sys when disable/enable WiFi stress test under igh load conditions on the CPU and SSD
bt,"0x133 DPC_WATCHDOG_VIOLATION BSoD during idle, ibtpci.sys on Panther Lake AX211 Bluetooth",BSOD,"0x133 DPC_WATCHDOG_VIOLATION BSoD during idle, ibtpci.sys on Panther Lake AX211 Bluetooth"
bt,"Intel Bluetooth application service device cant enum in device manager, 100% fail rate",Connectivity,"Intel Bluetooth application service device cant enum in device manager, 100% fail rate"
wifi,The EUT can not send >20MB file from PC1 to PC2 by nearby sharing.,Connectivity,
bt,Funlogy Portable Mini speaker does not output sound during playing streaming.,Connectivity,Funlogy Portable Mini speaker does not output sound during playing streaming.
bt,Bluetooth software device,Connectivity,
wifi,Please help to check the log of WiFi Sensing function.,Connectivity,
wifi,"After connect to Samsung TV via miracast, device will disconnect and can not scan Samaung TV.",Connectivity,
bt,audio delay 20s when swithing BT earbuds,Connectivity,
wifi,Intel AX211 intermittently disconnection on WPA2-Enterprise,Connectivity,
bt,BT driver will show YB sometimes,YB/Lost,
wifi,WLAN/WWAN cant be disabled when connect LAN with Control WLAN/WWAN Radio enabled,Connectivity,
wifi,Intel WIFI7 BE201 YB(Code 10) when open lid after close lid about 1 hour,YB/Lost,
bt,he music cannot play after turning on BT and connecting to samsung  buds2 pro BT headset.(the music progress bar does not move),Connectivity,
bt,"The BT page show  after unit pair and connect to Phone(F/R:1/5units,2/10cycles)",Connectivity,
bt,WHQL  Bluetooth - HciExtensionsV2 fail.,HLK,
software,ICPS impacts the Fast Startup time.,ICPS,
wifi,The P2P iperf t-put drop (100MB/s --> 3.8MB/s) after manually adding interference,Connectivity,ICPS impacts the Fast Startup time.
