component,rows,suggested_category,rule_level,reason,approved_category,enabled,notes
Customer TBD,210,,review,no reliable keyword rule,,,
WinDriver->System flows,130,Connectivity,soft,driver stack components often map to connectivity in current data,,,
3rd Party->OS,100,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
WinDriver->Connectivity,92,Connectivity,hard,component contains connectivity cues,,,
WinDriver->Performance,86,Performance,hard,component contains performance cues,,,
User Interface->Intel Connectivity Performance Suite,84,Connectivity,hard,component contains connectivity cues,,,
FW->PHY,69,RF,hard,component contains rf/phy cues,,,
FW->Data Path,61,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
TOP->STEP,61,,review,no reliable keyword rule,,,
Host Windows- Driver->ibtusb,56,Connectivity,soft,driver stack components often map to connectivity in current data,,,
System->MAC,55,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
TOP->FW,51,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
WinDriver->WiFi Extensions,51,Connectivity,soft,driver stack components often map to connectivity in current data,,,
FW- Transport,44,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
Host Windows- Driver->PCIe,43,Connectivity,soft,driver stack components often map to connectivity in current data,,,
FW- Protocol -> ACL_LE,41,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- Protocol -> ACL_BR_EDR,40,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
System->PHY,35,RF,hard,component contains rf/phy cues,,,
3rd Party,34,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
3rd Party->AP,34,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
3rd Party- MSFT,33,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
FW->MVM,23,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
UEFIDriver,22,UEFI,hard,component contains uefi cue,,,
FW->Infra,21,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
3rd Party-other non Intel component,20,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
Product->The Platform,20,,review,no reliable keyword rule,,,
ANT,19,,review,no reliable keyword rule,,,
DRTU,19,,review,no reliable keyword rule,,,
Installation->Killer,19,Killer,hard,component contains 'killer',,,
TOP->Integration,19,,review,no reliable keyword rule,,,
3rd Party- Platform,18,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
3rd Party-BIOS,18,BIOS,hard,component contains bios cue,,,
FW- Audio -> Voice,18,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
3rd Party- Remote Device (IOP),17,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
FW- Protocol -> ADV,17,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
PIE,17,,review,no reliable keyword rule,,,
Product->Platform Board Design,17,,review,no reliable keyword rule,,,
3rd Party- Platform - Audio,16,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
3rd Party–Specific customer environment setting,16,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
FW- PHY,15,RF,hard,component contains rf/phy cues,,,
User Interface,15,RF,hard,component contains rf/phy cues,,,
CITU,13,,review,no reliable keyword rule,,,
Services->AP Suggestion Service,13,,review,no reliable keyword rule,,,
3rd Party-other Intel component,12,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
Host UEFI - BIOS,12,BIOS,hard,component contains bios cue,,,
Installation->ICPS,12,ICPS,hard,component contains 'icps',,,
TOP->FSEQ,11,,review,no reliable keyword rule,,,
ICPS,10,ICPS,hard,component contains 'icps',,,
WRT::2G,10,,review,no reliable keyword rule,,,
FW- Coex,9,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW->Power Save,9,Power Consumption,hard,component contains power cues,,,
Killer,9,Killer,hard,component contains 'killer',,,
NDT,9,,review,no reliable keyword rule,,,
System->Top,9,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
WinDriver->Infrastructure,9,Connectivity,soft,driver stack components often map to connectivity in current data,,,
Drivers,8,Connectivity,soft,driver stack components often map to connectivity in current data,,,
Services->Network Service,8,,review,no reliable keyword rule,,,
3rd Party- Platform - BIOS,7,BIOS,hard,component contains bios cue,,,
Drivers->Bandwidth Driver,7,Connectivity,soft,driver stack components often map to connectivity in current data,,,
Installer,7,OEM Tools,soft,tools/install components tend to map to OEM Tools,,,
FW->Coexistence,6,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW->TLC,6,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
Product,6,,review,no reliable keyword rule,,,
FW- Audio -> Music - A2DP non-offload (ONLY),5,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW->Scan,5,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
Installation,5,OEM Tools,soft,tools/install components tend to map to OEM Tools,,,
Services->Static Library,5,,review,no reliable keyword rule,,,
User Interface->Killer,5,Killer,hard,component contains 'killer',,,
WinDriver->Installation,5,Connectivity,soft,driver stack components often map to connectivity in current data,,,
FW- Device Power,4,Power Consumption,hard,component contains power cues,,,
FW- Protocol -> ADV_EXT,4,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
ICPS->UI,4,ICPS,hard,component contains 'icps',,,
Services->Dynamic Bandwidth,4,,review,no reliable keyword rule,,,
WinDriver->Sensing,4,Sensing,hard,component contains sensing cue,,,
3rd Party - Platform - OEM,3,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
3rd Party->Incoming->Platform,3,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
Fw –> Top,3,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- Audio -> A2DP Offload Datapath,3,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW- IML,3,Connectivity,soft,fw/system stack often manifests as connectivity symptoms,,,
FW->Sensing,3,Sensing,hard,component contains sensing cue,,,
Installation->CustomizeInstallFirstRun,3,OEM Tools,soft,tools/install components tend to map to OEM Tools,,,
Other,3,,review,no reliable keyword rule,,,
Services,3,,review,no reliable keyword rule,,,
WiAMTDriver,3,Connectivity,soft,driver stack components often map to connectivity in current data,,,
WiAMTDriver->WiMaD,3,Connectivity,soft,driver stack components often map to connectivity in current data,,,
3rd Party->Bridge Incoming->MSFT,2,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
3rd Party->Bridge Incoming->Platform,2,Connectivity,soft,3rd-party component often maps to connectivity-like issues,,,
