component,rows,suggested_ips_category,suggested_count,suggested_ratio,top3_categories,distinct_category_count
Customer TBD,210,WCS Innovation Engineering,120,0.5714,WCS Innovation Engineering:120; WiFi Windows:61; Bluetooth (BT):21,5
WinDriver->System flows,130,WiFi Windows,124,0.9538,WiFi Windows:124; OEM Tools:4; Bluetooth (BT):2,3
3rd Party->OS,100,WiFi Windows,100,1.0000,WiFi Windows:100,1
WinDriver->Connectivity,92,WiFi Windows,90,0.9783,WiFi Windows:90; OEM Tools:2,2
WinDriver->Performance,86,WiFi Windows,85,0.9884,WiFi Windows:85; OEM Tools:1,2
User Interface->Intel Connectivity Performance Suite,84,WCS Innovation Engineering,76,0.9048,WCS Innovation Engineering:76; WiFi Windows:8,2
FW->PHY,69,WiFi Windows,67,0.9710,WiFi Windows:67; OEM Tools:2,2
FW->Data Path,61,WiFi Windows,60,0.9836,WiFi Windows:60; OEM Tools:1,2
TOP->STEP,61,WiFi Windows,60,0.9836,WiFi Windows:60; Bluetooth (BT):1,2
Host Windows- Driver->ibtusb,56,Bluetooth (BT),53,0.9464,Bluetooth (BT):53; WiFi Windows:3,2
System->MAC,55,WiFi Windows,53,0.9636,WiFi Windows:53; Bluetooth (BT):2,2
TOP->FW,51,WiFi Windows,47,0.9216,WiFi Windows:47; OEM Tools:2; Bluetooth (BT):1,4
WinDriver->WiFi Extensions,51,WiFi Windows,51,1.0000,WiFi Windows:51,1
FW- Transport,44,Bluetooth (BT),44,1.0000,Bluetooth (BT):44,1
Host Windows- Driver->PCIe,43,Bluetooth (BT),41,0.9535,Bluetooth (BT):41; WiFi Windows:2,2
FW- Protocol -> ACL_LE,41,Bluetooth (BT),41,1.0000,Bluetooth (BT):41,1
FW- Protocol -> ACL_BR_EDR,40,Bluetooth (BT),40,1.0000,Bluetooth (BT):40,1
System->PHY,35,WiFi Windows,31,0.8857,WiFi Windows:31; OEM Tools:3; Bluetooth (BT):1,3
3rd Party,34,WiFi Windows,34,1.0000,WiFi Windows:34,1
3rd Party->AP,34,WiFi Windows,34,1.0000,WiFi Windows:34,1
3rd Party- MSFT,33,Bluetooth (BT),33,1.0000,Bluetooth (BT):33,1
FW->MVM,23,WiFi Windows,23,1.0000,WiFi Windows:23,1
UEFIDriver,22,WiFi Windows,22,1.0000,WiFi Windows:22,1
FW->Infra,21,WiFi Windows,21,1.0000,WiFi Windows:21,1
3rd Party-other non Intel component,20,WiFi Windows,20,1.0000,WiFi Windows:20,1
Product->The Platform,20,WiFi Windows,20,1.0000,WiFi Windows:20,1
ANT,19,OEM Tools,14,0.7368,OEM Tools:14; WiFi Windows:5,2
DRTU,19,OEM Tools,12,0.6316,OEM Tools:12; WiFi Windows:5; Bluetooth (BT):2,3
Installation->Killer,19,WCS Innovation Engineering,18,0.9474,WCS Innovation Engineering:18; WiFi Windows:1,2
TOP->Integration,19,WiFi Windows,19,1.0000,WiFi Windows:19,1
3rd Party- Platform,18,Bluetooth (BT),16,0.8889,Bluetooth (BT):16; WiFi Windows:2,2
3rd Party-BIOS,18,WiFi Windows,16,0.8889,WiFi Windows:16; WiFi AMT:1; OEM Tools:1,3
FW- Audio -> Voice,18,Bluetooth (BT),18,1.0000,Bluetooth (BT):18,1
3rd Party- Remote Device (IOP),17,Bluetooth (BT),17,1.0000,Bluetooth (BT):17,1
FW- Protocol -> ADV,17,Bluetooth (BT),17,1.0000,Bluetooth (BT):17,1
PIE,17,WiFi Windows,17,1.0000,WiFi Windows:17,1
Product->Platform Board Design,17,WiFi Windows,17,1.0000,WiFi Windows:17,1
3rd Party- Platform - Audio,16,Bluetooth (BT),16,1.0000,Bluetooth (BT):16,1
3rd Party–Specific customer environment setting,16,WiFi Windows,16,1.0000,WiFi Windows:16,1
FW- PHY,15,Bluetooth (BT),15,1.0000,Bluetooth (BT):15,1
User Interface,15,WCS Innovation Engineering,15,1.0000,WCS Innovation Engineering:15,1
CITU,13,OEM Tools,11,0.8462,OEM Tools:11; WiFi Windows:2,2
Services->AP Suggestion Service,13,WCS Innovation Engineering,12,0.9231,WCS Innovation Engineering:12; WiFi Windows:1,2
3rd Party-other Intel component,12,WiFi Windows,12,1.0000,WiFi Windows:12,1
Host UEFI - BIOS,12,Bluetooth (BT),12,1.0000,Bluetooth (BT):12,1
Installation->ICPS,12,WCS Innovation Engineering,12,1.0000,WCS Innovation Engineering:12,1
TOP->FSEQ,11,WiFi Windows,10,0.9091,WiFi Windows:10; OEM Tools:1,2
ICPS,10,WCS Innovation Engineering,6,0.6000,WCS Innovation Engineering:6; WiFi Windows:4,2
WRT::2G,10,Debug Tools,6,0.6000,Debug Tools:6; WiFi Windows:2; OEM Tools:2,3
FW- Coex,9,Bluetooth (BT),8,0.8889,Bluetooth (BT):8; WiFi Windows:1,2
FW->Power Save,9,WiFi Windows,8,0.8889,WiFi Windows:8; OEM Tools:1,2
Killer,9,WCS Innovation Engineering,9,1.0000,WCS Innovation Engineering:9,1
NDT,9,OEM Tools,7,0.7778,OEM Tools:7; WiFi Windows:2,2
System->Top,9,WiFi Windows,9,1.0000,WiFi Windows:9,1
WinDriver->Infrastructure,9,WiFi Windows,9,1.0000,WiFi Windows:9,1
Drivers,8,WCS Innovation Engineering,6,0.7500,WCS Innovation Engineering:6; WiFi Windows:2,2
Services->Network Service,8,WCS Innovation Engineering,7,0.8750,WCS Innovation Engineering:7; WiFi Windows:1,2
3rd Party- Platform - BIOS,7,Bluetooth (BT),7,1.0000,Bluetooth (BT):7,1
Drivers->Bandwidth Driver,7,WCS Innovation Engineering,7,1.0000,WCS Innovation Engineering:7,1
Installer,7,WiFi Windows,6,0.8571,WiFi Windows:6; OEM Tools:1,2
FW->Coexistence,6,WiFi Windows,6,1.0000,WiFi Windows:6,1
FW->TLC,6,WiFi Windows,6,1.0000,WiFi Windows:6,1
Product,6,WiFi Windows,6,1.0000,WiFi Windows:6,1
FW- Audio -> Music - A2DP non-offload (ONLY),5,Bluetooth (BT),5,1.0000,Bluetooth (BT):5,1
FW->Scan,5,WiFi Windows,5,1.0000,WiFi Windows:5,1
Installation,5,WCS Innovation Engineering,5,1.0000,WCS Innovation Engineering:5,1
Services->Static Library,5,WCS Innovation Engineering,5,1.0000,WCS Innovation Engineering:5,1
User Interface->Killer,5,WCS Innovation Engineering,5,1.0000,WCS Innovation Engineering:5,1
WinDriver->Installation,5,WiFi Windows,5,1.0000,WiFi Windows:5,1
FW- Device Power,4,Bluetooth (BT),4,1.0000,Bluetooth (BT):4,1
FW- Protocol -> ADV_EXT,4,Bluetooth (BT),4,1.0000,Bluetooth (BT):4,1
ICPS->UI,4,WCS Innovation Engineering,3,0.7500,WCS Innovation Engineering:3; WiFi Windows:1,2
Services->Dynamic Bandwidth,4,WCS Innovation Engineering,4,1.0000,WCS Innovation Engineering:4,1
WinDriver->Sensing,4,WiFi Windows,4,1.0000,WiFi Windows:4,1
3rd Party - Platform - OEM,3,Bluetooth (BT),3,1.0000,Bluetooth (BT):3,1
3rd Party->Incoming->Platform,3,WiFi Windows,3,1.0000,WiFi Windows:3,1
Fw –> Top,3,Bluetooth (BT),3,1.0000,Bluetooth (BT):3,1
FW- Audio -> A2DP Offload Datapath,3,Bluetooth (BT),3,1.0000,Bluetooth (BT):3,1
FW- IML,3,Bluetooth (BT),3,1.0000,Bluetooth (BT):3,1
FW->Sensing,3,WiFi Windows,3,1.0000,WiFi Windows:3,1
Installation->CustomizeInstallFirstRun,3,WCS Innovation Engineering,3,1.0000,WCS Innovation Engineering:3,1
Other,3,WiFi Windows,2,0.6667,WiFi Windows:2; Debug Tools:1,2
Services,3,WCS Innovation Engineering,2,0.6667,WCS Innovation Engineering:2; WiFi Windows:1,2
WiAMTDriver,3,WiFi Windows,2,0.6667,WiFi Windows:2; WiFi AMT:1,2
WiAMTDriver->WiMaD,3,WiFi Windows,3,1.0000,WiFi Windows:3,1
3rd Party->Bridge Incoming->MSFT,2,WiFi Windows,2,1.0000,WiFi Windows:2,1
3rd Party->Bridge Incoming->Platform,2,OEM Tools,1,0.5000,OEM Tools:1; WiFi Windows:1,2
3rd Party-BIOS Wireless feature,2,WiFi Windows,2,1.0000,WiFi Windows:2,1
Build System,2,WiFi Windows,1,0.5000,WiFi Windows:1; WCS Innovation Engineering:1,2
FW- Build,2,Bluetooth (BT),2,1.0000,Bluetooth (BT):2,1
FW- Datapath,2,Bluetooth (BT),2,1.0000,Bluetooth (BT):2,1
FW- Protocol -> AFH,2,Bluetooth (BT),2,1.0000,Bluetooth (BT):2,1
FW- Protocol -> TPC & LE TPC,2,Bluetooth (BT),2,1.0000,Bluetooth (BT):2,1
FW- ROM,2,Bluetooth (BT),2,1.0000,Bluetooth (BT):2,1
FW->The Platform,2,WiFi Windows,2,1.0000,WiFi Windows:2,1
FW_Audio->LE_Audio,2,Bluetooth (BT),2,1.0000,Bluetooth (BT):2,1
GNNR,2,OEM Tools,2,1.0000,OEM Tools:2,1
