jira_id,ips_title,jira_component,human_category,label_source,pseudo_confidence,sample_weight,feature_text
WIFI-470924,[ASUS/CS][LNL][BE201][UX5406SA]Throughput Significantly Affected by BT On/Off,FW->Data Path,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->Data Path] [ASUS/CS][LNL][BE201][UX5406SA]Throughput Significantly Affected by BT On/Off
WIFI-462607,"[ASUS_CCBU][ADL-N][9462][22.220.0.4] After resume from MS, WIFI can not scan WIFI AP SSID.",TOP->FW,YB/Lost,component_to_category_100pct,1.00,0.90,"[COMPONENT=TOP->FW] [ASUS_CCBU][ADL-N][9462][22.220.0.4] After resume from MS, WIFI can not scan WIFI AP SSID."
WIFI-496612,[Samsung][LNL][BE201] 0x7e BSoD occurred download test.,WinDriver->WiFi Extensions,P2P,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->WiFi Extensions] [Samsung][LNL][BE201] 0x7e BSoD occurred download test.
WIFI-144835,Dell/Compal[ADL][Orchidbay][Wifi 6E link test]Wifi 6E Mcc US automatically switches back to TW disconnection problem,FW->Infra,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->Infra] Dell/Compal[ADL][Orchidbay][Wifi 6E link test]Wifi 6E Mcc US automatically switches back to TW disconnection problem
WIFI-458758,[Samsung][Venus4][MTL] 0x9F BSOD happen while running ATO test,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Samsung][Venus4][MTL] 0x9F BSOD happen while running ATO test
WIFI-542463,[GaP2][GfP2] MIMO2 value at DRTU Regulatory Power Limits Table,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [GaP2][GfP2] MIMO2 value at DRTU Regulatory Power Limits Table
WIFI-452771,[ASUS][Quanta][ARL][AX101][X1407CA] YB right after installing driver,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [ASUS][Quanta][ARL][AX101][X1407CA] YB right after installing driver
BT-26870,[Huawei][Quanta][KelvinD][TGL-U][AX201][20H2[BT][804719095]BT mouse was disconnected suddenly.,FW- Protocol -> ACL_LE,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Protocol -> ACL_LE] [Huawei][Quanta][KelvinD][TGL-U][AX201][20H2[BT][804719095]BT mouse was disconnected suddenly.
WIFI-487613,[ARL+BE201]SGOM ANT tool Group6 issue,WinDriver->System flows,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->System flows] [ARL+BE201]SGOM ANT tool Group6 issue
WIFI-515207,[WiFi][BT]Yellow Bang of WiFi device occurs and Bluetooth device disappears,System->MAC,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=System->MAC] [WiFi][BT]Yellow Bang of WiFi device occurs and Bluetooth device disappears
WIFI-355346,SIP119697 - HP Pro x360 Fortis G10 /AX211 Card Disappears from DM,System->MAC,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=System->MAC] SIP119697 - HP Pro x360 Fortis G10 /AX211 Card Disappears from DM
WIFI-316376,[WW27-28WS] [Samsung][Venus 4-14 MTL] WLAN Yellow bang issue,FW->Infra,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->Infra] [WW27-28WS] [Samsung][Venus 4-14 MTL] WLAN Yellow bang issue
WIFI-350479,EventID 5002/5005 Error occurred,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] EventID 5002/5005 Error occurred
BT-300754,[ASUS][ARL][BE201] BLE Device will not re-connected after system reboot.,FW- Protocol -> ACL_LE,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Protocol -> ACL_LE] [ASUS][ARL][BE201] BLE Device will not re-connected after system reboot.
WIFI-371044,"[HP][Foxconn][RPL-S Refresh][GfP2-AX211&GaP2-BE200][Win11 22H2_22621]Cant connected to the WiFi using EAP-TLS or PEAP protocol, and can connected to the WiFi using TTLS protocol but cant unlock BitLocker.",UEFIDriver,UEFI,component_to_category_100pct,1.00,0.90,"[COMPONENT=UEFIDriver] [HP][Foxconn][RPL-S Refresh][GfP2-AX211&GaP2-BE200][Win11 22H2_22621]Cant connected to the WiFi using EAP-TLS or PEAP protocol, and can connected to the WiFi using TTLS protocol but cant unlock BitLocker."
BT-297390,[Venus5-16][FmP2] BT YB code 43 after Hybridshutdown,FW- Transport,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Transport] [Venus5-16][FmP2] BT YB code 43 after Hybridshutdown
WIFI-582252,[Dell][OasisMTL]Stress_MS_Win11_Intel(R) Wi-Fi 7 BE200 320MHz lost in DM(F/R:2/30units),TOP->STEP,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=TOP->STEP] [Dell][OasisMTL]Stress_MS_Win11_Intel(R) Wi-Fi 7 BE200 320MHz lost in DM(F/R:2/30units)
WIFI-311084,[Transsion][MEGABOOKT14TA][StP2_7265]SoftAP connection type show 11n after 11ac phone is connected and tput is low,WinDriver->WiFi Extensions,P2P,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->WiFi Extensions] [Transsion][MEGABOOKT14TA][StP2_7265]SoftAP connection type show 11n after 11ac phone is connected and tput is low
WIFI-520712,[ThinkPad China][E14 gen5][Field_issue] Wi-Fi AX201 significantly slow access to E-Filling and SAP SQL data.,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [ThinkPad China][E14 gen5][Field_issue] Wi-Fi AX201 significantly slow access to E-Filling and SAP SQL data.
WIFI-533631,[NEC MAGI][LCFC][LNL-MX] Intel BE201 WIFI7 CNVi Module CITU tool,TOP->STEP,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=TOP->STEP] [NEC MAGI][LCFC][LNL-MX] Intel BE201 WIFI7 CNVi Module CITU tool
BT-384348,[HP][Wafer14R][RPL-R][AX211][Win11 24H2 v26100.4351] Instadock cant be registration occurs without the need for notebook restart when enbale it by HPX.,Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=Host Windows- Driver->ibtusb] [HP][Wafer14R][RPL-R][AX211][Win11 24H2 v26100.4351] Instadock cant be registration occurs without the need for notebook restart when enbale it by HPX.
WIFI-879521,[DELL][PTL][WHP]Yukon 13 2in1 (P208G)_Sensor Power is greater than SAR settings,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [DELL][PTL][WHP]Yukon 13 2in1 (P208G)_Sensor Power is greater than SAR settings
WIFI-517107,[ASUS][Quanta][ARL][AX101][X1407CA] AX101 no show in BIOS UEFI,UEFIDriver,UEFI,component_to_category_100pct,1.00,0.90,[COMPONENT=UEFIDriver] [ASUS][Quanta][ARL][AX101][X1407CA] AX101 no show in BIOS UEFI
BT-339138,[HP][IEC] - [Machu][ARL][Fmp2-BE201][Win11 24H2]Machu factory hang HP logo,Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=Host Windows- Driver->ibtusb] [HP][IEC] - [Machu][ARL][Fmp2-BE201][Win11 24H2]Machu factory hang HP logo
BT-477509,(Copy Of 01008072) [Honor][LUX][NvwaB][ARL-HX][AX211][BT] The BSOD 0x133 releated to BthPan,Host Windows- Driver->ibtusb,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=Host Windows- Driver->ibtusb] (Copy Of 01008072) [Honor][LUX][NvwaB][ARL-HX][AX211][BT] The BSOD 0x133 releated to BthPan
WIFI-796742,[Lenovo-Ideapad][YOGA9P 16][PTL/BE211@1216/320Mhz][25H2] stress WB with security fail and reset soon,WinDriver->Connectivity,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Connectivity] [Lenovo-Ideapad][YOGA9P 16][PTL/BE211@1216/320Mhz][25H2] stress WB with security fail and reset soon
WIFI-812019,[Honor][Luxshare][ZhuqueC&XuanwuC][WiFi][AX211]The TIS is abnormal when the OTA test is in Channel 149-165,FW->PHY,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=FW->PHY] [Honor][Luxshare][ZhuqueC&XuanwuC][WiFi][AX211]The TIS is abnormal when the OTA test is in Channel 149-165
WIFI-456751,CITU stress failure on ASUS LNL P5405CSA (2230/33ohm/0xF1),TOP->STEP,YB/Lost,component_to_category_100pct,1.00,0.90,[COMPONENT=TOP->STEP] CITU stress failure on ASUS LNL P5405CSA (2230/33ohm/0xF1)
BT-477053,[Xiaomi][MTL][AX211] Xiaomi speakers take a long time to connect to a PC via BLE,FW- Protocol -> ACL_LE,Connectivity,component_to_category_100pct,1.00,0.90,[COMPONENT=FW- Protocol -> ACL_LE] [Xiaomi][MTL][AX211] Xiaomi speakers take a long time to connect to a PC via BLE
WIFI-473507,[Samsung][LNL][BE201][P240826-01634] d1 BSoD.,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Samsung][LNL][BE201][P240826-01634] d1 BSoD.
WIFI-103118,[Samsung] [Venus-13TGL] [TyP2] D1 BSOD happened during Windiag test,WinDriver->Performance,Performance,component_to_category_100pct,1.00,0.90,[COMPONENT=WinDriver->Performance] [Samsung] [Venus-13TGL] [TyP2] D1 BSOD happened during Windiag test
WIFI-515364,[ASUS/Gaming][Inventec][ARL-HX][BE200][G614LV]Wake on Wlan is invalid after MS,3rd Party-BIOS,BIOS,component_to_category_100pct,1.00,0.90,[COMPONENT=3rd Party-BIOS] [ASUS/Gaming][Inventec][ARL-HX][BE200][G614LV]Wake on Wlan is invalid after MS
