jira_id,ips_title,jira_component,human_category,label_source,pseudo_confidence,sample_weight,feature_text
WIFI-102802,[Lenovo ThinkPad JP][LCFC][X390T490 P73][CML WHL][9560 AX201AX200]It will occur BSOD during change the Wireless Mode on TP-Link XDR3020 with 22.30.0.11,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Lenovo ThinkPad JP][LCFC][X390T490 P73][CML WHL][9560 AX201AX200]It will occur BSOD during change the Wireless Mode on TP-Link XDR3020 with 22.30.0.11
WIFI-102804,[Lenovo ThinkPad JP][LCFC][X1 Carbon 6th][KBL][8265]<Customer Complain>WLAN speed unstable under Huawei AirEngine6760-X1 Wi-Fi 6 AP,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Lenovo ThinkPad JP][LCFC][X1 Carbon 6th][KBL][8265]<Customer Complain>WLAN speed unstable under Huawei AirEngine6760-X1 Wi-Fi 6 AP
WIFI-104644,[ASUS AIO compal A5401WRA][CML-S][22.20.0.6 AX200/2230][Intel WIFI]WIFI AP is not able to connected when set shared key.,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [ASUS AIO compal A5401WRA][CML-S][22.20.0.6 AX200/2230][Intel WIFI]WIFI AP is not able to connected when set shared key.
WIFI-109314,[Huawei][Quanta][BohrM]/NobelM[Lucienne][AX200][20H2][WiFi] BSOD 0x7F(Netwtw10.sys).(Copy Of 00584040) [Huawei][Quanta][BohrM]/NobelM[Lucienne][AX200][20H2][WiFi] BSOD 0x7F(Netwtw10.sys).,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Huawei][Quanta][BohrM]/NobelM[Lucienne][AX200][20H2][WiFi] BSOD 0x7F(Netwtw10.sys).(Copy Of 00584040) [Huawei][Quanta][BohrM]/NobelM[Lucienne][AX200][20H2][WiFi] BSOD 0x7F(Netwtw10.sys).
WIFI-116368,[HP/Win10/CML/HrP2/Camellia] Cannot re-connect to wireless printer,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [HP/Win10/CML/HrP2/Camellia] Cannot re-connect to wireless printer
WIFI-117882,"[Lenovo IdeaPad][S760-14 AMD]  can't connect AP with ""WPA2 Enterprise"" EAP-TLS mode",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] [Lenovo IdeaPad][S760-14 AMD]  can't connect AP with ""WPA2 Enterprise"" EAP-TLS mode"
WIFI-119890,[ASUS-Gaming] Unable to Connect to Network Secured by WEP,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [ASUS-Gaming] Unable to Connect to Network Secured by WEP
WIFI-135945,PKI Authentication Issue with Newer Intel Wireless Drivers on Spyglass,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] PKI Authentication Issue with Newer Intel Wireless Drivers on Spyglass
WIFI-141446,"Dell/Compal][ADL][Odyssey][DBS test] GFP4 combination of 5G/ch36 pass, 2.4G/ch3 fail",WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,"[COMPONENT=WinDriver->Connectivity] Dell/Compal][ADL][Odyssey][DBS test] GFP4 combination of 5G/ch36 pass, 2.4G/ch3 fail"
WIFI-142456,[Dell_Compal_Orchid Bay_ADL] SUT occurs BSOD(DRIVER_IRQL_NOT_LESS_OR_EQUAL) during CB/WB after do provision,WinDriver->Connectivity,Connectivity,pseudo_component_rule_hard,0.95,0.70,[COMPONENT=WinDriver->Connectivity] [Dell_Compal_Orchid Bay_ADL] SUT occurs BSOD(DRIVER_IRQL_NOT_LESS_OR_EQUAL) during CB/WB after do provision
