jira_id,ips_title,jira_component,component_frequency,feature_text
BT-110058,intel advertisement interface debug: start adv filter with EB4,Customer TBD,210,[COMPONENT=Customer TBD] intel advertisement interface debug: start adv filter with EB4
BT-150654,"[Yuanchen][BT][Huawei][VangoghH][MTL][FOT]open decice error,fail to get decice path",Customer TBD,210,"[COMPONENT=Customer TBD] [Yuanchen][BT][Huawei][VangoghH][MTL][FOT]open decice error,fail to get decice path"
BT-191015,[Dell][Compal][LNL_Tributo][BE201] BT device would lost after DUT resume from WB/S4.,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][Compal][LNL_Tributo][BE201] BT device would lost after DUT resume from WB/S4.
BT-266356,[Dell][ARL][BE202] BLE Init Failure post integration to BIOS,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][ARL][BE202] BLE Init Failure post integration to BIOS
BT-27749,[WW2-3 Alpha+ colocation](ADL-S CSLP)[DELL Corp. DT/D12 Kyoto-MTP/Wistron/ADL-S+Q670][BT] AX201/AX211 device will YB after warm boot,Customer TBD,210,[COMPONENT=Customer TBD] [WW2-3 Alpha+ colocation](ADL-S CSLP)[DELL Corp. DT/D12 Kyoto-MTP/Wistron/ADL-S+Q670][BT] AX201/AX211 device will YB after warm boot
BT-288498,[TKN][Acer][Compal][travelmate B5 triangle KH4TK][AX211/BE200][Win11]BT SAR table in bios ACPI code problem,Customer TBD,210,[COMPONENT=Customer TBD] [TKN][Acer][Compal][travelmate B5 triangle KH4TK][AX211/BE200][Win11]BT SAR table in bios ACPI code problem
BT-319071,"[VAIO][RPL]Once the PC wakes up, it stays awake even if there is no movement around the PC.",Customer TBD,210,"[COMPONENT=Customer TBD] [VAIO][RPL]Once the PC wakes up, it stays awake even if there is no movement around the PC."
BT-321992,ICPS Bluetooth Device Management cant show Bluetooth LE devices correctly.,Customer TBD,210,[COMPONENT=Customer TBD] ICPS Bluetooth Device Management cant show Bluetooth LE devices correctly.
BT-36520,BLE mouse cursor hang randomly,Customer TBD,210,[COMPONENT=Customer TBD] BLE mouse cursor hang randomly
BT-378246,[HP][Quanta]-[Trekker][PTL-H][Win11 25H2] Wlan and BT lost from quick setting about 1s then auto recover during playing local video with BT headphone and BT mouse connected.(Intel BE211),Customer TBD,210,[COMPONENT=Customer TBD] [HP][Quanta]-[Trekker][PTL-H][Win11 25H2] Wlan and BT lost from quick setting about 1s then auto recover during playing local video with BT headphone and BT mouse connected.(Intel BE211)
BT-40664,[DELL/Dolphin N/V MTE/Wistron/ADL-S][Linux] [AX201] [BT] Ubuntu kernel 5.13 is lack of Intel CNVi card support on ADL-S platform,Customer TBD,210,[COMPONENT=Customer TBD] [DELL/Dolphin N/V MTE/Wistron/ADL-S][Linux] [AX201] [BT] Ubuntu kernel 5.13 is lack of Intel CNVi card support on ADL-S platform
BT-40665,[DELL/Kyoto/ Kyoto P/Wistron/ADL-S][Linux] [AX211] [BT] Ubuntu kernel 5.13 is lack of Intel CNVi card support on ADL-S platform,Customer TBD,210,[COMPONENT=Customer TBD] [DELL/Kyoto/ Kyoto P/Wistron/ADL-S][Linux] [AX211] [BT] Ubuntu kernel 5.13 is lack of Intel CNVi card support on ADL-S platform
BT-40666,[DELL/Dolphin N/V MTE/Wistron/ADL-S][Linux] [9462] [BT] Ubuntu kernel 5.13 is lack of Intel CNVi card support on ADL-S platform,Customer TBD,210,[COMPONENT=Customer TBD] [DELL/Dolphin N/V MTE/Wistron/ADL-S][Linux] [9462] [BT] Ubuntu kernel 5.13 is lack of Intel CNVi card support on ADL-S platform
BT-40742,[DELL/Dolphin N/V MTE/Wistron/ADL-S][Linux] [9560] [BT] Ubuntu kernel 5.13 is lack of Intel CNVi card support on ADL-S platform,Customer TBD,210,[COMPONENT=Customer TBD] [DELL/Dolphin N/V MTE/Wistron/ADL-S][Linux] [9560] [BT] Ubuntu kernel 5.13 is lack of Intel CNVi card support on ADL-S platform
BT-419745,[Lenovo][Kailash][PTL/BE211@1216/320Mhz][25H2]sometimes connect  BT headset failed,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo][Kailash][PTL/BE211@1216/320Mhz][25H2]sometimes connect  BT headset failed
BT-463883,"[Lenovo][Huaqin][TB_1416+_Gen8][PTL][Win11_25H2][MP] BE213 HWID show uncorrect HWID ""PCI\VEN_8086&DEV_E476&SUBSYS_00008086""(FR:90/653 UUTs",Customer TBD,210,"[COMPONENT=Customer TBD] [Lenovo][Huaqin][TB_1416+_Gen8][PTL][Win11_25H2][MP] BE213 HWID show uncorrect HWID ""PCI\VEN_8086&DEV_E476&SUBSYS_00008086""(FR:90/653 UUTs"
BT-473108,[WiFi][Bluetooth] Abnormal shutdown occurs at power cycle test with 24.20 driver,Customer TBD,210,[COMPONENT=Customer TBD] [WiFi][Bluetooth] Abnormal shutdown occurs at power cycle test with 24.20 driver
BT-474234,[Lenovo ThinkPad][Avon/PTL/BE211][PCI][25H2] Short Audio Cues does not Play When Using Bluetooth Headset,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo ThinkPad][Avon/PTL/BE211][PCI][25H2] Short Audio Cues does not Play When Using Bluetooth Headset
BT-477239,[Lenovo-DT][Huaqin][Yoga9][PTL] The yellow label of the Wifi/BT device appears in the reboot cycle stress test,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo-DT][Huaqin][Yoga9][PTL] The yellow label of the Wifi/BT device appears in the reboot cycle stress test
BT-59625,"[HONOR][HUAQIN][HiggsF][NB5550B][ADL-P][AX211][WIN11][BT] Connect BT headset to system, and then it will only show connected voice and the sound out put from PC speaker.",Customer TBD,210,"[COMPONENT=Customer TBD] [HONOR][HUAQIN][HiggsF][NB5550B][ADL-P][AX211][WIN11][BT] Connect BT headset to system, and then it will only show connected voice and the sound out put from PC speaker."
CIE-10016,AI Apps in Prioritization Still Display green Check Mark After Disabling from,Customer TBD,210,[COMPONENT=Customer TBD] AI Apps in Prioritization Still Display green Check Mark After Disabling from
CIE-10018,Mobile battery percentage fails to display in ICPS UI,Customer TBD,210,[COMPONENT=Customer TBD] Mobile battery percentage fails to display in ICPS UI
CIE-10022,Edited Mouse name and Keyboard name does not retain in ICPS,Customer TBD,210,[COMPONENT=Customer TBD] Edited Mouse name and Keyboard name does not retain in ICPS
CIE-1020,[HP/Win10/ADL/GfP2/Thanos] ICPS cannot enter AP info if it needs to enter name and password,Customer TBD,210,[COMPONENT=Customer TBD] [HP/Win10/ADL/GfP2/Thanos] ICPS cannot enter AP info if it needs to enter name and password
CIE-10238,[Acer][Compal][PTL][AX211][Souffle_PTZ] ICPS impacts the Fast Startup time.,Customer TBD,210,[COMPONENT=Customer TBD] [Acer][Compal][PTL][AX211][Souffle_PTZ] ICPS impacts the Fast Startup time.
CIE-10269,"[Y9genX refresh]GameFast status keep disable when enable ""Auto-enable when a game is detected"" in Intel Killer Performance Suite app then play a game",Customer TBD,210,"[COMPONENT=Customer TBD] [Y9genX refresh]GameFast status keep disable when enable ""Auto-enable when a game is detected"" in Intel Killer Performance Suite app then play a game"
CIE-10337,[Dell][NVL-S]Killer 1775i WIFI/BT driver request,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][NVL-S]Killer 1775i WIFI/BT driver request
CIE-10397,[HP/COMM/PTL/WhP2/Merino13X] No WWAN interface display in Network Health,Customer TBD,210,[COMPONENT=Customer TBD] [HP/COMM/PTL/WhP2/Merino13X] No WWAN interface display in Network Health
CIE-10399,Gaming mode is missing in the prioritization tab of ICPS 50.25.1224.201,Customer TBD,210,[COMPONENT=Customer TBD] Gaming mode is missing in the prioritization tab of ICPS 50.25.1224.201
CIE-11272,[PTL][Samsung][GB6-14 vpro][ICPS] Increased power consumption caused by Intel connect.exe.,Customer TBD,210,[COMPONENT=Customer TBD] [PTL][Samsung][GB6-14 vpro][ICPS] Increased power consumption caused by Intel connect.exe.
CIE-11374,[Dell][Citadel NVL-S]Killer 1775i WIFI driver install fail,Customer TBD,210,[COMPONENT=Customer TBD] [Dell][Citadel NVL-S]Killer 1775i WIFI driver install fail
CIE-11569,"[Acer][FPACE_PTB] Network connection in Killer Performance Suite is shown as ""Wired Network 2"" although the network is connected via Wi-Fi module.",Customer TBD,210,"[COMPONENT=Customer TBD] [Acer][FPACE_PTB] Network connection in Killer Performance Suite is shown as ""Wired Network 2"" although the network is connected via Wi-Fi module."
CIE-1585,[Samsung][Customer Request] removing fully all files and folder of ICPS after self-uninstallation,Customer TBD,210,[COMPONENT=Customer TBD] [Samsung][Customer Request] removing fully all files and folder of ICPS after self-uninstallation
CIE-1864,[Lenovo-ThinkPad] [Inhouse][Jaguar/Panther-2][ADL][AX211][21H2][100%][Secuity]Alternate Data Stream Detected,Customer TBD,210,[COMPONENT=Customer TBD] [Lenovo-ThinkPad] [Inhouse][Jaguar/Panther-2][ADL][AX211][21H2][100%][Secuity]Alternate Data Stream Detected
CIE-1924,[Huawei][Quanta][H9HD][HookF][AX211][21H2][ICPS][ICPS_SEC_003] ICPS open source components have security vulnerabilities and do not provide open source declaration and open source component software list,Customer TBD,210,[COMPONENT=Customer TBD] [Huawei][Quanta][H9HD][HookF][AX211][21H2][ICPS][ICPS_SEC_003] ICPS open source components have security vulnerabilities and do not provide open source declaration and open source component software list
CIE-1940,Huawei][Quanta][H9HD][HookF][AX211][21H2][ICPS][ICPS_SEC_004]The pdb debug file exists in the package UWD\Win64\Drivers\ICPSComponent\Symbols directory,Customer TBD,210,[COMPONENT=Customer TBD] Huawei][Quanta][H9HD][HookF][AX211][21H2][ICPS][ICPS_SEC_004]The pdb debug file exists in the package UWD\Win64\Drivers\ICPSComponent\Symbols directory
CIE-1960,[Huawei][Quanta][H9HD][HookF][AX211][21H2][ICPS][ICPS_015] My Network still shows the SSID of the connected hotspot after the WiFi switch is turned off,Customer TBD,210,[COMPONENT=Customer TBD] [Huawei][Quanta][H9HD][HookF][AX211][21H2][ICPS][ICPS_015] My Network still shows the SSID of the connected hotspot after the WiFi switch is turned off
