customer,count,first_seen,last_seen
"HUAQIN TECHNOLOGY CO., LTD",1027,2021-01-03,2023-06-26
QUANTA COMPUTER INC.,946,2021-01-08,2023-09-06
"COMPAL ELECTRONICS, INC.",641,2021-01-03,2023-11-20
WISTRON CORPORATION,303,2021-01-05,2023-09-28
"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",202,2021-01-04,2022-10-24
PEGATRON CORPORATION,144,2021-01-14,2023-11-14
"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",130,2021-01-18,2022-09-04
"FOXCONN TECHNOLOGY CO., LTD.",69,2021-02-24,2023-11-20
DYNABOOK INC.,64,2021-04-15,2023-03-23
INVENTEC CORPORATION,48,2021-01-25,2023-02-10
OTHER - OEM,19,2023-02-14,2023-12-29
"EDIMAX TECHNOLOGY CO., LTD.",15,2021-01-06,2022-05-19
GUANGDONG OPPO MOBILE TELECOMMUNICATIONSCORP. LTD.,15,2021-01-22,2021-07-07
ACER INCORPORATED,12,2021-01-07,2022-08-22
"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",12,2021-01-27,2022-11-13
"ASIA VITAL COMPONENTS CO., LTD.",9,2021-01-13,2021-12-02
AISTONE,7,2021-03-16,2021-06-15
REALME,7,2021-06-25,2022-04-07
NEXSTGO COMPANY LIMITED,6,2021-11-18,2021-12-08
SHENZHEN IP3 CENTRY INTELLIGENT TECHNOLO,6,2021-03-02,2021-10-20
BYD COMPANY LIMITED,4,2022-08-23,2023-09-13
GETAC,4,2023-03-24,2024-08-20
UNIWILL TECHNOLOGY INC.,4,2021-10-01,2022-06-06
ACCOUNT FOR DEACTIVATED CONTACTS,3,2022-02-16,2022-02-16
"ALLION TEST LABS, INC.",3,2022-09-13,2022-09-13
CTE,3,2022-02-28,2023-05-18
FAYTECH AG,3,2021-08-04,2021-08-04
HAIER,3,2023-08-12,2023-12-28
JAGUAR LAND ROVER - END CUSTOMER,3,2021-09-29,2021-09-29
WEIBU - PRC,3,2022-06-28,2022-06-28
MITAC,1,2023-03-27,2023-03-27
