customer,count
LENOVO,2775
HP,1848
DELL,1047
"HUAQIN TECHNOLOGY CO., LTD",1027
QUANTA COMPUTER INC.,946
SAMSUNG,926
ASUS,856
HONOR,831
"COMPAL ELECTRONICS, INC.",641
HUAWEI,582
MICROSOFT,345
WISTRON CORPORATION,303
ACER,218
"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",202
LG,154
MSI,153
PEGATRON CORPORATION,144
XIAOMI,142
"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",130
PANASONIC,126
TOSHIBA,119
CLEVO,116
FUJITSU,102
WIKO,71
"FOXCONN TECHNOLOGY CO., LTD.",69
DYNABOOK INC.,64
VAIO,62
ELITEGROUP COMPUTER SYSTEMS CO. LTD,57
NEC,53
INVENTEC CORPORATION,48
OTHER - OEM,19
"EDIMAX TECHNOLOGY CO., LTD.",15
GUANGDONG OPPO MOBILE TELECOMMUNICATIONSCORP. LTD.,15
ASROCK,13
ACER INCORPORATED,12
RAZER,12
"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",12
"ASIA VITAL COMPONENTS CO., LTD.",9
AISTONE,7
GIGABYTE,7
REALME,7
NEXSTGO COMPANY LIMITED,6
SHENZHEN IP3 CENTRY INTELLIGENT TECHNOLO,6
BYD COMPANY LIMITED,4
GETAC,4
UNIWILL TECHNOLOGY INC.,4
ACCOUNT FOR DEACTIVATED CONTACTS,3
"ALLION TEST LABS, INC.",3
CTE,3
ECS,3
FAYTECH AG,3
HAIER,3
JAGUAR LAND ROVER - END CUSTOMER,3
SHENZHEN TRANSSION HOLDINGS,3
WEIBU - PRC,3
GOOGLE,1
MITAC,1
OPPO,1
TRANSSION,1
