ips_id,ips_created_date,ips_title,customer
1008622,2026-04-17 07:57:55,[MADIGI][BV55B-ML03][MTL-H][DVT]BT headphone take about 25 seconds to output audio after connection. (FR: 9/9 cycles; 3/3 units),NA
1008619,2026-04-17 07:52:00,[MADIGI][BV55B-ML03][MTL-H][DVT]Microphone of BT headphone can not be detected after connection.(FR: 9/9 cycles; 3/3 units),NA
1005921,2026-03-30 11:34:07,[BYD][X86_POS_S12][MTL-U][EVT][SKU1]AX211 WIFI 2.4g 11n/11ax 40mhz,NA
1005920,2026-03-30 11:23:47,[BYD][X86_POS_S12][MTL-U][EVT][SKU1]AX211 WIFI ,NA
1005785,2026-03-29 09:19:07,[Mechrevo][Huaqin][XINGYAO15][AMD][Intel AX210][WiFi][25H2]MS scenario WLAN driver YB,NA
1004710,2026-03-20 09:42:08,[Mechrevo][Alstonel[RPL_HX]AX210 PLDR fail after adding AX211 BT lost solution,NA
1002149,2026-03-04 07:52:30,[EPSON][BE200] Unable to establish a 320MHz connection,NA
1001606,2026-03-02 09:48:31,[BYD][X86_POS_S12][MTL-U][EVT][SKU1]AX211 WIFI 11AX 6GHZ RF performance fail,NA
998102,2026-01-29 06:48:46,[Mechrevo][Alstonel[RPL_HX]BE200 BT YB or BT lost during auto coldboot/S4 test.,NA
997609,2026-01-27 09:02:04,[AISTONE][Intel RPL-HX]HLK fail after adding the BT lost solution,NA
997439,2026-01-26 11:39:46,[AISTONE][Intel RPL-HX]HLK fail:Bluetooth - Initiate platform-level device reset,NA
997200,2026-01-23 06:56:29,[Test][NvwaB][RPL][AX211][WiFi]The wifi disconnect and cant research the wifi,NA
996060,2026-01-16 02:52:07,[Mechrevo][AIstone][IDJ-PTL][BE211@2230]ANT req on the PTL platform,NA
995440,2026-01-12 07:59:37,[Mechrevo][AISTONE][RPL-HX] AX210 BT device Lost or BT&WLAN YB during auto coldboot/S4 test,NA
993404,2025-12-24 09:25:33,[Mechrevo][AIstone][IDJ-PTL][AX211@2230 160M]Failed to activate BT LE function test,NA
991658,2025-12-15 03:24:11,[Mechrevo][AIstone][IDJ-PTL]BT headset sound output need 15S when perform BT on,NA
991127,2025-12-10 06:21:40,[Epson][Camel][ARL-S] WHQL BT test fail,NA
989572,2025-11-28 09:16:56,[Mechrevo][AIstone][IDJ-PTL] Bluetooth headphone only have audio no MIC function,NA
989476,2025-11-28 03:37:27,[Sakura][LFP30][EVT] AX211 Wifi card cannot be detected properly after being swapped from BE211,NA
988868,2025-11-25 05:33:58,[AISTONE][Intel RPL-HX]BSOD 0x7E occurred when installing OS with WLAN AX210,NA
986560,2025-11-11 03:43:20,[Mechrevo][AIstone][PTL-H]X6PT47TJ Layout review for CNVio2/3 M.2 WIFI module,NA
986554,2025-11-11 03:17:12,[Mechrevo][AIstone][PTL-H]X6PT47TJ Schematic review for CNVio2/3 M.2 WIFI module,NA
986421,2025-11-10 08:24:08,[Emdoor][RPL525][RPL-H][9560] Wi-Fi disconnected while no AP list found after video streaming long run test,NA
985729,2025-11-05 09:07:27,[Mechrevo][Longcheer][N776][PTL-H][AX211][25h2] WLAN Layout review request,NA
985724,2025-11-05 08:55:16,[Mechrevo][Longcheer][N776][PTL-H][AX211][25h2] WLAN Schematics review request,NA
985647,2025-11-05 03:19:50,[Mechrevo][Alstone][IDJ-PTL]long run S4 BT YB,NA
984949,2025-11-03 09:16:53,[LFP30][Sakura][WiDi] WLAN and WiDi auto disconnect.,NA
984244,2025-10-29 08:52:58,"[H3C][Sixunited][LP88][LNL][BE200]The output sound device of the Bluetooth headset is recognized, but the input sound device is not.",NA
983190,2025-10-22 11:02:01,[H3C][Sixunited][LP88][LNL][BE200]Connected Bluetooth audio devices will disconnect automatically when an external monitor with audio capabilities is connected to Windows,NA
983187,2025-10-22 10:55:49,[H3C][Sixunited][LP88][LNL][BE200]Bluetooth headset experiences audio stuttering during prolonged audio playback (as a stress test) on Windows,NA
983183,2025-10-22 10:41:57,[H3C][Sixunited][LP88][LNL][BE200]Bluetooth headset fails to connect automatically after Windows is resume from shutdown,NA
983176,2025-10-22 10:20:37,[H3C][Sixunited][LP88][LNL][BE200]Bluetooth mouse connected but unresponsive after resume from shutdown,NA
977291,2025-09-16 07:50:21,PN252 CNVI+TBT4 review,NA
976836,2025-09-15 02:16:27,cnvi,NA
976727,2025-09-12 09:35:58,"[H3C][Sixunited]BE200 Connect to a WIFI7 Router, Protocol shows Wi-Fi 6 (802.11ax)",NA
976243,2025-09-10 07:25:48,[BYD][PTL-H484]Sonya12 WIFI layout check,NA
975687,2025-09-08 02:15:49,[Mechrevo][AIstone][PTL-H]X6PT47TJ Layout review for M.2 WIFI module,NA
975239,2025-09-04 03:00:21,[Uniwill/NA][Uniwill][MTL][BE200][X5MT457S]Conductive TPT test fail,NA
974254,2025-08-29 06:48:24,[LNL][LP88]BE200MIC,NA
973722,2025-08-26 12:07:39,[H3C][Sixunited][LP88][LNL][BE200]WiFi disconnect and re-connected several times then show YB after connect to a specific AP,NA
