customer,count,first_seen,last_seen
"HUAQIN TECHNOLOGY CO., LTD",88,2021-01-17,2022-12-19
QUANTA COMPUTER INC.,61,2021-02-21,2023-08-06
DYNABOOK INC.,57,2021-04-15,2022-12-06
PEGATRON CORPORATION,54,2021-01-14,2023-02-07
"COMPAL ELECTRONICS, INC.",49,2021-01-25,2022-12-27
WISTRON CORPORATION,24,2021-01-31,2023-02-13
OTHER - OEM,18,2023-02-14,2023-12-29
GUANGDONG OPPO MOBILE TELECOMMUNICATIONSCORP. LTD.,12,2021-01-22,2021-07-07
"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",12,2021-01-27,2022-11-13
"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",9,2021-11-30,2022-02-20
"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",9,2021-04-12,2022-01-22
AISTONE,6,2021-03-16,2021-06-15
NEXSTGO COMPANY LIMITED,6,2021-11-18,2021-12-08
SHENZHEN IP3 CENTRY INTELLIGENT TECHNOLO,6,2021-03-02,2021-10-20
GETAC,4,2023-03-24,2024-08-20
ACCOUNT FOR DEACTIVATED CONTACTS,3,2022-02-16,2022-02-16
"ALLION TEST LABS, INC.",3,2022-09-13,2022-09-13
"EDIMAX TECHNOLOGY CO., LTD.",3,2022-05-19,2022-05-19
FAYTECH AG,3,2021-08-04,2021-08-04
HAIER,3,2023-08-12,2023-12-28
JAGUAR LAND ROVER - END CUSTOMER,3,2021-09-29,2021-09-29
UNIWILL TECHNOLOGY INC.,3,2022-06-06,2022-06-06
WEIBU - PRC,3,2022-06-28,2022-06-28
BYD COMPANY LIMITED,1,2023-09-13,2023-09-13
MITAC,1,2023-03-27,2023-03-27
