ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
903676,GETAC,,non_canonical_customer_no_title_brand,GETAC TECHNOLOGY CORPORATION,Getac,2024-08-20 04:18:02,Bluetooth LE Audio Offload function cannot remain functional after re-connected
900133,GETAC,,non_canonical_customer_no_title_brand,GETAC TECHNOLOGY CORPORATION,Other - OEM,2024-08-02 08:14:30,BE200 band issue in China
868987,GETAC,,non_canonical_customer_no_title_brand,GETAC TECHNOLOGY CORPORATION,Getac,2024-03-14 03:52:40,Any more headphones can support BLE?
853688,OTHER - OEM,,non_canonical_customer_no_title_brand,AIstone,Other - OEM,2023-12-29 09:00:30,[TONGFANG][Meteor Lake H][GX] Bluetooth disconnected after resume from S4
853647,OTHER - OEM,,non_canonical_customer_no_title_brand,"COMPAL ELECTRONICS, INC.",Other - OEM,2023-12-29 07:01:37,BE200 + Meteor Lake T-put issue
853642,OTHER - OEM,,non_canonical_customer_no_title_brand,"COMPAL ELECTRONICS, INC.",Other - OEM,2023-12-29 06:54:50,BE200 + Meteor Lake T-put issue
853638,OTHER - OEM,,non_canonical_customer_no_title_brand,"COMPAL ELECTRONICS, INC.",Other - OEM,2023-12-29 06:38:27,BE200 + Meteor Lake T-put issue
853465,HAIER,,non_canonical_customer_no_title_brand,QUANTA COMPUTER INC.,Haier,2023-12-28 06:07:31,"[Quanta][Haier][Casper][BE202][NLZG_NLZF_NLY]Intel BE202 when run S4 stress , BT device lost"
851316,OTHER - OEM,,non_canonical_customer_no_title_brand,IPS Test Account 3,Other - OEM,2023-12-18 08:02:57,Test Purpose Please Ignore 2 - WCS - JIRA BT - Mule 3 to mule 4 upgrade
851311,HAIER,,non_canonical_customer_no_title_brand,IPS Test Account 3,Haier,2023-12-18 07:55:01,Test Purpose Please Ignore - WCS - JIRA BT - Mule 3 to mule 4 upgrade
847199,OTHER - OEM,,non_canonical_customer_no_title_brand,ELITEGROUP COMPUTER SYSTEMS CO. LTD,Other - OEM,2023-11-29 08:54:44,WLAN Dynamic SAR method for AX201 and AX211 network cards with ISH control
841081,OTHER - OEM,,non_canonical_customer_no_title_brand,"COMPAL ELECTRONICS, INC.",Other - OEM,2023-11-02 02:21:48,[Compal][JQX50][LNL Platform]WLAN sometimes yellow bang & BT could detect devices but could not connect
830553,BYD COMPANY LIMITED,,non_canonical_customer_no_title_brand,BYD COMPANY LIMITED,BYD COMPANY LIMITED,2023-09-13 19:49:00,BYD-S10-RPL-HX-REFRESH-QS-IOMT issue
822680,HAIER,,non_canonical_customer_no_title_brand,IPS Test Account 3,Haier,2023-08-12 05:39:52,Testing Purpose - Please Ignore - JIRA
821165,QUANTA COMPUTER INC.,,non_canonical_customer_no_title_brand,QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,2023-08-06 23:24:00,[EQB_MTH][ZPZ] CITU program test
820972,OTHER - OEM,,non_canonical_customer_no_title_brand,BYD COMPANY LIMITED,Other - OEM,2023-08-04 09:29:33,N16PR1 can not find wifi list sometimes
