customer,ips_customer_name,count
"HUAQIN TECHNOLOGY CO., LTD",NA,1014
QUANTA COMPUTER INC.,NA,927
"COMPAL ELECTRONICS, INC.",NA,609
WISTRON CORPORATION,NA,288
"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",NA,201
PEGATRON CORPORATION,NA,132
"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",NA,129
MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",97
CLEVO,CLEVO CO.,91
"FOXCONN TECHNOLOGY CO., LTD.",NA,66
DYNABOOK INC.,NA,57
ELITEGROUP COMPUTER SYSTEMS CO. LTD,NA,48
INVENTEC CORPORATION,NA,42
"COMPAL ELECTRONICS, INC.","COMPAL ELECTRONICS, INC.",29
VAIO,NA,27
MSI,NA,25
WIKO,"HUAQIN TECHNOLOGY CO., LTD",25
NEC,NA,24
WIKO,LONGCHEER,24
NEC,"NEC PERSONAL COMPUTERS,LTD.",18
QUANTA COMPUTER INC.,QUANTA COMPUTER INC.,18
VAIO,VAIO CORPORATION,18
"EDIMAX TECHNOLOGY CO., LTD.",NA,15
GUANGDONG OPPO MOBILE TELECOMMUNICATIONSCORP. LTD.,NA,15
WISTRON CORPORATION,WISTRON CORPORATION,13
ACER INCORPORATED,NA,12
"HUAQIN TECHNOLOGY CO., LTD","HUAQIN TECHNOLOGY CO., LTD",12
"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",NA,12
ASROCK,ASROCK INC.,10
CLEVO,NA,10
"ASIA VITAL COMPONENTS CO., LTD.",NA,9
ELITEGROUP COMPUTER SYSTEMS CO. LTD,ELITEGROUP COMPUTER SYSTEMS CO. LTD,9
PEGATRON CORPORATION,PEGATRON CORPORATION,8
MSI,"COMPAL ELECTRONICS, INC.",7
AISTONE,NA,6
NEXSTGO COMPANY LIMITED,NA,6
SHENZHEN IP3 CENTRY INTELLIGENT TECHNOLO,NA,6
NEC,QUANTA COMPUTER INC.,5
OTHER - OEM,"COMPAL ELECTRONICS, INC.",5
RAZER,BYD COMPANY LIMITED,5
VAIO,QUANTA COMPUTER INC.,5
GETAC,GETAC TECHNOLOGY CORPORATION,4
INVENTEC CORPORATION,INVENTEC CORPORATION,4
ACCOUNT FOR DEACTIVATED CONTACTS,NA,3
"ALLION TEST LABS, INC.",NA,3
ASROCK,NA,3
BYD COMPANY LIMITED,NA,3
ECS,ELITEGROUP COMPUTER SYSTEMS CO. LTD,3
FAYTECH AG,NA,3
GIGABYTE,"GIGA-BYTE TECHNOLOGY CO., LTD.",3
JAGUAR LAND ROVER - END CUSTOMER,NA,3
SHENZHEN TRANSSION HOLDINGS,NA,3
UNIWILL TECHNOLOGY INC.,NA,3
WEIBU - PRC,NA,3
HAIER,IPS TEST ACCOUNT 3,2
OTHER - OEM,AISTONE,2
OTHER - OEM,POSITIVO TECNOLOGIA SA,2
OTHER - OEM,"SHENZHEN EMDOOR ELECTRONIC TECHNOLOGY CO., LTD.",2
OTHER - OEM,"UNICOMPUTE TECHNOLOGY CO,. LTD.",2
WIKO,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",2
BYD COMPANY LIMITED,BYD COMPANY LIMITED,1
"FOXCONN TECHNOLOGY CO., LTD.","FOXCONN TECHNOLOGY CO., LTD.",1
GIGABYTE,"COMPAL ELECTRONICS, INC.",1
HAIER,QUANTA COMPUTER INC.,1
MITAC,MITAC DIGITAL TECHNOLOGY,1
MSI,"ALLION TEST LABS, INC.",1
OPPO,NA,1
OTHER - OEM,BYD COMPANY LIMITED,1
OTHER - OEM,ELITEGROUP COMPUTER SYSTEMS CO. LTD,1
OTHER - OEM,IPS TEST ACCOUNT 3,1
OTHER - OEM,SHENZHEN IP3 CENTRY INTELLIGENT TECHNOLO,1
OTHER - OEM,UNIWILL TECHNOLOGY INC.,1
"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.","SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",1
