ips_case_number,customer,ips_customer_name,ips_oem,ips_owner_name,ips_title,ips_created_date,jira_id
1010492,CLEVO,CLEVO CO.,Dynabook Inc,Brenton Wu,[CLEVO][V740TUT1][V740TUT1_AX201_HEADSET_NO-MIC_AFTER_S4],2026-04-30 07:32:00,NA
1010398,CLEVO,CLEVO CO.,Clevo,Brenton Wu,V7xxYU BE211 WCL BT YB,2026-04-29 12:33:56,NA
1008970,VAIO,QUANTA COMPUTER INC.,VAIO,Brenton Wu,[WHQL][25H2] [BIOS R0070WC][HLK 26100.7705]Bluetooth - Audio - Voice interrupt m,2026-04-21 07:24:05,NA
1008847,NEC,"NEC PERSONAL COMPUTERS,LTD.",NEC,CHU-PING LEE,WPA3 Security of AC9260/AC9560,2026-04-20 11:22:41,NA
1008671,CLEVO,CLEVO CO.,Clevo,CHU-PING LEE,[CLEVO][LNL][BE201] Ultra 7 258V with BE201 WLAN device miss,2026-04-17 10:55:40,NA
1008516,NEC,"NEC PERSONAL COMPUTERS,LTD.",NEC,CHU-PING LEE,WPA2/WPA3 Enterprise connection,2026-04-16 12:21:17,NA
1007000,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,[VAIO][RPL][AX211]PC Disconnects from Wireless AP,2026-04-08 02:20:18,NA
1006386,NEC,"NEC PERSONAL COMPUTERS,LTD.",NEC,CHU-PING LEE,[AX211][Field issue] The connection is sometimes suddenly disconnected.,2026-04-01 09:11:02,NA
1004536,ASROCK,ASROCK INC.,Other - OEM,WCS - Unassigned,[Asrock][Nova Lake S] 2026 WW11 BKC BT driver(2297_24.35.0.3) YB after reboot,2026-03-19 09:27:24,NA
1004461,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.",MSI,CHU-PING LEE,[MSI][13Q4][WiFi Sensing] Wi-Fi Sensing does not work as expected,2026-03-19 05:51:56,NA
1004180,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,"[VAIO][MTL + AX211,RPL + AX203]Wi-Fi Network disconnect",2026-03-18 02:21:26,NA
1003737,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]It occured 0x9F BSOD which point to iBtPciBus\HCIH4 when delete bluetooth drivers.,2026-03-16 04:39:35,NA
1003693,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BLE bluetooth mouse reconnection time after restart is double times than MarseilleI.,2026-03-14 09:45:26,NA
1003640,MSI,"COMPAL ELECTRONICS, INC.",MSI,CHU-PING LEE,[MSI] [Compal][MS-14U3/MS-26U3][Wildcat Lake] [AX211][Win11]2.4G/5G Air T-put Fail,2026-03-13 09:44:33,NA
1003411,WIKO,LONGCHEER,WIKO,Bingyue Sun,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]Can not obtain wiko interface when multi-screen collaboration.,2026-03-12 06:48:15,NA
1002591,VAIO,VAIO Corporation,VAIO,CHU-PING LEE,Network disconnects intermittently when 802.11r is enabled,2026-03-09 01:07:08,NA
1002353,WIKO,LONGCHEER,WIKO,Zhiqiang Cai,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][WiFi]Connect 2.4G WiFi fail.,2026-03-05 08:59:04,NA
1001960,CLEVO,CLEVO CO.,Other - OEM,Steven ZY Chen,Clevo_ARL-HX&Refresh_TA_873917_Bluetooth Device is Lost in S4 Cycling Test,2026-03-04 01:47:42,NA
1001795,VAIO,QUANTA COMPUTER INC.,VAIO,WCS - Unassigned,[VAIO][Quanta][PTL][SPKZ][WHQL][BE211] BT connectivity test failed items,2026-03-03 09:31:05,NA
