ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
1010434,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2026-04-30 01:48:11,"[NEC][LCFC][PTL[Yukimura-IP][25H2][SIT][BE211]Under S0 with a Bluetooth headset connected and running 1080P, the PHM log shows that C10 does not reach 50%.FR: 9/10Cycles"
1010143,HP,NEC,title_brand_mismatch,HP Inc,HP,2026-04-28 19:32:03,"[Intel][Internal][RPL-P (I)][AX211] WiFi Disconnect, not roaming, stationary"
1009762,DELL,NEC,title_brand_mismatch,NA,Dell,2026-04-27 01:53:50,[WCL][Roma] DUT still need to be connected under MS
1007714,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2026-04-13 07:09:43,"[NEC][LCFC][WCL][Yukimura-WCL VP][25H2][SIT][BE211]The BT driver shows Dual BT in the Device Manager details, and the language used for the Device Manager name is different. FR: 1/1unit"
1005602,HP,NEC,title_brand_mismatch,HP Inc,HP,2026-03-26 15:30:07,SIP129319 - EB 840 G8/ Spain/ ROCHES /T1/EMEA/ Wireless drops and disconnections
1005039,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2026-03-24 08:06:35,[NEC][LCFC][PTL[Yukimura-IP][25H2][FVT][BE211]There is no sound output from BT headset after reconnect the BLE headset.[EUT FR:1/2units]
1004966,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2026-03-24 03:17:42,"[NEC][LCFC][PTL[Yukimura-IP][25H2][FVT][BE211]MCC change to 00 after rerume from S4, FR: 1/1Unit, 1/5cycles"
1004664,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2026-03-20 07:24:15,[NEC][LCFC][WCL][Yukimura-WCL LV][25H2][FVT][AX211]BT device show Yellow Bang during normal function test. 2/10Units
1003693,WIKO,NEC,title_brand_mismatch,LONGCHEER,WIKO,2026-03-14 09:45:26,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][BT]BLE bluetooth mouse reconnection time after restart is double times than MarseilleI.
1003222,PANASONIC,HP,title_brand_mismatch,Panasonic Connect,Panasonic,2026-03-11 07:06:41,[PTL][WhP2] How to test Bluetooth HADM (Channel Sounding) with DRTU
1002802,LENOVO,HP|NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2026-03-10 04:29:05,"[NEC][LCFC][PTL[Maetel-IP][25H2][SIT][BE211]Occurred Wi-Fi low throughput and disconnection issue on 2.4GHz when do ""5773PA 2.4G PM Scenario1"" test."
1002591,VAIO,NEC,title_brand_mismatch,VAIO Corporation,VAIO,2026-03-09 01:07:08,Network disconnects intermittently when 802.11r is enabled
1002353,WIKO,NEC,title_brand_mismatch,LONGCHEER,WIKO,2026-03-05 08:59:04,[WIKO][Longcheer][MarseilleJ][Win11][Intel-PTL][AX211][WiFi]Connect 2.4G WiFi fail.
1002287,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2026-03-05 05:44:49,"[NEC][LCFC][PTL[Yukimura-IP][25H2][FVT][BE211]BT device auto disconnect durinng normal use, FR: 1/10cycles"
1002269,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,Lenovo - ThinkPad JP,2026-03-05 03:06:51,Users experience frequent disconnections during roaming between access points when 802.11ax is enabled
1001416,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2026-02-27 10:58:34,[NEC][LCFC][PTL[Yukimura-IP][25H2][FVT][BE211]There is no sound output from BT headset after resuming from MS/S5.[EUT FR:2/2units]
1001374,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,Lenovo - ThinkPad JP,2026-02-27 06:00:06,X9-14GEN1 connect BT headset mic not working
1000767,PANASONIC,HP,title_brand_mismatch,Panasonic Connect,Panasonic,2026-02-24 03:28:42,[PTL_WhP2_BM24Xmk2MVT] Wi-Fi YB / Wi-Fi YB and BT NG
1000086,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,Lenovo - ThinkPad JP,2026-02-12 04:08:35,Wi-Fi Always auto Connect to 2.4Ghz on INDONESIA
1000072,LENOVO,NEC,title_brand_mismatch,WISTRON CORPORATION,Lenovo - ThinkPad China,2026-02-12 02:42:54,Media Player will report an error 0x8889000F when connecting two headphone and change headphone output
999468,PANASONIC,HP,title_brand_mismatch,Panasonic Connect,Panasonic,2026-02-09 05:14:01,[PTL][WhP2] DRTU Output power is NG when Dynamic SAR is enabled
998821,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2026-02-04 01:25:22,"[NEC][LCFC][PTL[Yukimura-IP][25H2][FVT][BE211]""Request timed out"" message show in EXECping.log after resuming from RS mode.[FR:4/4times,100%][EUT FR:2/2units]"
998397,WIKO,NEC,title_brand_mismatch,"SHENZHEN BITLAND INFORMATION TECHNOLOGYCO., LTD.",WIKO,2026-02-02 03:16:54,[Wiko][DumasHz][RPL-R][AX201][BT] Bluetooth mouse connection failed
997362,SAMSUNG,NEC,title_brand_mismatch,"SAMSUNG ELECTRONICS CO., LTD.",Samsung,2026-01-26 06:11:41,[Venus5-14LNL][FmP2] The sound doesnt come out from the connected BT earphone after hibernate
996591,VAIO,NEC,title_brand_mismatch,VAIO Corporation,VAIO,2026-01-20 10:12:09,"[PTL+BE211]After the LE Audio device is disconnected once and then reconnected, the music does not play."
994251,LENOVO,NEC,title_brand_mismatch,WISTRON CORPORATION,Lenovo - ThinkPad JP,2026-01-05 03:15:41,[Curie3 PTL-H] The BT6.0 device does not display 16bit 32k Hz when connected.
993439,PANASONIC,HP,title_brand_mismatch,Panasonic Connect,Panasonic,2025-12-25 01:22:12,[PTL][WhP2] CITU Fail of BM23xmk2 DVT2(Review passed PCB)
992864,SAMSUNG,NEC,title_brand_mismatch,"SAMSUNG ELECTRONICS CO., LTD.",Samsung,2025-12-23 09:15:02,[Venus5-16LNL][FmP2] It takes more that 10 seconds for connecting R bud while only L bud was connected to the PC
992659,FUJITSU,NEC,title_brand_mismatch,Fujitsu Client Computing Limited (Lenovo/FCCL),Fujitsu,2025-12-22 10:09:19,[FCCL][RPL][GfP2]EAP authentication fails and disconnection from AP
992567,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2025-12-22 07:45:15,"[NEC][LCFC][Citron3_VP][25H2][ICPS] ID0(Child process [9344 - IDBWM.exe] finished with 1073740791) and ID7034(Intel Dynamic Bandwidth Management Service) and ID1000(IDBWM.exe) shows up while running FSU long run test.[FR: 8/356,2.25%][1/1 Units]"
992362,TOSHIBA,NEC,title_brand_mismatch,Dynabook Inc.,Dynabook Inc,2025-12-19 01:39:43,[Dynabook][Win11][RPL] Wifi connection with some APs are unstable
991916,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,Lenovo - ThinkPad China,2025-12-16 09:14:31,For BE200_Vpro_host PC is unable to access the AMT/ISM web UI interface of the target/client PC when connected via WLAN
990825,TOSHIBA,NEC,title_brand_mismatch,Dynabook Inc.,Dynabook Inc,2025-12-08 07:43:58,Wifi connection with some APs are unstable
990709,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2025-12-05 09:42:38,"(Copy Of 00986763) [NEC][LCFC][Citron3_VP][25H2][ICPS]ID1000( IDBWM.exe) shows up while running FSU long run test.[FR: 4/250,1.6%][1/1 Units]"
990641,FUJITSU,NEC,title_brand_mismatch,Fujitsu Client Computing Limited (Lenovo/FCCL),Fujitsu,2025-12-05 06:57:20,Audio is not heard when LE Audio headphone is disconnected and reconnected
990433,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2025-12-04 05:42:57,[NEC][LCFC][WCL][Yukimura][BE211/BE213]WLAN show YB with Error Code 10 after install WCL BKC driver_99.0.99.10 with ES2 Sample. FR: 100%
988678,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,Lenovo - ThinkPad China,2025-11-24 06:43:09,KunLNL[E14GEN7]_Add_BE200_There is no sound output When connecting the Bluetooth headphones then play loca
987527,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2025-11-17 08:01:25,"[NEC][LCFC][Citron3_VP][25H2][ICPS]ID0(Child process [10672 - IDBWM.exe] finished with 255) and ID7034(Intel Dynamic Bandwidth Management Service) shows up while running FSU long run test.[FR: 4/750,1.6%][1/1 Units]"
986825,CLEVO,NEC,title_brand_mismatch,CLEVO CO.,Clevo,2025-11-12 08:09:14,BE211 connect different AP MLO no internet
986763,LENOVO,NEC,title_brand_mismatch,LENOVO COMPAL FUTURE CENTER,NEC,2025-11-12 05:46:02,"[NEC][LCFC][Citron3_VP][25H2][ICPS]ID0(Child process [10672 - IDBWM.exe] finished with 255) and ID7034(Intel Dynamic Bandwidth Management Service) shows up while running FSU long run test.[FR: 4/250,1.6%][1/1 Units]"
986139,HONOR,NEC,title_brand_mismatch,LUXSHAREPC,Honor,2025-11-07 06:29:15,"[525203] [H6onor][LuxsharePC][NvwaB][DVT][25H2]PC connected 2.4G/5G AP(802.11AX/AC,20M/40M) do UDP downstream can not meet spec.(F/R:1/1U,6/6C))"
983979,WIKO,NEC,title_brand_mismatch,"Huaqin Technology Co., Ltd",WIKO,2025-10-28 07:54:56,[Wiko][NiceI][RPL][AX201]Problem of failed Miracast wireless connection from PC to smart TV(6/10).
982974,HP,OPPO,title_brand_mismatch,HP Inc,HP,2025-10-21 10:04:35,SIO2422105 - [DT][25CQ4][Coppola][QTA][SCIT-SUS][Win11][25H2][REF][HW][S22_924200] YB in Device Manager when  press any key on the Bluetooth keyboard/mouse to wake up the UUT.
981049,PANASONIC,HP,title_brand_mismatch,Panasonic Connect,Panasonic,2025-10-09 14:18:32,[PTL][WhP2] CITU marginal test Fail
977518,TOSHIBA,NEC,title_brand_mismatch,Dynabook Inc.,Dynabook Inc,2025-09-17 08:54:58,Bluetooth connection during ModS
976665,ACER,NEC,title_brand_mismatch,ACER INCORPORATED,Acer,2025-09-12 06:57:46,BLE data exchanged times in a connection interval
976420,TOSHIBA,NEC,title_brand_mismatch,Dynabook Inc.,Dynabook Inc,2025-09-11 06:14:40,[ARL][FmP2][BE201] CITU Connection Error
973605,PANASONIC,HP,title_brand_mismatch,Panasonic Connect,Panasonic,2025-08-26 05:24:09,[PTL][WhP2] Layout check request for FM232mk1 DVT1.5 board
970917,SAMSUNG,HP,title_brand_mismatch,"SAMSUNG ELECTRONICS CO., LTD.",Samsung,2025-08-08 06:27:39,[PTL][WhP2] No sound after putting one side earbud inside cradle and WMP error occurs
968922,LENOVO,NEC,title_brand_mismatch,Lenovo (Beijing) Limited,Lenovo - ThinkPad JP,2025-07-29 04:24:17,T14S Laptop (AX211) keeps switching between different Wi-Fi access points (APs) unnecessarily
968828,FUJITSU,NEC,title_brand_mismatch,Fujitsu Client Computing Limited (Lenovo/FCCL),Fujitsu,2025-07-28 13:05:29,[FCCL][GfP2]Ping timeout or disconnect during Teams meeting
968361,SAMSUNG,HP,title_brand_mismatch,"SAMSUNG ELECTRONICS CO., LTD.",Samsung,2025-07-24 07:14:39,[PTL][WhP2] BT HFP audio offload is not working with DSP drivers I2S colock for HFP option
968280,ACER,HP,title_brand_mismatch,"COMPAL ELECTRONICS, INC.",Acer,2025-07-24 01:52:50,PTL BE201 WiFi7 Throughput Tx Fail
966246,PANASONIC,HP,title_brand_mismatch,Panasonic Connect,Panasonic,2025-07-15 01:39:09,[PTL][WhP2] Wi-Fi YB occurs
966004,TOSHIBA,NEC,title_brand_mismatch,Dynabook Inc.,Dynabook Inc,2025-07-12 07:15:59,[Dynabook]Failed to connect to the network from ICPS App
965058,SAMSUNG,HP,title_brand_mismatch,"SAMSUNG ELECTRONICS CO., LTD.",Samsung,2025-07-08 07:13:23,[PTL] [WhP2]BT YB code 10 after installing v23.150.25244.10527 in PTL ES2
963288,PANASONIC,NEC,title_brand_mismatch,Panasonic Connect,Panasonic,2025-06-30 06:16:35,"[WiFi][Windows 11]can not connect to AP with ""WPA2/AES/Password: Hexadecimal number 64 digits"""
959976,PANASONIC,NEC,title_brand_mismatch,Panasonic Connect,Panasonic,2025-06-10 05:40:57,[WiFi][AX211][BE200][BE201][Windows 11]can not connect to stealth AP with 6GHz
959886,HP,NEC,title_brand_mismatch,HP Inc,HP,2025-06-09 12:27:59,SIP125787 - 840 G8 / Win 11 23H2 / Roche Pharma/Intermittent WLAN disconnection
957783,WIKO,NEC,title_brand_mismatch,LONGCHEER,WIKO,2025-05-27 02:08:39,"[WIKO][LC][MarseilleI][ARL-AX201][DVT2][24H2]After connecting the Bluetooth headset, it cannot be reconnected by pulling and sawing"
