row,technology,predicted,derived,override,decision_source,candidates,label,jira_title,ips_title,text_used
16,,Connectivity,Needs-Triage,,fallback,,,,The Wi-Fi list is empty,The Wi-Fi list is empty
22,,Connectivity,Needs-Triage,,fallback,,,,Noise sound heard after switch from speaker to earbuds,Noise sound heard after switch from speaker to earbuds
28,,Killer,Needs-Triage,,fallback,,,WWAN type is not visible when Intel Connectivity Performance Suite is dark mode.,WWAN type is not visible when Intel Connectivity Performance Suite is dark mode.,WWAN type is not visible when Intel Connectivity Performance Suite is dark mode.
29,,Killer,Needs-Triage,,fallback,,,No WWAN interface display in Network Health,No WWAN interface display in Network Health,No WWAN interface display in Network Health
32,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,The wifi disconnect and cant research the wifi,The wifi disconnect and cant research the wifi
43,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,The wifi disconnect and cant research the wifi,The wifi disconnect and cant research the wifi
49,,Connectivity,Needs-Triage,,fallback,,,,#NAME?,#NAME?
52,,Connectivity,Needs-Triage,,fallback,,,,LOQ-Tower-26ADRIntelAX201APNearby Sharing,LOQ-Tower-26ADRIntelAX201APNearby Sharing
61,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,The wifi disconnect and cant research the wifi,The wifi disconnect and cant research the wifi,The wifi disconnect and cant research the wifi
62,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,The wifi disconnect and cant research the wifi,The wifi disconnect and cant research the wifi
67,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,"Intel Bluetooth application service device cant enum in device manager, 100% fail rate","Intel Bluetooth application service device cant enum in device manager, 100% fail rate","Intel Bluetooth application service device cant enum in device manager, 100% fail rate"
68,,Connectivity,Needs-Triage,,fallback,,,,The EUT can not send >20MB file from PC1 to PC2 by nearby sharing.,The EUT can not send >20MB file from PC1 to PC2 by nearby sharing.
69,,Connectivity,Needs-Triage,,fallback,,,Funlogy Portable Mini speaker does not output sound during playing streaming.,Funlogy Portable Mini speaker does not output sound during playing streaming.,Funlogy Portable Mini speaker does not output sound during playing streaming.
76,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,WLAN/WWAN cant be disabled when connect LAN with Control WLAN/WWAN Radio enabled,WLAN/WWAN cant be disabled when connect LAN with Control WLAN/WWAN Radio enabled
82,,Connectivity,ICPS,ICPS,override,ICPS,,ICPS impacts the Fast Startup time.,The P2P iperf t-put drop (100MB/s --> 3.8MB/s) after manually adding interference,ICPS impacts the Fast Startup time.
86,,Connectivity,Needs-Triage,,fallback,,,,Slate not able to enable Wi-Fi sensing.,Slate not able to enable Wi-Fi sensing.
89,,HLK,System Hang,System Hang,override,System Hang,,"System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)","WHQL test , Bluetooth - HciExtensionsV2 (Development and Integration) test item fail.","System hangs ~90s after wrong Wi-Fi password entered on CSR interface (Spider Peak 2 Scorpius, Win11 25H2)"
92,,Performance,Needs-Triage,,fallback,,,,The PC high-frequency scanning 100ms broadcast takes a relatively long time (some time exceeded 20 seconds),The PC high-frequency scanning 100ms broadcast takes a relatively long time (some time exceeded 20 seconds)
96,,Performance,Needs-Triage,,fallback,,,,The PC high-frequency scanning 250ms broadcast takes a relatively long time.,The PC high-frequency scanning 250ms broadcast takes a relatively long time.
