ips_case_number,ips_owner_name,reporter,ips_created_date,ips_oem,jira_id,ips_jira_id,ips_title
582715,Brandon Yang,NA,2021-01-03 17:36:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Intel CML][Intel 9560][19H2][BT]BT broadcast is going on still send when disable BT module and then restart system
582715,Brandon Yang,NA,2021-01-03 17:36:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Intel CML][Intel 9560][19H2][BT]BT broadcast is going on still send when disable BT module and then restart system
582715,Brandon Yang,NA,2021-01-03 17:36:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Intel CML][Intel 9560][19H2][BT]BT broadcast is going on still send when disable BT module and then restart system
583125,Brandon Yang,NA,2021-01-04 19:07:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H1]The Bluetooth mouse disconnect after resume S4
583125,Brandon Yang,NA,2021-01-04 19:07:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H1]The Bluetooth mouse disconnect after resume S4
583125,Brandon Yang,NA,2021-01-04 19:07:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H1]The Bluetooth mouse disconnect after resume S4
583514,Brandon Yang,NA,2021-01-05 21:37:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]Bluetooth function lost after restart DUT while connected multiple Bluetooth devices
583514,Brandon Yang,NA,2021-01-05 21:37:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]Bluetooth function lost after restart DUT while connected multiple Bluetooth devices
583514,Brandon Yang,NA,2021-01-05 21:37:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]Bluetooth function lost after restart DUT while connected multiple Bluetooth devices
584006,Brandon Yang,NA,2021-01-07 01:37:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]DUT can't re-Connect the Airpods A1602 while  it was close to DUT
584006,Brandon Yang,NA,2021-01-07 01:37:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]DUT can't re-Connect the Airpods A1602 while  it was close to DUT
584006,Brandon Yang,NA,2021-01-07 01:37:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]DUT can't re-Connect the Airpods A1602 while  it was close to DUT
584327,Brandon Yang,NA,2021-01-08 02:58:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][Euler][CML-H[AX201][BT][20H2][804693291]AF30 mouse lag.
584327,Brandon Yang,NA,2021-01-08 02:58:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][Euler][CML-H[AX201][BT][20H2][804693291]AF30 mouse lag.
584327,Brandon Yang,NA,2021-01-08 02:58:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][Euler][CML-H[AX201][BT][20H2][804693291]AF30 mouse lag.
585249,Brandon Yang,NA,2021-01-12 21:22:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]Sometimes Bluetooth keyboard devices take a lot of time to full clear delete in bluetooth and other devices setting interface.
585249,Brandon Yang,NA,2021-01-12 21:22:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]Sometimes Bluetooth keyboard devices take a lot of time to full clear delete in bluetooth and other devices setting interface.
585249,Brandon Yang,NA,2021-01-12 21:22:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]Sometimes Bluetooth keyboard devices take a lot of time to full clear delete in bluetooth and other devices setting interface.
585290,Brandon Yang,NA,2021-01-12 22:57:00,LENOVO COMPAL FUTURE CENTER,,NA,"[ThinkPad JP LCFC_Lark][WW03][CCP BT EB 19.0.21035.22900] System found the BT KBD and Mouse disconnected,and then can't find any BT device after Sleep(s3).[Customer Complaint]"
585290,Brandon Yang,NA,2021-01-12 22:57:00,LENOVO COMPAL FUTURE CENTER,,NA,"[ThinkPad JP LCFC_Lark][WW03][CCP BT EB 19.0.21035.22900] System found the BT KBD and Mouse disconnected,and then can't find any BT device after Sleep(s3).[Customer Complaint]"
585290,Brandon Yang,NA,2021-01-12 22:57:00,LENOVO COMPAL FUTURE CENTER,,NA,"[ThinkPad JP LCFC_Lark][WW03][CCP BT EB 19.0.21035.22900] System found the BT KBD and Mouse disconnected,and then can't find any BT device after Sleep(s3).[Customer Complaint]"
585406,Brandon Yang,NA,2021-01-13 02:38:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][EulerD][TGL-U][AX201][20H2][BT][BUG-20210113-17048] Move BLE mouse can find BT headphone lag after connected 2.4G wifi to play online video.
585406,Brandon Yang,NA,2021-01-13 02:38:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][EulerD][TGL-U][AX201][20H2][BT][BUG-20210113-17048] Move BLE mouse can find BT headphone lag after connected 2.4G wifi to play online video.
585406,Brandon Yang,NA,2021-01-13 02:38:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][EulerD][TGL-U][AX201][20H2][BT][BUG-20210113-17048] Move BLE mouse can find BT headphone lag after connected 2.4G wifi to play online video.
585754,Brandon Yang,NA,2021-01-14 02:47:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][BohrM/NobelM][Lucienne]AX200][20H2][BT][804707870] PC manager call BT driver fail.
585754,Brandon Yang,NA,2021-01-14 02:47:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][BohrM/NobelM][Lucienne]AX200][20H2][BT][804707870] PC manager call BT driver fail.
585754,Brandon Yang,NA,2021-01-14 02:47:00,QUANTA COMPUTER INC.,,NA,[Huawei][Quanta][BohrM/NobelM][Lucienne]AX200][20H2][BT][804707870] PC manager call BT driver fail.
585911,Brandon Yang,NA,2021-01-14 19:14:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]Failed to search for a  BT keyboard
585911,Brandon Yang,NA,2021-01-14 19:14:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]Failed to search for a  BT keyboard
585911,Brandon Yang,NA,2021-01-14 19:14:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]Failed to search for a  BT keyboard
586125,Brandon Yang,NA,2021-01-15 05:29:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H2][BT]found BT mouse cannot move during PC and PC transfer file via BT.
586125,Brandon Yang,NA,2021-01-15 05:29:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H2][BT]found BT mouse cannot move during PC and PC transfer file via BT.
586125,Brandon Yang,NA,2021-01-15 05:29:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H2][BT]found BT mouse cannot move during PC and PC transfer file via BT.
586260,Brandon Yang,NA,2021-01-17 17:55:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H1][BT]The PC sends broadcasts sometimes without success
586260,Brandon Yang,NA,2021-01-17 17:55:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H1][BT]The PC sends broadcasts sometimes without success
586260,Brandon Yang,NA,2021-01-17 17:55:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][MACHD][Intel TGL][Intel AX201[20H1][BT]The PC sends broadcasts sometimes without success
586279,Brandon Yang,NA,2021-01-17 18:32:00,"Huaqin Technology Co., Ltd",,NA,"[HUAWEI][HUAQIN][MACHC][Intel CML][Intel 9560[19H2][BT]The mobile phone terminal sends the broadcast all the time, why can't the PC receive the broadcast"
586279,Brandon Yang,NA,2021-01-17 18:32:00,"Huaqin Technology Co., Ltd",,NA,"[HUAWEI][HUAQIN][MACHC][Intel CML][Intel 9560[19H2][BT]The mobile phone terminal sends the broadcast all the time, why can't the PC receive the broadcast"
586279,Brandon Yang,NA,2021-01-17 18:32:00,"Huaqin Technology Co., Ltd",,NA,"[HUAWEI][HUAQIN][MACHC][Intel CML][Intel 9560[19H2][BT]The mobile phone terminal sends the broadcast all the time, why can't the PC receive the broadcast"
586487,Brandon Yang,NA,2021-01-18 01:57:00,WISTRON CORPORATION,,NA,"[Lenovo-ThinkPad][Wistron][X13 Yoga Gen 2][TGL][AX201][20H2][20%]For Lynx SIT machine, SUT shows Bluetooth error during restart/AOAC longrun by ATS tool in DC mode."
586487,Brandon Yang,NA,2021-01-18 01:57:00,WISTRON CORPORATION,,NA,"[Lenovo-ThinkPad][Wistron][X13 Yoga Gen 2][TGL][AX201][20H2][20%]For Lynx SIT machine, SUT shows Bluetooth error during restart/AOAC longrun by ATS tool in DC mode."
586487,Brandon Yang,NA,2021-01-18 01:57:00,WISTRON CORPORATION,,NA,"[Lenovo-ThinkPad][Wistron][X13 Yoga Gen 2][TGL][AX201][20H2][20%]For Lynx SIT machine, SUT shows Bluetooth error during restart/AOAC longrun by ATS tool in DC mode."
