row,technology,predicted,derived,override,decision_source,candidates,label,jira_title,ips_title,text_used
1,,BSOD,BSOD,,cue,BSOD,,,BSOD when doing Burn in test for 8 hours.,BSOD when doing Burn in test for 8 hours.
2,,HLK,HLK,,cue,HLK,,,HLK test fail - HciExtensions v2 on WhP2,HLK test fail - HciExtensions v2 on WhP2
3,,Connectivity,Connectivity,,cue,"Connectivity, Performance",,,BT connect slow,BT connect slow
4,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,BE200 BT YB or BT lost during auto coldboot/S4 test.,BE200 BT YB or BT lost during auto coldboot/S4 test.
5,,Connectivity,Connectivity,,cue,Connectivity,,,Bluetooth - HciExtensionsV2 Test fail with Intel WLAN module.,Bluetooth - HciExtensionsV2 Test fail with Intel WLAN module.
6,,OEM Tools,OEM Tools,OEM Tools,override,OEM Tools,,GNNR validation intermittently fails with Wi-Fi driver 24.10.0.4 on Arrow Lake-H (Fillmore Peak 2 Blazar),GNNR validation intermittently fails with Wi-Fi driver 24.10.0.4 on Arrow Lake-H (Fillmore Peak 2 Blazar),GNNR validation intermittently fails with Wi-Fi driver 24.10.0.4 on Arrow Lake-H (Fillmore Peak 2 Blazar)
7,,Connectivity,Connectivity,,cue,Connectivity,,Bluetooth SMONO fails to enable on ARL-S with BE200 and Windows 11 for LE audio headsets,Bluetooth SMONO fails to enable on ARL-S with BE200 and Windows 11 for LE audio headsets,Bluetooth SMONO fails to enable on ARL-S with BE200 and Windows 11 for LE audio headsets
8,,Connectivity,Connectivity,,cue,Connectivity,,,BT SMONO on ARL S did not enable successfully.,BT SMONO on ARL S did not enable successfully.
9,,ICPS,ICPS,ICPS,override,ICPS,,Gaming mode is missing in the prioritization tab of ICPS 50.25.1224.201,Gaming mode is missing in the prioritization tab of ICPS 50.25.1224.201,Gaming mode is missing in the prioritization tab of ICPS 50.25.1224.201
10,,Connectivity,Connectivity,,cue,Connectivity,,,BT unstable issue,BT unstable issue
11,,YB/Lost,YB/Lost,,cue,"YB/Lost, BSOD, Connectivity",,"Wifi yellow bang, FW assert 0x20100505","Wifi yellow bang, FW assert 0x20100505","Wifi yellow bang, FW assert 0x20100505"
12,,Connectivity,Connectivity,,cue,"Connectivity, Performance",,,"When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues.","When using the iper3 tool to run RX and TX while connecting to a 2.4G WiFi and Bluetooth device, the Bluetooth speaker experiences stuttering issues."
13,,HLK,HLK,,cue,"HLK, Connectivity",,,HLK fail after adding the BT lost solution,HLK fail after adding the BT lost solution
14,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,The BT device YB when Turn off BT,The BT device YB when Turn off BT
15,,OEM Tools,OEM Tools,OEM Tools,override,OEM Tools,,,Sometimes Media Player cant play media and no audio from connected Galaxy Buds,Sometimes Media Player cant play media and no audio from connected Galaxy Buds
16,,Connectivity,Needs-Triage,,fallback,,,,The Wi-Fi list is empty,The Wi-Fi list is empty
17,,OEM Tools,OEM Tools,OEM Tools,override,OEM Tools,,,CITU BER NG on total_delay_offset (-)11,CITU BER NG on total_delay_offset (-)11
18,,Connectivity,Connectivity,,cue,Connectivity,,,Bluetooth Mic Test Does Not Reflect Input or Volume Assessment,Bluetooth Mic Test Does Not Reflect Input or Volume Assessment
19,,HLK,HLK,,cue,"HLK, Connectivity",,,HLK fail:Bluetooth - Initiate platform-level device reset,HLK fail:Bluetooth - Initiate platform-level device reset
20,,Connectivity,Connectivity,,cue,Connectivity,,,WiFi conductive T-put test,WiFi conductive T-put test
21,,Connectivity,Connectivity,,cue,Connectivity,,,BT device lost then recovered when play music,BT device lost then recovered when play music
22,,Connectivity,Needs-Triage,,fallback,,,,Noise sound heard after switch from speaker to earbuds,Noise sound heard after switch from speaker to earbuds
23,,Connectivity,Connectivity,,cue,Connectivity,,,The sound doesnt come out from the connected BT earphone after hibernate,The sound doesnt come out from the connected BT earphone after hibernate
24,,Connectivity,Connectivity,,cue,"Connectivity, Performance",,,wifi download speed degree 50% while tranferring bluetooth files,wifi download speed degree 50% while tranferring bluetooth files
25,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,"DM show ""Intel(R) Wireless Bluetooth(R)"" YB during stress","DM show ""Intel(R) Wireless Bluetooth(R)"" YB during stress"
26,,Connectivity,Connectivity,,cue,Connectivity,,,BT driver lost(24.10 driver),BT driver lost(24.10 driver)
27,,Connectivity,Connectivity,,cue,Connectivity,,,BT FW crash(24.10 driver),BT FW crash(24.10 driver)
28,,Killer,Needs-Triage,,fallback,,,WWAN type is not visible when Intel Connectivity Performance Suite is dark mode.,WWAN type is not visible when Intel Connectivity Performance Suite is dark mode.,WWAN type is not visible when Intel Connectivity Performance Suite is dark mode.
29,,Killer,Needs-Triage,,fallback,,,No WWAN interface display in Network Health,No WWAN interface display in Network Health,No WWAN interface display in Network Health
30,,Connectivity,Connectivity,,cue,Connectivity,,,BT driver lost and crash(24.10 driver),BT driver lost and crash(24.10 driver)
31,,BSOD,BSOD,,cue,"BSOD, Connectivity",,,BSOD when uninstall Bluetooth driver v24.20.0.3,BSOD when uninstall Bluetooth driver v24.20.0.3
32,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,The wifi disconnect and cant research the wifi,The wifi disconnect and cant research the wifi
33,,Connectivity,Connectivity,,cue,Connectivity,,Bluetooth headset has No Output Sound After PC Bluetooth Toggle (OFF/ON) 100% fail rate.,Bluetooth headset has No Output Sound After PC Bluetooth Toggle (OFF/ON) 100% fail rate.,Bluetooth headset has No Output Sound After PC Bluetooth Toggle (OFF/ON) 100% fail rate.
34,,Connectivity,Connectivity,,cue,"Connectivity, Performance",,Wi-Fi Throughput Degradation During BT File Transfer,Wi-Fi Throughput Degradation During BT File Transfer,Wi-Fi Throughput Degradation During BT File Transfer
35,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,BE200 BT show YB in device manager after run S3,BE200 BT show YB in device manager after run S3
36,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,BE200 BT show YB in device manager after run S3,BE200 BT show YB in device manager after run S3
37,,Connectivity,Connectivity,,cue,Connectivity,,"Bluetooth headset is No Output Sound After S4/resume, 100% fail rate.","Bluetooth headset is No Output Sound After S4/resume, 100% fail rate.","Bluetooth headset is No Output Sound After S4/resume, 100% fail rate."
38,,Killer,Killer,Killer,override,"Connectivity, Killer",,Killer 1775i WIFI/BT driver request,Killer 1775i WIFI/BT driver request,Killer 1775i WIFI/BT driver request
39,,Connectivity,Connectivity,,cue,Connectivity,,,Audio will switch to speaker after connect with BT headset.,Audio will switch to speaker after connect with BT headset.
40,,BSOD,BSOD,,cue,BSOD,,,"Stress_Idle S4_The unit open Camera Idle S4 4H occur BSOD 0x9F W/o dumple file during Stress-Idle Test(F/R:1/40 units,1/40 cycles)","Stress_Idle S4_The unit open Camera Idle S4 4H occur BSOD 0x9F W/o dumple file during Stress-Idle Test(F/R:1/40 units,1/40 cycles)"
41,,YB/Lost,YB/Lost,,cue,"YB/Lost, Connectivity",,,BT Headset Loud Noise When Switching Playback to Recording  Driver 24.20.0.3  (FR:100%),BT Headset Loud Noise When Switching Playback to Recording  Driver 24.20.0.3  (FR:100%)
42,,Connectivity,Connectivity,,cue,Connectivity,,,Bluetooth device show yellow bar after flash BIOS,Bluetooth device show yellow bar after flash BIOS
43,,Connectivity,OEM Tools,OEM Tools,override,"Connectivity, OEM Tools",,,The wifi disconnect and cant research the wifi,The wifi disconnect and cant research the wifi
44,,Power Consumption,Power Consumption,,cue,Power Consumption,,,Wireless Display fail to connect after resume from sleep,Wireless Display fail to connect after resume from sleep
45,,RF,RF,RF,override,RF,,,Sar cannot be set.,Sar cannot be set.
46,,Connectivity,Connectivity,,cue,Connectivity,,,Data streaming between PC and MTK phone and zero drop during data streaming,Data streaming between PC and MTK phone and zero drop during data streaming
47,,Connectivity,Connectivity,,cue,Connectivity,,,No Sound from Samsung Galaxy Buds2 Pro After Re-pairing the Device,No Sound from Samsung Galaxy Buds2 Pro After Re-pairing the Device
48,,Connectivity,Connectivity,,cue,Connectivity,,,"After the LE Audio device is disconnected once and then reconnected, the music does not play.","After the LE Audio device is disconnected once and then reconnected, the music does not play."
