true\pred,Audio,BIOS,BSOD,Connectivity,HLK,ICPS/Killer,Need-Triage,OEM Tools,P2P,Performance,Power Consumption,RF,Roaming,Sensing,System Hang,UEFI,WowLAN,YB/Lost
Audio,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOS,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BSOD,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connectivity,0,0,0,58,0,0,0,0,1,0,0,4,1,1,1,0,0,4
HLK,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
ICPS/Killer,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
Need-Triage,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
OEM Tools,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0
P2P,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,0
Performance,0,0,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0
Power Consumption,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
RF,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Roaming,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Sensing,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
System Hang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
UEFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
WowLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
YB/Lost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
