true_label,pred_label,count,true_support,error_rate_within_true
Connectivity,YB/Lost,5,68,0.0735
ICPS,Connectivity,3,16,0.1875
Performance,Connectivity,3,24,0.125
Connectivity,Miracast,3,68,0.0441
Connectivity,Performance,3,68,0.0441
Roaming,Performance,2,8,0.25
Miracast,Performance,2,11,0.1818
BSOD,YB/Lost,2,18,0.1111
YB/Lost,Connectivity,2,33,0.0606
RF,BIOS,1,2,0.5
RF,Performance,1,2,0.5
System Hang,OEM Tools,1,3,0.3333
System Hang,Performance,1,3,0.3333
Roaming,BSOD,1,8,0.125
HLK,YB/Lost,1,9,0.1111
OEM Tools,Connectivity,1,10,0.1
OEM Tools,RF,1,10,0.1
Killer,Connectivity,1,11,0.0909
Miracast,BSOD,1,11,0.0909
P2P,Performance,1,11,0.0909
WowLAN,Connectivity,1,11,0.0909
ICPS,Killer,1,16,0.0625
ICPS,OEM Tools,1,16,0.0625
ICPS,Performance,1,16,0.0625
BSOD,UEFI,1,18,0.0556
Performance,OEM Tools,1,24,0.0417
Performance,Sensing,1,24,0.0417
YB/Lost,BSOD,1,33,0.0303
YB/Lost,System Hang,1,33,0.0303
Connectivity,OEM Tools,1,68,0.0147
Connectivity,RF,1,68,0.0147
Connectivity,Roaming,1,68,0.0147
