rank,tag,ngram_max,min_df,lr_c,accuracy,macro_f1,weighted_f1,metrics_file,model_file
1,ng1_md1_c2p0,1,1,2.0,0.8571428571428571,0.8109516481017756,0.8521075987115982,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng1_md1_c2p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng1_md1_c2p0.joblib
2,ng1_md2_c2p0,1,2,2.0,0.8492063492063492,0.8238591833449075,0.8486772501545955,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng1_md2_c2p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng1_md2_c2p0.joblib
3,ng2_md2_c1p0,2,2,1.0,0.8492063492063492,0.823457030117163,0.8461852780185244,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng2_md2_c1p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng2_md2_c1p0.joblib
4,ng2_md2_c2p0,2,2,2.0,0.8492063492063492,0.8206779134378271,0.8465660615314962,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng2_md2_c2p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng2_md2_c2p0.joblib
5,ng2_md1_c2p0,2,1,2.0,0.8492063492063492,0.7930577585072067,0.843035883612118,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng2_md1_c2p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng2_md1_c2p0.joblib
6,ng3_md2_c2p0,3,2,2.0,0.8452380952380952,0.8256308975239242,0.8432204022390212,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng3_md2_c2p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng3_md2_c2p0.joblib
7,ng2_md1_c1p0,2,1,1.0,0.8452380952380952,0.7913413360686595,0.8398135041703105,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng2_md1_c1p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng2_md1_c1p0.joblib
8,ng3_md1_c2p0,3,1,2.0,0.8452380952380952,0.7898435013792691,0.8393520064113457,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng3_md1_c2p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng3_md1_c2p0.joblib
9,ng3_md1_c1p0,3,1,1.0,0.8412698412698413,0.7817992211617864,0.8351023540337753,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng3_md1_c1p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng3_md1_c1p0.joblib
10,ng3_md2_c1p0,3,2,1.0,0.8373015873015873,0.8268598721539898,0.83516802732489,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng3_md2_c1p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng3_md2_c1p0.joblib
11,ng1_md1_c1p0,1,1,1.0,0.8253968253968254,0.7863988989283289,0.821834890194152,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng1_md1_c1p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng1_md1_c1p0.joblib
12,ng1_md2_c1p0,1,2,1.0,0.8214285714285714,0.8030289632767836,0.8221075474901349,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\metrics_ng1_md2_c1p0.json,c:\Users\jtsao1\OneDrive - Intel Corporation\Documents\My workspace\jira_ips_tat_HP\jira_tat\jira_customer_tat\models\sweep_20260613_p2pmerge\model_ng1_md2_c1p0.joblib
