true\pred,BIOS,BSOD,Connectivity,HLK,ICPS,Killer,Layout,OEM Tools,Performance,RF,Sensing,System Hang,UEFI,YB,YB/Lost
BIOS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BSOD,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Connectivity,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1
HLK,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ICPS,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0
Killer,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
Layout,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OEM Tools,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Performance,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
RF,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Sensing,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
System Hang,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UEFI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
YB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
YB/Lost,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3
