true\pred,BIOS,BSOD,Connectivity,HLK,ICPS,Killer,OEM Tools,P2P,Performance,Power Consumption,RF,Sensing,System Hang,UEFI,YB/Lost
BIOS,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BSOD,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Connectivity,0,0,26,0,0,0,3,0,0,0,0,0,3,0,1
HLK,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
ICPS,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0
Killer,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
OEM Tools,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0
P2P,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Performance,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0
Power Consumption,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
RF,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Sensing,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
System Hang,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
UEFI,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
YB/Lost,0,2,2,0,0,0,0,0,0,0,1,0,0,0,9
