source_file,technology,ips_title,predicted_category_model,predicted_category_existing,human_category,confidence
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,Auth failed when doing connect and ping stress test,Connectivity,Connectivity,Connectivity,0.1152
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,Restricted mode long reconnection time after resume from sleep,Connectivity,Power Consumption,Connectivity,0.1225
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,TyP2 6GHz output power 2-5dBm drop on conductive test (3/19 and 4/16),Power Consumption,Power Consumption,RF,0.1232
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,"The result show fail when running Stress-WiFi Ping (S4) test.(F/R:11/40units,13/4000cycles)",Connectivity,Connectivity,Connectivity,0.1244
wifi_tools_piece_07_of_07_Brenton.csv,wifi,System cant found 6Ghz mobile hotspot.,Connectivity,Power Consumption,Connectivity,0.1254
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,"Roaming failed twice, with two failed attempts to reconnect to the 5G hotspot. F/R: 1/1u, 2/50C",P2P,Power Consumption,Connectivity,0.1257
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,"[Haier][Wingtech][G1][ADL-P][Ax210][21H2]With the PC connection to the WiFi for a long-time suspension test, the WLAN driver has a loss problem [3 / 3]",Connectivity,Connectivity,Connectivity,0.1283
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,2.4G DRTU Target power difference at the same SKU,OEM Tools,Power Consumption,OEM Tools,0.1300
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,Wireless WiFi is lost on 23.160,Connectivity,Connectivity,Connectivity,0.1307
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,Mobile hotspot cannot be opened when selecting 5GHz band,Connectivity,Power Consumption,Connectivity,0.1336
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,Clevo_X560WNx_ARL-HX_AX201 WiFi connect issues,Connectivity,Connectivity,Connectivity,0.1376
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,Z93 WiFi 5Ghz band 160M-BW DFS fail issue,Connectivity,Connectivity,Connectivity,0.1380
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,-System can not search WiFi 6G when set MCC to US by ANT tool + S0KKT010 BIOS + BE200 wifi Card.,Connectivity,Connectivity,Connectivity,0.1393
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,The system cannot scan for the 6GHz mobile Hotspot (VLP).,Sensing,Power Consumption,Connectivity,0.1465
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,Windows UI and netsh keep showing old channel and Band . After the DUT connected mobile hotspot switches from the 2.4G band to the 5G band,Connectivity,Power Consumption,Connectivity,0.1467
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,"When set router 2.4G/5G wifi authentication type: WPA-PSA and RF mode:802.11b/g/n/ax,after the machine connect it and display 802.11n instead of 802.11ax(F/R:3/3 6/6cycles)",Performance,Connectivity,Connectivity,0.1468
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,"when an AP is connected, DUT wakes up intermittently without human detection",Sensing,Connectivity,Connectivity,0.1470
wifi_tools_piece_07_of_07_Brenton.csv,wifi,BT MCC jump to 3030 due to Wi-Fi,Sensing,Connectivity,YB/Lost,0.1472
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,multiple roamings in stationary environment,Connectivity,Connectivity,Connectivity,0.1493
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,AX411 QS sample 6e tx power lock at 7.5dB,RF,Power Consumption,OEM Tools,0.1510
wifi_tools_piece_07_of_07_Brenton.csv,wifi,"WiFi Spectrum Mask, EVM and Power tolerance questions",Power Consumption,Power Consumption,Performance,0.1534
wifi_tools_piece_07_of_07_Brenton.csv,wifi,SUT can search for 5.0GHz Wi-Fi with channel 165 on Indonesia image (PTL+WhP2),Connectivity,Connectivity,Connectivity,0.1543
wifi_tools_piece_07_of_07_Brenton.csv,wifi,Canot Miracast to project the screen to this device wirelessly,P2P,Connectivity,Connectivity,0.1553
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,WiFi adapter fails to perform OKC fast roam after missing Beacons detected.,Sensing,Connectivity,Connectivity,0.1556
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,UefiCnvWlanWRDS value can be read by WRT but no function.,Connectivity,Connectivity,BIOS,0.1562
bt_software_piece_04_of_07_Wesley.csv,bt,Intel AX211 WLAN became hidden (code 45) in device manager after resume from sleep,Connectivity,Power Consumption,YB/Lost,0.1563
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,WiFi drops intermittently while on a teams call,Connectivity,Connectivity,Connectivity,0.1568
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,wireless connection and network performance issues,Connectivity,Connectivity,Connectivity,0.1581
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,The 6GHz frequency band can be searched when use Intel WLAN card without any setting.,Connectivity,Connectivity,Connectivity,0.1636
wifi_tools_piece_01_of_07_Timdaway.csv,wifi,"Miracast connection fails on the INTEL module, but passes on the MTK module",Connectivity,Connectivity,Connectivity,0.1651
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,The 6G Wi-Fi list cannot be found after changing the MCC to US through ANT tool,System Hang,System Hang,Connectivity,0.1662
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,we can not scan the 6E AP channels while applied country code as US.,Connectivity,Connectivity,Connectivity,0.1663
wifi_tools_piece_07_of_07_Brenton.csv,wifi,"SIO2437586:The ""UefiCnvWlanWTAS"" is not listed under the UEFI setting list.",UEFI,Connectivity,UEFI,0.1669
wifi_tools_piece_03_of_07_FrankLee.csv,wifi,"WLAN sometimes do not show 2 MLO links but only 1 link with the command ""netsh wlan show i"" after MLO AP is connected (F/R: 3/10)",Connectivity,Connectivity,Connectivity,0.1673
wifi_tools_piece_06_of_07_Zhiqiang (2).csv,wifi,Random disconnect seen,Connectivity,Connectivity,Connectivity,0.1697
wifi_tools_piece_07_of_07_Brenton.csv,wifi,HP 3LS SIP126149 - EB 1040 G11(Ernesto MTL)/TSMC/GC/Intel AX211 Cannot find WiFi 6G issue/PCAPJ/TW,Connectivity,Connectivity,Connectivity,0.1716
bt_software_piece_07_of_07_Yuwei (2).csv,bt,"Stress_Wifi_S4, System event log show red color with Event ID 17(The local Bluetooth adapter has failed in an undetermined manner and will not be used). (F/R:2/25u,2/2500c)",Connectivity,Connectivity,YB/Lost,0.1729
bt_software_piece_04_of_07_Wesley.csv,bt,Unable to run testharness tool on HostPC,Connectivity,Connectivity,OEM Tools,0.1732
wifi_tools_piece_04_of_07_KJ (2).csv,wifi,WiFi-PPAG power increase is limited,RF,Power Consumption,UEFI,0.1754
bt_software_piece_04_of_07_Wesley.csv,bt,The Bluetooth related device lost when using the MIKE II tool to run hibernate resume (manual resume) Fail Rate: 1unit 2/2 trials.,YB/Lost,Connectivity,YB/Lost,0.1779
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,802.11AX MCS6 and BE MCS11 with LDPC Sensitivity is not met EPS Performance,RF,RF,Performance,0.1794
wifi_tools_piece_02_of_07_Frankyang (2).csv,wifi,Decision low value will over decision high and system always detect human after SPD,Sensing,Connectivity,Sensing,0.1817
bt_software_piece_04_of_07_Wesley.csv,bt,Unable to play any videos or music (online/local) after playing YouTube videos overnight,Connectivity,Connectivity,Connectivity,0.1854
bt_software_piece_05_of_07_Leo.csv,bt,Device Information Service - MDUT FW version doesnt match.,Connectivity,Connectivity,ICPS,0.1865
bt_software_piece_04_of_07_Wesley.csv,bt,MDUT Reconnection - HCI_Encription_Change increases the reconnection time,System Hang,System Hang,Connectivity,0.1893
bt_software_piece_05_of_07_Leo.csv,bt,MDUT Reconnection - HCI_Encription_Change increases the reconnection time.,System Hang,System Hang,Connectivity,0.1893
bt_software_piece_05_of_07_Leo.csv,bt,MDUT Reconnection - HCI_Encription_Change increases the reconnection time,System Hang,System Hang,Connectivity,0.1893
bt_software_piece_07_of_07_Yuwei (2).csv,bt,Cannot find DUT Tile in TILE Mobile App (TMA) on the phone when DUT enter to S4/D2,Connectivity,Connectivity,Connectivity,0.1926
weekly_labels_20260425_151911.csv,BT,[Honor][Huaqin][LvzhouD][WCL][Intel AX211][WiFi][25H2]Bluetooth device disconnection With a high probability,YB/Lost,YB/Lost,Connectivity,0.1932
