true\pred,Audio,BIOS,BSOD,Connectivity,HLK,ICPS,Miracast,OEM Tools,P2P,Performance,Power Consumption,RF,Roaming,Sensing,System Hang,UEFI,WowLAN,YB/Lost
Audio,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIOS,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BSOD,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connectivity,0,0,0,56,0,0,0,1,1,1,0,0,0,1,0,0,0,1
HLK,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ICPS,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
Miracast,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
OEM Tools,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0
P2P,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0
Performance,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Power Consumption,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
RF,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
Roaming,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Sensing,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
System Hang,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
UEFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
WowLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
YB/Lost,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18
